Attacker,Fast Move,Charged Move,Level,"Alakazam, Tier 3","Alakazam, Tier 3","Banette, Tier 3","Banette, Tier 3","Claydol, Tier 3","Claydol, Tier 3","Drifblim, Tier 3","Drifblim, Tier 3","Dusclops, Tier 3","Dusclops, Tier 3","Espeon, Tier 3","Espeon, Tier 3","Gengar, Tier 3","Gengar, Tier 3","Golurk, Tier 3","Golurk, Tier 3","Gothorita, Tier 3","Gothorita, Tier 3","Grumpig, Tier 3","Grumpig, Tier 3","Haunter, Tier 3","Haunter, Tier 3","Hypno, Tier 3","Hypno, Tier 3","Jynx, Tier 3","Jynx, Tier 3","Kadabra, Tier 3","Kadabra, Tier 3","Lampent, Tier 3","Lampent, Tier 3","Marowak (Alola), Tier 3","Marowak (Alola), Tier 3","Metagross, Tier 3","Metagross, Tier 3","Metang, Tier 3","Metang, Tier 3","Raichu (Alola), Tier 3","Raichu (Alola), Tier 3","Slowbro, Tier 3","Slowbro, Tier 3","Slowking, Tier 3","Slowking, Tier 3","Starmie, Tier 3","Starmie, Tier 3","Wobbuffet, Tier 3","Wobbuffet, Tier 3","Xatu, Tier 3","Xatu, Tier 3"
Giratina (Origin),Shadow Claw,Shadow Ball,35,1.2985215041477873,0.7712451,1.3738658758425688,0.597369,1.334504072607328,1.0265063,1.3839690007346481,0.50153995,1.418472712428127,1.0501367,1.2588524027984316,0.8116365,1.3132095572695681,0.7032738,1.350903534234191,0.7189536,1.3370520860124897,0.71365714,1.2962446399240763,0.8516491000000003,1.3727201710119048,0.52520144,1.3981147335286948,0.8978307,1.346406873162218,0.7048185,1.3231133573386475,0.5602935000000001,1.4267957064255719,0.54913336,1.3881624999552784,0.8489516,1.3016520187061755,1.0132309,1.3941625234580988,0.82940805,1.3505490175786743,0.72959757,1.3394787782189694,0.831049,1.33045506145009,0.8227496000000002,1.371112163466816,0.8404375,1.475425424334749,0.5262753,1.3222559473330289,0.6820649
Absol,Snarl,Dark Pulse or Payback,40,1.546365641587723,0.8194176,1.6415540738468368,0.63976836,1.5097312122493585,1.0539193,1.512842025452736,0.5160476,1.563661197613758,1.0886616,1.4242704025442967,0.8394264,1.6932902410816837,0.7783972,1.624807297019527,0.7914742,1.4468908760244164,0.7214173,1.4061409903216264,0.8910847,1.568372286690085,0.5472079,1.5140126493468657,0.9000833,1.6311489303625493,0.7669917,1.6292173217826709,0.6040295000000001,1.6427205735830415,0.57678103,1.5469162079223087,0.87479264,1.5737999485926684,1.0834777,1.4919631955153558,0.83600134,1.6189865751163663,0.76942325,1.5423346512044587,0.8593077,1.4775898093623587,0.8464668,1.618987411802682,0.91202956,1.5339326865195606,0.5195944300000002,1.5331445951677052,0.7050772300000001
Mega Houndoom,Snarl or Fire Fang,Foul Play,40,1.1594026371215451,0.63766974,1.1884072403269976,0.49312228,1.1867471203791713,0.84139764,1.173702208891204,0.41350517,1.2408980706708794,0.86505806,1.0918634256651434,0.6598772,1.242811788816876,0.57980186,1.2720452209660842,0.61103815,1.1755396650937917,0.5809763,1.0993404517099379,0.7043539,1.1880268208680664,0.4285667,1.1729689486862591,0.7069662,1.194030437379293,0.5814643,1.172847664139353,0.4610409400000001,1.2245959741229535,0.4512463,1.1679097523087536,0.69964796,1.152422215061996,0.8309538,1.1669879400063925,0.66477495,1.192368468756878,0.59451437,1.1815697271188657,0.67367625,1.1445247500789728,0.6630993,1.2067011012113367,0.69840956,1.2301427907415778,0.4231705000000001,1.1750662603371977,0.5578714000000001
Incineroar,Snarl or Fire Fang,Dark Pulse or Fire Blast,30,1.5566460297653175,,1.5808391416215042,,1.6011288960569205,,1.6305174262960342,,1.6968074449652477,,1.398851362310974,,1.614079678929282,,1.6227143290931254,,1.5463378457482357,,1.5901821237156921,,1.5770823391868531,,1.6142741583932785,,1.6146014261727346,,1.5542071533090667,,1.6634056138492257,,1.661359986953849,,1.4766327632266605,,1.5587876406711945,,1.6217088318959276,,1.6115363768073119,,1.5839337566169667,,1.7368175807568795,,1.7663356970562138,,1.5602304573943602,
Banette,Shadow Claw,Shadow Ball,30,1.6138769912200828,0.9274749,1.739619720122948,0.7118081,1.5707087199984213,1.171777,1.855734272919939,0.57904667,1.6119372959382494,1.179819,1.4812030118978528,0.9696212,1.627059662097006,0.85458565,1.4861876816488917,0.8445851000000002,1.517682490078679,0.79996836,1.5553755211072655,0.9778358,1.7952128514191756,0.6416751,1.5518632607097043,0.9758764,1.6379355246499165,0.8308377,1.749144710848883,0.6674546,1.616715459431388,0.622723,1.6774341735117249,0.9600424000000002,1.533346259957725,1.2310383,1.5289778659984772,0.8937283,1.620443701096608,0.84276587,1.6295186330314142,0.95521426,1.5958507562185151,0.9551854,1.6606622330506218,0.9570811,1.5710651856004114,0.56616586,1.5510459438975908,0.7865284
Shadow Weavile,Snarl,Foul Play,35,1.214039752048542,0.6712309,1.231522341106374,0.51958126,1.1760866819913194,0.85781187,1.1836336555221043,0.41989887,1.2389646860934689,0.8844634,1.0674851410357105,0.6772023,1.2515037785009966,0.6212142,1.4259344683507165,0.6477749,1.1209466351336514,0.59570694,1.0992238323692765,0.7172062400000001,1.1999090046851473,0.44708133,1.2205032301461924,0.7380281,1.2469477899950696,0.60849977,1.1847673801005807,0.4880116300000001,1.3204724713517364,0.4800938,1.28861452400352,0.73474526,1.2271984139099152,0.89448637,1.1990075441644161,0.6794891,1.2488595428217515,0.61528605,1.155865436356463,0.6939386,1.1854041738913772,0.6888457000000001,1.3006875110425904,0.7556385,1.2035312590369358,0.42895767,1.177960270834795,0.57561404
Yveltal,Snarl,Dark Pulse,40,1.319718421680375,0.7549583,1.4143452079712762,0.5956972,1.4011865293157,1.022643,1.4030306661275662,0.49814224,1.516792845174775,1.0635936,1.295930432627411,0.7909911,1.400600995398629,0.685289,1.3950101324470376,0.7133957,1.4109773964040984,0.70063746,1.32250794061752,0.84637475,1.3861436057784033,0.513689,1.4186252289972405,0.87286246,1.4434987055781896,0.7067384,1.3928866086125562,0.5567815300000001,1.482008833333418,0.5485994,1.3995724917271606,0.83762276,1.3189484882534908,1.0007826,1.395128373093901,0.8019249,1.4257140386080587,0.7187726,1.4172819774959113,0.82545835,1.3936596350750814,0.8166178,1.4320919094792868,0.8341723,1.5052880765850893,0.5137206000000001,1.4085118978985955,0.6722301000000002
Espeon,Confusion,Shadow Ball,50,1.8448191562317444,0.95382124,1.743809627438976,0.6621239,1.8748785098986358,1.2551634000000003,1.7493983158683704,0.5408449,1.7062437984392718,1.1235795,1.772465272350439,0.9710031,1.5698860171063584,0.67337155,1.73851454052403,0.7870981700000003,1.82612785254347,0.8648011,1.8933146019029707,1.0563784,1.5304746135861211,0.5012525,1.882314140858421,1.0630667,1.8876823108027183,0.86093336,1.894847479330791,0.6842267,1.775802681121236,0.59578437,1.7268016366474424,0.92654663,1.9512865853939005,1.3633503,2.06920320918573,1.0780312000000003,1.8913621730050687,0.8878059000000003,1.8627919397166333,1.0174218,1.8687990197024373,1.0061799,1.891511972750922,1.0171082,2.005398370913799,0.6268946,1.9201394830257705,0.8402859600000002
Shadow Tyranitar,Smack Down or Bite,Crunch,35,1.2105495436407985,0.70005065,1.2462348842515096,0.5544887,1.2392786158945108,0.94102496,1.246051396551476,0.45080143,1.3038235096841044,0.96053284,1.116337765079024,0.7427694,1.240209724932283,0.63612175,1.3486956223030846,0.6857603,1.2652675064870842,0.6629064,1.2108224261638056,0.8135847000000003,1.209181104364983,0.48133546,1.2809930861820638,0.8255913,1.2898228818236523,0.6419031,1.2204734052976407,0.5198806500000002,1.2868402562081065,0.4986882,1.2475317918878142,0.7735393,1.2337413071649994,0.9336332,1.2787662363631342,0.751104,1.2949656634424878,0.67757714,1.2366229973181322,0.76103395,1.2059014653297127,0.7538602400000002,1.2808222293836204,0.77455926,1.3338408250696598,0.4801466,1.2012340846812095,0.6176448
Darkrai,Snarl,Dark Pulse or Shadow Ball,45,1.2435563762620225,0.65696996,1.313620987236925,0.5144858,1.2536487583357017,0.8685124,1.2631092196042855,0.41412154,1.2992767686897952,0.87444705,1.1662495819659098,0.6756123,1.3650320399738862,0.5998049400000001,1.3342586119452982,0.62134916,1.2346991113009254,0.59017295,1.224568050937773,0.733084,1.26563615401143,0.4463349600000001,1.2710166347274314,0.74015504,1.3491632839729106,0.59858125,1.268586015932646,0.4833943500000001,1.3539273205216429,0.463116,1.2804382142256179,0.71241546,1.229198501133855,0.8717937,1.2655132224916763,0.6755789,1.2834224746080718,0.61823493,1.241143450281899,0.7003153,1.2320494011352603,0.6943382,1.2993430854196837,0.7163153000000001,1.2955320681444134,0.4386636,1.2466772174567113,0.5722760600000001
Krookodile,Mud-Slap or Snarl,Earthquake or Crunch,40,1.5683931297564302,0.8741852,1.6390580819284561,0.6768328,1.605998277231515,1.1566613,1.59249456754932,0.5636521,1.7161269785127953,1.2011486,1.469661783452102,0.9005329,1.5923038450709694,0.72937316,1.6981584432914498,0.833303,1.575099544482179,0.79223937,1.5150641623552956,0.9731424,1.4580052172093314,0.5357188,1.6199495995883415,0.9871948,1.7137734653402417,0.810961,1.6040644187110942,0.6389199500000001,1.7061279590940943,0.5807865,1.6123944235823697,0.8937726,1.5321027839734631,1.1515489,1.5796205550130424,0.91152006,1.6226925755382289,0.81882304,1.6576925941426421,0.93878,1.57949172884321,0.9226545,1.645837295687376,0.96821886,1.6909439696053197,0.5706431000000001,1.6069517494688155,0.7739767400000003
Absol,Snarl,Dark Pulse or Payback,45,1.5530673811074867,0.7837213,1.5793885319451113,0.6154832,1.5023768789933898,1.0277044,1.5214431051005983,0.4957547,1.5311390312755366,1.0326036,1.3970907042063863,0.80486035,1.7161368363731497,0.7321041000000001,1.6300231023430627,0.76786995,1.46369020430582,0.70877874,1.4222616532045493,0.84963053,1.5737660635318447,0.5352291500000002,1.5105692454622022,0.8743099,1.6584243104030758,0.73115015,1.5276515265345443,0.5795602000000001,1.6608900164531255,0.55416524,1.5723045559769269,0.85385984,1.5951856086175142,1.0565858,1.5084652865317976,0.8047834,1.5877790233378828,0.74526405,1.4965962648933773,0.8264278,1.4534908995793736,0.81547266,1.6309248410505235,0.8817528500000003,1.4886757574574663,0.5011861,1.5356436286776654,0.6861625000000001
Mega Houndoom,Snarl or Fire Fang,Foul Play,45,1.1586140760421226,0.61549675,1.1873742166988792,0.48252824,1.1945216659744935,0.820653,1.1836122496928285,0.39256617,1.223913218433499,0.8325478,1.086682928838749,0.63198996,1.238571808932881,0.5560438600000001,1.2575663410893425,0.5918619,1.1545335741456766,0.55115986,1.1290543062893252,0.67360914,1.1795305795159161,0.4161796600000001,1.1979458245381795,0.69587433,1.2037822432185727,0.5584182,1.1522569588263094,0.4504856500000001,1.273785718877759,0.44135752,1.1893382535773653,0.6677099,1.158090668475319,0.8151717,1.1817622678385489,0.6360592,1.1889412607401335,0.5738953,1.1636525298863294,0.6533458,1.1415336241746568,0.6462579,1.225968786710281,0.6750114600000001,1.239524162707442,0.41916743,1.1804929801009678,0.5468449000000001
Honchkrow,Snarl,Dark Pulse,35,1.4778660742726477,0.8336127,1.5458067050129485,0.66711104,1.4790585675800796,1.1057372,1.529364976015903,0.54073775,1.5398857833092021,1.1157569,1.3129516279672495,0.8474604,1.5203972826079717,0.77784127,1.5066713450073925,0.7735789,1.4113311486213695,0.746783,1.3814620538211178,0.9111649400000003,1.4855868370698186,0.56991446,1.4965389225378987,0.9409585,1.6161955055077786,0.803594,1.4619236904414286,0.6150037000000002,1.562912753067335,0.59045434,1.4887361423753243,0.9035499,1.4390065695624796,1.1036094,1.474324678588822,0.85658425,1.5941795920850148,0.81388336,1.4944546378868926,0.9053966,1.503798611405708,0.8905577000000002,1.575132061395037,0.95338994,1.5353878012336466,0.55097914,1.4677486190962081,0.7277826
Shadow Shiftry,Snarl,Foul Play,30,1.4126384559422231,0.83486176,1.616517991929682,0.64802414,1.3931927773932669,1.0974879,1.4984521510853765,0.5288963,1.5162975575335802,1.10831,1.244337694355327,0.84239507,1.5727907577128195,0.79608476,1.4844624963371438,0.7942396000000003,1.3168271132067644,0.73347807,1.3594581569190307,0.8978863,1.575193279941583,0.5792782,1.422891807456982,0.9079658,1.6651148456632006,0.8131601,1.5890635834123963,0.6136511,1.570279294632085,0.6060487,1.5449845513651792,0.9157369000000002,1.3707598102031242,1.11757,1.3778592641291287,0.84635437,1.4053627691379502,0.7583779,1.3966436437081318,0.8839009,1.5226026190298863,0.8647028,1.5325138570683563,0.93594927,1.4945161725987255,0.540118,1.4511052454384314,0.7477182
Mega Gyarados,Bite or Waterfall,Crunch,50,1.271308771843489,0.67184156,1.3131891534151883,0.5165177,1.2947409232634512,0.8729632000000003,1.3221163216626013,0.43647245,1.400229626292084,0.9282711,1.2211330896155035,0.686538,1.3321649041663923,0.5976273,1.2901248761993038,0.6121171000000001,1.304817936895427,0.62313986,1.2965866110295252,0.75385857,1.305749280543906,0.4516314,1.3411290731879628,0.75901866,1.339067460223676,0.61889464,1.302075105085878,0.4905212,1.3575523175533684,0.4681954,1.302020153789077,0.719596,1.258476728761643,0.89894277,1.3422044641100361,0.7046930000000001,1.3255297079880013,0.6324635000000001,1.348378070560531,0.7352241,1.339859419926285,0.7282319,1.3272754804041924,0.73548293,1.44813666522818,0.4582784,1.332049169328597,0.5955431500000001
Shadow Shiftry,Snarl,Foul Play,50,1.4882033651037567,0.70660645,1.4472583280911677,0.55279315,1.4175420672072423,0.9386872000000003,1.4432641742079129,0.45166817,1.4584123111496272,0.9454574,1.3298222052705648,0.72756314,1.655470074870902,0.667873,1.450608634404682,0.6656935000000002,1.3577473632791879,0.6406198,1.3547891418528129,0.7778094,1.4410674636026481,0.48676777,1.4162361114212687,0.7913407,1.5637077016940228,0.6717407,1.4229364195640677,0.5216593,1.5584858299195499,0.51429504,1.5192299821624076,0.7752668,1.384868674224636,0.9338888,1.4342082679916894,0.7364498400000001,1.3803692934614424,0.6529202500000001,1.440982711577189,0.7529009,1.4772238474749622,0.7487934,1.4773451629708148,0.76805246,1.5005931734814977,0.46584016,1.4699840272339328,0.6254328000000001
Tyranitar,Smack Down or Bite,Crunch,35,1.459902010781263,0.84277445,1.508560835287922,0.6772015,1.53087780819828,1.16421,1.47437201999395,0.53327733,1.6184383080687763,1.1899148,1.3509157167623025,0.8951098,1.4622650033865585,0.75914186,1.6020864629235034,0.82185817,1.5144759952139446,0.79698527,1.4173123652830713,0.9453940000000002,1.4570459368858297,0.58289826,1.4932079663445355,0.9541229,1.5365672668893562,0.7716677,1.4730278829419494,0.6263783000000002,1.5419154984619563,0.5944117,1.4758963377942051,0.9191744,1.467592138382818,1.1484245,1.5344504400430492,0.91421014,1.5469827041391884,0.81857604,1.4846795201107583,0.9230641,1.4633795441840833,0.9108650700000003,1.5051347729761109,0.92370576,1.6049024879659672,0.57875824,1.444934115000987,0.7421597
Chandelure,Fire Spin or Hex,Shadow Ball,35,1.3142305117987,0.73278457,1.3846775402505214,0.5666929,1.328429682212265,0.94397867,1.3084354878206885,0.46405163,1.303839063923878,0.947834,1.2511028267194282,0.7887829,1.3903119497080365,0.66583055,1.4360239807967465,0.6980476,1.2574876806651336,0.6423473,1.2578553189776156,0.7874995000000002,1.3833470633564806,0.51189846,1.3087185467977622,0.79199547,1.2113509394739241,0.60929877,1.2918731115952793,0.5344923000000001,1.2662775337917715,0.4820469,1.3085940286474798,0.776946,1.2549925780671674,0.9096747,1.2198572503706757,0.7009458,1.33855004376499,0.668345,1.2969469086058825,0.74808204,1.2367793837861116,0.7356291400000001,1.374358462276326,0.7838944,1.2952612443775902,0.4551904,1.3244464384108499,0.62669027
Zarude,Vine Whip or Bite,Dark Pulse,40,1.4323033672652394,0.8166439,1.5370968721703364,0.6605754,1.4512270820594315,1.0575318,1.5177785887550945,0.5362474,1.6369441811336456,1.1611657,1.4252348237652506,0.8795284,1.5142680114455958,0.74093926,1.5008130822530914,0.75470126,1.494383482838748,0.7450425,1.423731859714855,0.91900855,1.5393167997382666,0.5692051,1.5097689188996741,0.92432374,1.5191316494030378,0.7460561,1.5225122242460658,0.6179881000000002,1.6346508755280575,0.6070602,1.5102137348350284,0.9077776,1.472957815986448,1.1202362,1.549613625082666,0.8936479,1.5407137571323528,0.7966219,1.4471475050975817,0.8462217,1.4295533712059938,0.840153,1.4960063391856375,0.88806635,1.6750601304792911,0.5735851000000001,1.5174648979460814,0.7357128000000001
Zarude,Vine Whip or Bite,Dark Pulse,35,1.4591421623198015,0.88062555,1.4993663311082783,0.675272,1.4803032983444586,1.1371676,1.542169084282854,0.5723726,1.6147907231969802,1.1876262,1.3519305038220053,0.8988136,1.459057659417078,0.7943387,1.4751176754925892,0.7735211,1.507485777021686,0.7952628,1.4827276358827612,0.9920330600000002,1.4683462422018432,0.57883036,1.5626009840314883,1.0051746,1.5409526732149552,0.79493815,1.452735906817659,0.6278232300000001,1.60385545524787,0.6193919,1.4941060972522735,0.92551637,1.4356862380637592,1.1468908,1.523688250015157,0.9120845,1.5066586970672717,0.81468016,1.4564694220880214,0.9069097,1.4556601736454373,0.8968980300000002,1.4847142812234022,0.9110064,1.6035511071663526,0.5820529,1.468417787657348,0.7499349
Hoopa (Unbound),Confusion or Astonish,Dark Pulse or Shadow Ball,30,1.2754257063521506,0.7893545,1.3881960394711201,0.6304907,1.3314861752167697,1.0644505,1.3796152092784084,0.515826,1.4176711972136422,1.082158,1.1477012540255758,0.8176182,1.1474995882196104,0.6482695,1.3737780402148403,0.7595615000000002,1.254582428776209,0.6953779,1.320996186940636,0.8727853,1.188776199034637,0.48095062,1.3336044582663793,0.89956397,1.3755595031387688,0.71799064,1.337674667529732,0.5799024,1.4213030133373923,0.5737542,1.403322747023032,0.8701762600000003,1.2443222992660063,1.0417272,1.3198145187208206,0.8256883,1.3925671433151536,0.7526062,1.3021350366996518,0.8315628,1.311616830270201,0.8204417,1.4040759236565548,0.8600013,1.437094087594739,0.52123237,1.3098326797224857,0.7066771
Shadow Alakazam,Counter or Confusion or Psycho Cut,Shadow Ball,35,1.6870277161275546,0.845971,1.6319074358256098,0.6370261,1.5211970871955645,1.0777998,1.600581293844802,0.5071992,1.4561694244121772,1.0203472,1.4009581483699782,0.8608806,1.398085219475442,0.66865814,1.522082008315743,0.74606645,1.4085242510169105,0.7316645,1.4175068297494762,0.8767472000000002,1.4558236670661937,0.4999543,1.4607559443506388,0.9052849,1.5218197673869525,0.7438944,1.72989780830809,0.5992235500000002,1.4954674651832969,0.53596914,1.4414054245225711,0.82882535,1.5794153343286363,1.0948806,1.455204193267693,0.8241706,1.5800895365334968,0.7566953,1.5075800588545454,0.8623628,1.4841874321718487,0.8527821300000002,1.613522468214571,0.881934,1.4697339585003295,0.5216711,1.516998645661913,0.7166272
Gengar,Shadow Claw or Lick,Shadow Ball,50,1.3808178529247417,0.6812354,1.3662804844393004,0.50394887,1.3791382777339118,0.8565677000000003,1.336253936072448,0.41755903,1.3280726072196325,0.8647268,1.4205277640125729,0.72551185,1.4944023565434201,0.58552253,1.355224480219869,0.6015688000000001,1.3591590728921341,0.58840543,1.3490550286555119,0.71199614,1.3847499567871473,0.43572566,1.365315459884678,0.73806626,1.352560450304456,0.5905422,1.3636624446733292,0.48130363,1.385654284365176,0.4519227,1.3257736160517872,0.69274056,1.386522219900891,0.88917273,1.3647492309459917,0.6617940700000001,1.315771056077714,0.5950874000000002,1.3558823060510838,0.689953,1.3400618475135564,0.68729585,1.3208393223352086,0.6884749,1.3428720735785955,0.41312644,1.423259367285342,0.5736669300000001
Tyranitar,Smack Down or Bite,Crunch or Stone Edge,45,1.539379020305932,0.80665374,1.5243380118376075,0.6247238,1.5013486183310731,1.0617942,1.491424688061696,0.5042996,1.5731709506475497,1.0775437,1.3914864118434207,0.826886,1.641687848650021,0.7289595000000001,1.578098465944047,0.74695146,1.5120781701560113,0.7420902,1.4862546521458226,0.9086764,1.5019711222717214,0.5400425000000001,1.5616834833411861,0.91741395,1.5480800222911126,0.71538734,1.4848181301042978,0.5837011300000001,1.577501541736412,0.552606,1.516385623164665,0.85325044,1.4582725333630702,1.047004,1.5329354601112686,0.8385639,1.5151529654114355,0.7521878,1.4647311621454369,0.8469454,1.4605443374714049,0.8356614,1.49426118809924,0.8442695000000002,1.5977998758400629,0.540609,1.4802143628362303,0.6928637600000002
Shadow Cacturne,Sucker Punch,Dark Pulse,50,1.523064049363745,0.7406117,1.6276530431455856,0.5669273,1.4664163774741843,0.9553706600000003,1.513840454403068,0.46702927,1.5287796349560039,0.975383,1.3708145773040417,0.7404884,1.8268053551822878,0.6888886,1.5319929672857837,0.6956320400000001,1.3925266801982896,0.6609081,1.3848850932946393,0.79271317,1.5522823967516066,0.5099804,1.4756327847141337,0.80857927,1.677145080003505,0.7032625,1.6306842412938787,0.53492904,1.6228184663384697,0.53497183,1.5725622809381052,0.80404776,1.4733387879246518,0.96745217,1.4585476799300663,0.7404036000000002,1.4610250260933202,0.6770735400000001,1.4742889294756312,0.78695333,1.6272130217479401,0.781352,1.5380137226467798,0.8208044,1.507007127252131,0.47068596,1.5256869484585416,0.6553156400000001
Houndoom,Snarl or Fire Fang,Foul Play,35,1.5054579777534915,0.8410088,1.5648435705258825,0.65613955,1.5319605168054087,1.1152014,1.525049480704686,0.5453813,1.5481423958848917,1.1225955,1.3592897407168019,0.87633896,1.5840645058032043,0.7786272,1.7200327700196352,0.8383229,1.4647587464328387,0.770335,1.4327620821703162,0.9417016000000002,1.515993591156039,0.5708773,1.4921768984272965,0.94253534,1.544895034165508,0.75473714,1.5190717742891153,0.6162275000000002,1.5365996423565258,0.5941223,1.50911467180021,0.90951926,1.4969421291935594,1.0993439,1.4836402977189604,0.87528014,1.577930595361859,0.7912394,1.511052258973544,0.89852685,1.4459606808832144,0.8846918000000003,1.6268533269990262,0.94469506,1.561027697269498,0.5628807,1.4952661760524635,0.74315286
Zarude,Vine Whip or Bite,Dark Pulse,45,1.466278167500748,0.80182004,1.5172773122249843,0.61993504,1.4656312604135644,1.0370605,1.5535250162569774,0.5243268,1.6603412946041654,1.1467494,1.385345529814745,0.82443166,1.5591442482435458,0.7295129300000001,1.5268833696575566,0.73993486,1.5093631698005574,0.73448694,1.4837506021452547,0.90093565,1.518063617975708,0.5445515500000001,1.541603294101888,0.9072201,1.5616774545472365,0.7316524,1.471131426497449,0.5807888000000001,1.6295651767579964,0.5724733,1.5592043766626649,0.88963515,1.4082417596968542,1.0331954,1.5247641145525528,0.8316581,1.493265826139377,0.74458945,1.4515534719218302,0.83113253,1.4477801856250545,0.82522905,1.4661820651232407,0.8365838000000002,1.5931366376330531,0.5387616,1.5317707658028257,0.7222443000000001
Darkrai,Snarl,Dark Pulse or Shadow Ball,50,1.2538078273030913,0.64156514,1.3139646024261569,0.49352467,1.2566318226700988,0.8323056000000002,1.2671804550207455,0.401016,1.3148575003197256,0.86622536,1.194221338476922,0.65732116,1.358563914245166,0.577634,1.3151727485913902,0.6044104000000001,1.2425154953374868,0.57263833,1.2270144620558978,0.6984326,1.2660474340662842,0.42639297,1.275185197967441,0.7110579,1.314122540238089,0.5753842,1.296928151880411,0.45790398,1.3278848300623132,0.44621333,1.2804809669816954,0.6964675,1.2103702978430106,0.83084124,1.2922774839669386,0.6610823000000001,1.27616586252077,0.5956432000000002,1.2706859336607663,0.67761284,1.257468111383416,0.6720044,1.316458900314738,0.6997294,1.3341399422807207,0.4155637,1.2756981310514688,0.5626842400000001
Krookodile,Mud-Slap or Snarl,Earthquake or Crunch,45,1.5458486937995333,0.83818215,1.6373859325176452,0.6533243,1.6139846494562395,1.1352388,1.6162993210811876,0.5458741,1.6783111086348217,1.1427156,1.4688415040634022,0.8649366,1.5660958364364457,0.6960609600000001,1.6896038684397072,0.8046949,1.5857860632634662,0.7642954,1.5486363584702931,0.93496096,1.440483014188663,0.5226790000000001,1.6449405546986495,0.96446085,1.7357013198464446,0.78843135,1.6124477356953255,0.6191328000000001,1.7266397170348187,0.60064405,1.6273456079874544,0.9278918,1.5467824501850609,1.1167444,1.6274824426310484,0.8829252,1.6105872867636848,0.79146457,1.63743117263007,0.91441214,1.5847927152796906,0.90045947,1.6622626790312878,0.9365899600000003,1.6668676185595181,0.55708826,1.5918825623093245,0.7429659000000001
Shadow Honchkrow,Snarl,Dark Pulse,35,1.2643170271487292,0.70716256,1.5200975744058325,0.57796305,1.2368626611158415,0.91919756,1.3036011005315395,0.4487144,1.3203217877314632,0.9499754,1.1374323267217987,0.7237587,1.301419880535082,0.6682876,1.2728679561020093,0.6526293,1.17561562546839,0.62648535,1.1924482689935536,0.7629244300000002,1.264099079552482,0.4779283,1.2617084303901795,0.78890014,1.4156765749794824,0.6786301,1.3978558933717913,0.5279950000000001,1.3224963475705998,0.5025949,1.299483129550017,0.763023,1.274454660072133,0.9375735,1.2398975045108718,0.7221397,1.50111920666871,0.6945374,1.2586316568758604,0.756655,1.29496962802384,0.7444897000000001,1.4328142328251263,0.83528465,1.2817160445328415,0.45732632,1.2496074635065173,0.6159668
Deoxys (Attack),Poison Jab or Zen Headbutt,Dark Pulse,40,1.7839885441437258,0.8425295,1.9591216891557899,0.7597885,1.8642346493981015,1.1995702,1.939513252181131,0.5704428,1.6261147135934262,1.0958668,1.6429159591399478,0.8996405,1.6779167629300262,0.7569858,1.937865804130889,0.887359,1.5093114509033747,0.7180549,1.633987040702197,0.89518744,1.8177575454380253,0.58527935,1.6083909976567088,0.8977261,1.735755148303768,0.7732476,1.8945703361649193,0.6232973000000002,1.884979457383853,0.5887504,1.6768900580463026,0.9032813,2.006700607678436,1.4429103,1.9422947054153614,1.0171752,1.955466247882582,0.78223944,1.8348437968487257,0.8746276,1.581355577972395,0.84662354,1.801551079190595,0.90980726,1.440845432906017,0.4720682200000001,1.9633176375024712,0.7443447000000001
Haunter,Shadow Claw or Lick,Shadow Ball,40,1.9242809976783428,0.96193475,1.7985965114748845,0.67976516,1.8462270039621365,1.1410062,1.8207605407153582,0.5485767,1.6583834118771321,1.0859041,2.0255127819097107,1.0828003,1.7816070647656792,0.7923713,1.8409046265291915,0.8271935,1.7705524050428554,0.7993251,1.928268237415071,0.95711684,2.0283085923431425,0.60511035,1.7489835070512363,0.975047,1.8647499123448374,0.78094393,2.058593272811991,0.6467985500000001,1.7055891317444452,0.591975,1.8419705597631615,0.90265816,1.7984206174033146,1.1817122,1.7438748179144226,0.86960137,1.8876478671596573,0.804548,1.8801768473980307,0.93916774,1.8679940742361203,0.9226147,1.7892510029130106,0.9116755,1.5554136092143203,0.5180097000000001,1.692802255740047,0.7451543000000002
Absol,Snarl,Dark Pulse or Payback,50,1.5794904164867545,0.76259536,1.5943860514716757,0.598755,1.5196427763810512,1.0040729000000002,1.5094326891060104,0.48302346,1.5361080614499918,1.0149039,1.4074678608709996,0.76852065,1.7055553139969304,0.6991497,1.5911091967562196,0.7327434000000002,1.4393158327116693,0.6787746,1.451866075260498,0.83256805,1.5644408256839006,0.5179098,1.4883121207015146,0.8396868,1.6553541828087452,0.7170469,1.5387746012304095,0.5578598,1.6640018256028721,0.5399101,1.534279934622021,0.8166057,1.5350518723782667,1.014063,1.5131803526635175,0.7748768000000003,1.5792248955785038,0.7143277500000002,1.5466664152137808,0.8033665,1.5016491962717817,0.7967905,1.63391460817106,0.8430832,1.5536104218362283,0.48133302,1.5425170939837176,0.6596073000000001
