Attacker,Fast Move,Charged Move,Level,Zekrom,Zekrom,Arceus (Dragon),Arceus (Dragon),Eternatus,Eternatus,Eternatus (Eternamax),Eternatus (Eternamax),Kyurem (Black),Kyurem (Black),Kyurem (White),Kyurem (White),Kyurem,Kyurem,Necrozma (Ultra),Necrozma (Ultra),Regidrago,Regidrago,Giratina (Altered),Giratina (Altered),Giratina (Origin),Giratina (Origin),Latias,Latias,Latios,Latios,Palkia,Palkia,Reshiram,Reshiram,Naganadel,Naganadel,Mega Ampharos,Mega Ampharos,Mega Charizard X,Mega Charizard X,Mega Latias,Mega Latias,Mega Latios,Mega Latios,Druddigon,Druddigon
Shadow Salamence,Dragon Tail,Draco Meteor,40,1.206329629335269,0.9885457281025237,1.0933384494589706,0.9837329759563663,1.0500097334324272,1.0298369224143493,1.078977031246241,1.0437884174612153,1.2924096290086087,0.9850775791919071,1.2376076564584753,0.9515919787372725,1.280841506592546,0.969244498498075,1.030020380475749,1.035837284754607,1.0,0.9896050770018733,1.042284896095109,1.0187765684525978,1.04694913569478,1.0054297392620701,1.0390168683110435,0.9866094930743171,1.11177903006648,1.0258731960372989,1.0836991573576784,0.985484355884606,1.1117644667222717,0.9646819136585696,1.0329336828305864,1.010892248631453,1.093233825325011,1.0073914495670255,1.0910233088454526,1.0181261734224518,1.2698553909894164,1.0704796873962643,1.090363294011183,1.031461778567789,1.0345999016114948,1.0166017222869153
Shadow Salamence,Bite,Outrage,40,1.5126786768382041,1.1349002895697928,1.3616404460605864,1.1606654488290993,1.2834195656794425,1.1534520728300939,1.2155833086081056,1.132877681586553,1.625711065594228,1.1381389023001556,1.7416434501064593,1.135099475186643,1.5283843444842309,1.113054625672075,1.0766703650225113,1.096678838982064,1.2431280389899284,1.208008722639771,1.0958378296505895,1.1002420804981858,1.102866843582856,1.0520210438305824,1.1307048372149544,1.0310708096659944,1.0776532398763703,1.040175301429878,1.1957385774252938,1.1152624857409916,1.2229559082580035,1.129536751303446,1.2561688825343935,1.1435033489110378,1.257607964364071,1.2043721475071127,1.1752222708781965,1.1815660822082732,1.3198139173853667,1.0942746571201714,1.0885772302218253,1.0539239803266984,1.1844494998191613,1.2071599769158958
Shadow Salamence,Fire Fang,Outrage,40,1.6989010459046194,1.226243115765059,1.452329396283001,1.2381585756144204,1.3736868314898465,1.259282440748254,1.328068951073295,1.2746532375268105,1.5942943975646036,1.1433344258234936,1.6417666660223154,1.1388216905188904,1.4841551079435569,1.1380033136940322,1.245254796343657,1.2961329787548572,1.2681616294789209,1.269034559362521,1.2471995652089602,1.2862350062341361,1.28407062250514,1.269975037005061,1.317342497432663,1.2357782116214244,1.2669340241333786,1.239909811161383,1.357039204388295,1.2807740447748264,1.3924549771675527,1.3014736931724864,1.3138342881488003,1.2365100559234992,1.3263994094483125,1.28068245243564,1.335106677019746,1.3755923000048556,1.6600268914000678,1.2873971588021766,1.2704360779522357,1.2679443052129562,1.260740478690541,1.2824275201030808
Shadow Salamence,Splash,Outrage,40,,1.4203226291087663,1.695734419465484,1.4205666032111792,1.4328301274451234,1.392283748128374,1.4249786199502161,1.4248865194599727,2.047293070645738,1.4827338054618417,2.794524156987459,1.4712141622067052,1.891471336106388,1.441878255022602,1.342979151214161,1.3990311677665428,1.4317165382290997,1.4623362876023205,1.3619841900837664,1.4300757372868431,1.3945248841557711,1.4722439131110123,1.4613050679268154,1.3951680777719242,1.3915363280555446,1.413272836111107,1.3517473206290782,1.3274863279100213,1.445248117691765,1.3525993847476676,1.4031018209437083,1.4432164119288586,1.4675391315818385,1.4141341079976173,1.3963479303319957,1.4218240058474438,2.0408301711498424,1.4763262556403791,1.4198778694469263,1.4683052043261042,1.3698623520238395,1.3926112016474606
Shadow Salamence,Bite,Draco Meteor,40,1.7746931264223653,1.3056932446442895,1.4995671136528639,1.3114643612425938,1.4389163575568722,1.3806285981930169,1.365880365118891,1.3161480815503261,2.184651794781494,1.3497915949343857,2.0930277449749823,1.333462058815672,2.068667773471135,1.3016226766823185,1.1855707566548013,1.206890194427432,1.3735382688498214,1.4027941354962847,1.2051397688626515,1.1854494369361697,1.1644602665868327,1.1153793597413606,1.1425577661013893,1.0924418408157395,1.2147360232697204,1.1329300079693496,1.5207855496759073,1.316295451911803,1.577302446195612,1.2892623895814481,1.3921868589295434,1.3750433753399622,1.4927037177345184,1.3615427832136637,1.458372563502459,1.3583363619245017,1.5080127664863912,1.2214899349597097,1.1717666796017872,1.1291478817173113,1.366073317444639,1.3469599113123387
Shadow Salamence,Fire Fang,Draco Meteor,40,2.2329177349250346,1.4775831299200828,1.6975358016328588,1.455245578652482,1.6563094566789642,1.604421240611846,1.6343470204960737,1.591618643120388,2.044837410488203,1.3298429936581053,1.984549032571529,1.2655456110655843,2.0303324126439386,1.2720238343146033,1.5447685770076782,1.5752092012423713,1.4712186836531924,1.5242280070386727,1.5365741233295058,1.5224465067087063,1.5321978691570601,1.4758802669205187,1.54203495221834,1.4667906919798066,1.6370277432425224,1.5503118933089266,2.134034652677888,1.7197998475866134,2.28373949957008,1.6599886522093372,1.5532776527228818,1.502196961789657,1.7178692776066928,1.5280026110380105,1.9050589958356243,1.749784121667728,,1.6246336093276468,1.6062332692330807,1.5433946585451779,1.5336682738808813,1.521436862635274
Shadow Salamence,Splash,Draco Meteor,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadow Gyarados,Dragon Tail,Outrage,50,,,1.2223033620932067,1.1967348278558068,1.1738683174121192,1.199507546971143,1.1981028478273483,1.2214677634132984,1.1368503232545981,1.123679267545884,1.172780728883066,1.125938155731625,1.11194558141208,1.1229988357526073,1.2343740074609952,1.2842310876989242,1.2484670362597527,1.1998086764838716,1.2594731879732268,1.2683383969858122,1.2038269777527852,1.2285912885891876,,,1.2322675903917777,1.23908518469465,1.15847850939688,1.172702623206624,1.196406948921658,1.18613144195438,1.1898557175032871,1.188599785601422,,,1.2397959621398538,1.230758304096262,,,,1.240281938369441,1.2152781898803906,1.2469246860058594
Giratina (Origin),Dragon Tail or Shadow Claw,Dragon Pulse,32.5,1.5291859546236828,,1.4966940073110926,,,,,,,,,,1.433905138542775,,1.441263733519791,1.5202073842647927,1.5895401572462617,,1.5945772710573085,1.6351683374012012,1.6285852728434431,1.6048624967365754,1.5171634192616434,1.5160413794648953,1.529832843035564,1.550970054307513,,,,,1.49220523970168,,1.4917095133864382,,1.534449299526443,,1.5688855311982228,1.5652907299126808,1.494928949817177,1.5163512048617969,,
Garchomp,Dragon Tail,Outrage,36.5,1.1784304278252093,1.1757038295593656,1.2282766945194168,1.2010585610277311,1.190690090583763,1.187566119611456,1.2048379054956988,1.1970454492923712,1.2608385927565566,1.1577750499745216,1.2932186938070374,1.1657324657322703,1.4425301501496248,1.178568348168765,1.1863379444811042,1.2567740302237111,1.2741341571182279,1.2231892460104132,1.2298232796640327,1.269066892098344,1.242460284916058,1.233824576154289,1.2122299513843486,1.196196633989926,1.2331429582337823,1.237168510999617,1.2836443582773691,1.2056440948530098,1.251232799180737,1.160346063335083,1.191294275505455,1.191095434938303,1.1662743618187315,1.1803493852523015,1.2192720643664585,1.2191293984850882,1.2395127779651844,1.2432088976987195,1.2594040125175803,1.2517336811740363,1.2420431283640128,1.2553374586043746
Palkia,Dragon Tail,Draco Meteor,36.5,1.1543614841026686,1.1481436940328924,1.1706768353207158,1.1291789062053699,1.1403741380605696,1.163637181209141,1.2439999066023197,1.2106377127568495,1.1646858290715243,1.0993850441566395,1.0819681771494314,1.0711235258561205,1.3364620514955443,1.0963448748814915,1.2228513779083279,1.2600755021950976,1.272173511865453,1.1799068556136183,1.249947092387331,1.230446955335912,1.231329862843347,1.203461685691854,1.1975270122631836,1.1828073113231825,1.2065186105070407,1.1926194823567438,1.279629466434411,1.1540542025929714,1.2755591473900485,1.1023979101387014,1.1886029365909314,1.1546214841029296,1.2371717049607884,1.2210798879891882,1.1968279705084062,1.1887648274560976,1.296885079492195,1.244753881228202,1.4473955252701811,1.266362901950655,1.216061225049653,1.211087034781498
Palkia,Dragon Breath,Draco Meteor,36.5,1.1843020147534231,1.1612042343126925,1.2176785126975374,1.170921888001958,1.2331230520915988,1.252150920989386,1.2368033794865676,1.2215318681847405,1.188947022865189,1.1360607990953078,1.1270221321674772,1.1131831473293552,1.4431262049618754,1.1659515650146062,1.2912543924928002,1.3170603919788828,1.347471195560765,1.2518840966453388,1.30865059120785,1.296128389140077,1.2716593283184885,1.2272825701521726,1.2897592847950534,1.2854382427637907,1.233619726727629,1.2397341679392888,1.3712386691328422,1.2380338683165775,1.323631270872045,1.1260599557037643,1.2287997158857793,1.212688443942912,1.273691881347319,1.2528292062936819,1.2763194006936232,1.2670362122801095,1.3709228825711175,1.3268606038093462,1.4380748410259285,1.2513247916330832,1.305467361388924,1.29432647042934
Reshiram,Dragon Breath,Draco Meteor,50,1.0875890889371962,1.0869981322567372,1.1137315283799845,1.0951782857626704,1.0989942864612006,1.113756537947958,1.1689561677139315,1.1721293303150473,1.0394296903990505,1.0376547479034701,1.0905590827158238,1.0476663474593262,1.1042390387170908,1.044800441254338,1.1213883289444266,1.1464351614171033,1.1658110857580943,1.1441215306322503,1.1458062527940933,1.154254542481485,1.1602131735902181,1.1530477976848308,1.1246289967258885,1.1044888970714095,1.1526722533870264,1.1526553747590773,1.2639684423829853,1.1023680186595428,1.2309514915159263,1.0712948396737116,1.1213312142928884,1.0958375428583809,1.1627532635219322,1.149603457328856,1.1491742935717124,1.1433659436463577,1.1250784125676863,1.1322203419522183,1.1444727633517104,1.1395888665906175,1.1800413716428038,1.179609849015888
Mega Salamence,Dragon Tail,Draco Meteor,35,1.0371167390773826,1.0478392993431622,1.0692389833983509,1.0318430291062686,1.0630028742253403,1.0663821208716353,1.1047011580840647,1.0789413938990562,1.13867799627817,0.9966830214496954,1.1438311244750077,0.9979521571255962,1.2606178707659328,1.0339105951378493,1.0728014059021358,1.088622664252929,1.1140361405840555,1.0629380301284699,1.091461146315885,1.1098367279982684,1.087785709736978,1.0762338917245662,1.0559218002849327,1.0506219682401794,1.082344074311957,1.0721281792544046,1.167671508521287,1.0327782968387724,1.1884404496607337,1.0212753966694896,1.059995628002056,1.041674790311495,1.0994278754947138,1.0718744614688172,1.0783562944620253,1.0594264866947924,1.098092131483683,1.1068015366277955,1.0810707505894006,1.067000832512174,1.099449539369792,1.0957231294276721
Mega Salamence,Dragon Tail,Outrage,35,1.0481067898281835,1.0321471869580061,1.0494590445884955,1.029613890891195,1.0473317966519786,1.0363617574696762,1.081729338239699,1.0642356697061794,1.1035159207960916,0.9971483564112144,1.1062248037787081,0.9940152967574862,1.168960280563985,1.0277339843866078,1.0533362981068015,1.0775873722663591,1.088272402003586,1.0465276223939208,1.0714078246664254,1.0991094016225,1.059764436556089,1.0586781949660897,1.0333704127843848,1.0349862430104808,1.0554248253075191,1.0585924690621342,1.0765699663465111,1.013510192714107,1.1150103011693175,1.0025851044045047,1.0367629884772251,1.0153018615126983,1.0594276623787489,1.0583964383178095,1.0533810089157774,1.0497502374153083,1.0991852021601642,1.0919621973347278,1.05429132131487,1.0516461764697722,1.0594631111266697,1.08072654003845
Mega Salamence,Bite,Outrage,35,1.2584536704899572,1.2634640063691998,1.2496752196923633,1.2423830305593913,1.2880941268999395,1.2991358890506006,1.3592019592757811,1.3653182808977686,1.3165269688240975,1.1764219028488079,1.3810498895226941,1.2037551532727369,1.551359853582524,1.2359818074108093,1.1637557263188574,1.1851806055807412,1.3677065824775652,1.3315961684802269,1.1904331296516901,1.2386207229082364,1.143944869920073,1.147428538932802,1.1294263841413517,1.1349525462888104,1.1365329620879114,1.1442936497274339,1.3097681590089152,1.2515065363359035,1.362640357960602,1.2375532066062738,1.296165245767335,1.2852872422342878,1.2981969103329274,1.3278219585136704,1.2954577677592267,1.30744479745823,1.162330974768785,1.1622611712960675,1.1432079366366075,1.1536668601283997,1.313717622970064,1.3607843883057371
Mega Salamence,Fire Fang,Outrage,35,1.309856297912315,1.3381071064121195,1.3262692961654385,1.3279066936264674,1.3054809139539438,1.326786657405243,1.357604858943559,1.3688131937902808,1.2947238247889346,1.1813000342615676,1.3491732826713854,1.1871150317118628,1.4896733938219875,1.2125818771648622,1.320720692871775,1.3943075529770304,1.3980153371748105,1.3709697285850904,1.3700099001961696,1.4385577788341248,1.3282539838453729,1.3854831713037647,1.3422290158197863,1.3764816559656723,1.3450431979472213,1.3645140666749054,1.4767866176016669,1.3857910363474013,1.5017195787429594,1.373916948180972,1.328137876797623,1.3205915195056097,1.345869757485055,1.4008212497193666,1.4299311957744718,1.444542021735629,1.3536591911111535,1.3648093910179582,1.3011382392475397,1.3397249473476889,1.3571037561149903,1.4108591389979153
Mega Salamence,Bite,Draco Meteor,35,1.3834645610283338,1.4378045877753431,1.3764188513268805,1.3590194638938768,1.4614229579970972,1.5002581524129834,1.5890267631524453,1.5698238698998617,1.6147888899060918,1.3338140856462724,1.6801055925430155,1.3318048449288713,2.022905303225363,1.3897625008305088,1.2421578258281065,1.2762904829308028,1.5251349471774778,1.5093317195245952,1.2665445170784935,1.2951512623143189,1.2282286989140405,1.2102975467741857,1.197025524150729,1.20138532788805,1.213333725761433,1.2130199415187188,1.7143159315776018,1.4074191882652014,1.7402756297440125,1.3946162502455535,1.5366549357953065,1.485470918664427,1.5286561972836532,1.499082499027199,1.4704664378292958,1.4677977102170263,1.2039572415984026,1.2192264927239964,1.224553283707265,1.2181502448683066,1.4852254158748828,1.4987438887964173
Mega Salamence,Fire Fang,Draco Meteor,35,1.5259538416542993,1.5602760265259612,1.5108894996358875,1.505121240530438,1.5184622684958258,1.5920259029399435,1.5790778818726894,1.6029748104569552,1.5959614894032348,1.3168486622164153,1.647171453003,1.2950194749781339,1.8335368357529547,1.3199005903375518,1.5630540398463446,1.6036438611537571,1.6024057363391835,1.5904429099362278,1.5941806342938811,1.668980311240365,1.623929414623291,1.6034312309790226,1.6079485273694538,1.633690217356153,1.6192081845310855,1.5977709029016312,2.2670977714689977,1.7038493974180304,2.581370280945373,1.6773142106220795,1.600041619319767,1.5752613187810136,1.6801680529615217,1.640521869556127,1.7983535844294118,1.770821457408485,1.5561481037343723,1.5919054238435841,1.5848952208992917,1.5811607827278842,1.6544286355991695,1.6921215648383785
Giratina (Origin),Dragon Tail or Shadow Claw,Dragon Pulse,36.5,,,1.4683884814332153,,,,,,,,,,1.3741788244374133,,1.425883736970497,1.4957100067486069,,,1.5133268485039384,1.562451579969634,1.5298511995890494,1.5065542254856596,1.4643408701697835,1.4559749461822633,1.4615016693754226,1.4765086157220093,,,,,,,1.4198665600106999,1.4463314291299392,1.4596827369065135,,1.4905402592304493,1.479521315705492,1.4650660816170153,1.4750895158638107,,
Mega Latios,Dragon Breath,Dragon Claw,36.5,1.0232263002640085,1.0409037660794433,1.04351108634599,1.0323016593884202,1.0222182003735294,1.0523422939563625,1.0278629337154777,1.0316220960043245,1.073298726247101,0.9872564173530486,1.0523754521229172,0.9903484666861999,1.0917502132966794,0.9969006887532104,1.058209205399143,1.092937568861167,1.1080003926805684,1.0762506449181877,1.062316886988396,1.090329568044326,1.109406969664427,1.1018908710823336,1.0294996624406538,1.0424303580588683,1.054412476850566,1.0682684062624561,1.0753147177113405,1.0293800324235407,1.0987828397574415,1.0272237785123808,1.0421388391623356,1.04649481957631,1.0699803014709042,1.0830534961490312,1.0695231271299825,1.0678980804849614,1.088951651115832,1.1109052052294488,1.0382678815200481,1.0597429044595958,1.1147299003273616,1.1108728050031045
Mega Latios,Zen Headbutt,Dragon Claw,36.5,1.2168260436525915,1.2675966247564254,1.2354320294484735,1.2562143640619474,1.0580020963886314,1.0831636755563487,1.0947500597886666,1.1012011036020843,1.2793104737378607,1.1821690524796729,1.2547811055028406,1.1897949724518055,1.30360025795445,1.1887406694106815,1.3810807641410883,1.480189733792733,1.3015017907369628,1.2946998418288227,1.2791335939494026,1.330180713956656,1.301934684980539,1.3061294339394744,1.3686701473555178,1.4065648847729717,1.3733550392488758,1.428161368333489,1.3027464319100384,1.2372813704319132,1.3287200142984577,1.2443461313654705,1.0802112607174672,1.0833524033844253,1.2463788658041839,1.2735350757645627,1.2786080692282429,1.297135706032927,1.3946183694198329,1.45711484046649,1.3621491143038287,1.4277045934884045,1.306915688658108,1.3223729166705236
Latios,Dragon Breath,Dragon Claw,32.5,1.3605547937205855,1.3256873809592145,1.3221914013962919,1.3492760546647733,1.3038054229602314,1.3246081560298544,1.2938883010914792,1.305340224635572,1.4672650156683478,1.2498748380116056,1.3495745000177015,1.2489224308786515,1.4615860630452213,1.2492567416608658,1.3584479621661185,1.4078636049643096,1.4358743685276083,1.3871640231063838,1.3773627219093072,1.4010964113492201,1.4060613103187194,1.3921040752212606,1.3161968180055459,1.341425587226182,1.3377012057722586,1.3643035057912418,1.3733259239178548,1.3059650888075258,1.4149930621081208,1.3037037514129388,1.363946246744798,1.350672243918098,1.3762945416959547,1.3795058869610874,1.3679958061714623,1.3833027142692504,1.4048292731152392,1.366454167660289,1.3837443444806539,1.3759151546496928,1.3963543743250098,1.3833692290370299
Mega Gyarados,Dragon Tail,Outrage,40,1.259467248882028,1.2354238969688032,1.1859666528687802,1.1832222199831728,1.2118681961980684,1.22296805171874,1.2640185908554238,1.2643034773654496,1.1122418938893974,1.1126705352005215,1.1407420929938081,1.135919502844522,1.157330781979311,1.1236429109185366,1.286305843665692,1.3071223706150672,1.2623976572183795,1.2505048939838044,1.262653200163728,1.3166259879887403,1.2039024683121766,1.229063736121193,1.2309252551326464,1.2439703683837844,1.2505753634166392,1.2691495550345335,1.2110025611480935,1.1983183125169805,1.2008914697945081,1.192626733768513,1.2288284030194356,1.2355991573728888,1.3305451579869063,1.3081459351987836,1.278678827259921,1.2670317014555899,1.2853020463482652,1.290956541288599,1.3916379530618477,1.2615015979856965,1.2536432442221157,1.3059574526095086
Mega Gyarados,Dragon Breath,Outrage,40,1.279023061737793,1.245813559794676,1.23606818657873,1.2446551061454332,1.2688664503247222,1.2755017186420787,1.2288426659471585,1.2199133288395527,1.1389029373824715,1.135385444759966,1.1664987371074516,1.1557253264635339,1.2118438466145331,1.1775068029317093,1.3571819031960481,1.3633161272260172,1.3306138542623185,1.3386975710468103,1.3273644252252177,1.3947631159255847,1.2400660886067651,1.2771767776234937,1.2517789163465902,1.2704512636908305,1.2690310881646163,1.2897530851890198,1.2289036942485865,1.211683115826208,1.2217568223609845,1.2086725459949825,1.2636072527901028,1.2626093081543013,1.3585196597640363,1.3484718850437787,1.2981517913678207,1.279858628990609,1.2897395306683368,1.2850550454673968,1.410590535005426,1.2820641247048372,1.3194629832182467,1.3794328641506521
Mega Gyarados,Dragon Tail,Dragon Pulse,40,1.3683256803457604,1.343441724161997,1.2805186723487583,1.2814026552950886,1.3135700247148188,1.329684622824606,1.3815118348540332,1.3792941116536248,1.2086861888923277,1.213539999477474,1.2456335237645122,1.2373294269710584,1.2485967369445605,1.2193316621014507,1.3932678916965442,1.4164749721657302,1.372284587520561,1.357650679422766,1.3695950248500688,1.4267525941501318,1.3086894157418436,1.3330211098627915,1.329821808201248,1.343977391950264,1.3451769610737168,1.3684737927917392,1.3178722906882294,1.3045817351729483,1.3023475716774604,1.2916624734721744,1.328839956647636,1.3388612192622613,1.4401935056216684,1.4260033811950146,1.3839362639953858,1.372901902745385,1.4115103444610066,1.4051059016923053,1.4895079116396666,1.3739409819451809,1.3600559834971209,1.4162224233226872
