Attacker,Fast Move,Charged Move,Level,Zekrom,Zekrom,Arceus (Dragon),Arceus (Dragon),Eternatus,Eternatus,Eternatus (Eternamax),Eternatus (Eternamax),Kyurem (Black),Kyurem (Black),Kyurem (White),Kyurem (White),Kyurem,Kyurem,Necrozma (Ultra),Necrozma (Ultra),Regidrago,Regidrago,Giratina (Altered),Giratina (Altered),Giratina (Origin),Giratina (Origin),Latias,Latias,Latios,Latios,Palkia,Palkia,Reshiram,Reshiram,Naganadel,Naganadel,Mega Ampharos,Mega Ampharos,Mega Charizard X,Mega Charizard X,Mega Latias,Mega Latias,Mega Latios,Mega Latios,Druddigon,Druddigon
Guzzlord,Dragon Tail or Snarl,Dragon Claw,30,,,,,,,,,,,,,,,1.733062345271943,1.8843147641647116,,,,,,,1.6512898082662197,,,,,,,,,,,,,,1.716044528974916,,1.7072419936616137,,,
Zekrom,Dragon Breath,Outrage,36.5,1.2047357056502286,1.2432539034623449,1.1911834899156966,1.2112489834203974,1.1970976349745952,1.2518611933569714,1.1966016798562242,1.2421806772700146,1.3097932861546688,1.1727071290553872,1.2460205196514194,1.186701060591122,1.3303286368684066,1.202227061354803,1.2924054875082431,1.3475789450924853,1.3295435678384375,1.3129216790183087,1.2721672695272543,1.3463905508031475,1.2490899151152492,1.2960816554857246,1.230574383712849,1.2724843628633336,1.2612184449680242,1.3083290859258545,1.276067889450789,1.2685194488168465,1.2892162715725084,1.244801013988262,1.1939617534055187,1.253808165482982,1.1866187457145736,1.2310734444917444,1.2804829834533447,1.3150540212974184,1.2945012229371955,1.2770507787205228,1.2772207646702882,1.2918520414521035,1.257421708061262,1.3147480048103204
Dragonite,Dragon Tail,Draco Meteor,36.5,1.2375044258502677,1.2637293085767016,1.2611175141073807,1.2744390725800416,1.255086043385199,1.2935303984761162,1.2432251081521244,1.2611903308797496,1.4410725787177505,1.3136253711572816,1.350960890325099,1.2442015585920758,1.5898936354802888,1.252572355635758,1.3208332882887752,1.3800456211284202,1.3133933557725688,1.3302416494347427,1.363556363179218,1.39028794450254,1.288892090843211,1.3125882008924976,1.234731204774948,1.271225215649401,1.2842910035101216,1.3248487762658074,1.3858244861962334,1.300583110992033,1.38340696382156,1.2621527044279324,1.222503589863003,1.2961321651725075,1.2864955854014408,1.2928843235444174,1.3415429286218898,1.3463714669034486,1.321400290840737,1.3320154226996386,1.3977174624451174,1.3537360667203286,1.303855213333731,1.3549300813977756
Dragonite,Dragon Tail,Dragon Claw,36.5,1.2366495258607246,1.2906348091059692,1.2598269361579695,1.3020052188577387,1.237213307177119,1.3027033503511187,1.2474845990700436,1.2983961790183194,1.2867298866172736,1.2641161291890646,1.2563346727379185,1.2601838679884987,1.3514497154358691,1.2540775957801222,1.3328850498913525,1.4163176614306872,1.323030655215613,1.3601761429671109,1.3504648597991988,1.4262233879431692,1.266492772294431,1.3267406035589722,1.2502187155063162,1.3045664527206575,1.2908342549406164,1.3568514689618694,1.3034651752123871,1.3035247143053834,1.299479228854579,1.2853734030144106,1.2536577793301509,1.3129802654558156,1.2644697119868455,1.3168047210370164,1.3282855124407775,1.376778295558393,1.309168143688645,1.344117135551765,1.3004020149018314,1.3399579910705766,1.325014659550573,1.375195046562708
Dragonite,Dragon Breath,Dragon Claw,36.5,1.2733423470857266,1.3502668352005989,1.3123714203508843,1.3750060287951889,1.2686576257143205,1.350875055338264,1.266520384525901,1.3282159872948651,1.3307725337535397,1.3160923265130864,1.2971767873203925,1.3134246972254806,1.396544020682954,1.2984908557745698,1.3729343466557118,1.4803948065426318,1.4067513923897785,1.4682844550435452,1.3666763810078915,1.471899839427654,1.322246331054766,1.4052134408624934,1.2984211602142186,1.381196189853236,1.3368524306390344,1.4231360292349857,1.347001276369306,1.3610785506696288,1.3449397026001817,1.3415891326910183,1.3191315442232312,1.397962995304071,1.3332510098170793,1.4127072846563047,1.3738033974761976,1.4485647250973808,1.3369747012962023,1.3863796988725297,1.348232919418521,1.4126428690908805,1.3554170766371487,1.4309709094884562
Dragonite,Dragon Tail,Outrage,36.5,1.2213952481503156,1.2482658922422412,1.254814304792601,1.2598019894192565,1.205994403219976,1.2553297348231003,1.23076190347739,1.2614895826659878,1.3885880022522614,1.2659268501152463,1.309124785960196,1.2453846881306754,1.4185261660188786,1.2386239415602445,1.280866152798348,1.353931308850715,1.350459601829351,1.3163328453051184,1.2946912077592825,1.359036337350499,1.2407201006920459,1.2860548297007632,1.2246089693798292,1.255232410776338,1.2653978939270085,1.306848103091792,1.2897153659235443,1.2717494446118982,1.2775352002718663,1.2402821532555084,1.226459715915706,1.2804313657003144,1.2325552677843168,1.262607684033679,1.2805834429746388,1.3186511202856939,1.3329515894483277,1.2991367284487385,1.2871291241329064,1.2888995164819375,1.2779947722551854,1.3156126698271664
Dragonite,Dragon Breath,Outrage,36.5,1.2496418042425788,1.276075825593064,1.3003470922912914,1.3036151150626745,1.2290273056256167,1.27587901532413,1.2372055109534583,1.275910989874331,1.4474242798637302,1.2629332868838183,1.3403026638523743,1.2584494161819122,1.502346786507496,1.2449897626318713,1.3116420363023102,1.380547237327164,1.4087286613436374,1.3856881952515359,1.3076074720426973,1.3788307361756353,1.2764242457631787,1.3288531870981959,1.261155308450186,1.3027382363762725,1.3007529932201758,1.343882290715007,1.3116573822893525,1.302106939653408,1.3168327562295066,1.2723862707458875,1.2746657546474172,1.3309853688826794,1.2845783140360512,1.3341349044126487,1.3104166801692905,1.3592562106668566,1.3681299976688337,1.3164058597377992,1.3237898296179793,1.3267243924590493,1.3080095808859338,1.344444775733723
Dragonite,Dragon Tail,Dragon Pulse,36.5,1.3316920231960419,1.3595239711388698,1.35823184168467,1.3712290925540638,1.311864117654226,1.3706181233322368,1.3368234802224073,1.3610283134337922,1.4564394016114202,1.3625816748560944,1.3818872525840715,1.3346626772933696,1.4697802436146588,1.3351913867295948,1.390890909287467,1.4670738694716812,1.443866692829004,1.426041084932003,1.4031870658308523,1.4752617634005527,1.3357927167781936,1.3881580899024015,1.338533992886636,1.3587850047013614,1.36950137038996,1.4136269654277058,1.3852328164595822,1.3675236574864826,1.376961158003986,1.351853926908346,1.3317154693988433,1.3832542593239414,1.3297186810472852,1.3670794757725142,1.3983641301177645,1.4327666552164415,1.4371167914272287,1.420701496016666,1.3858804193708092,1.408047931941493,1.3872009700150074,1.4400846775395808
Dragonite,Dragon Breath,Dragon Pulse,36.5,1.3627344324729909,1.4018103332825775,1.4113717213748647,1.4253518737495448,1.3476969128356342,1.4019162270066974,1.3447254133046502,1.3749169681663538,,1.369688855762103,1.4433596854646096,1.3757261256330646,1.5763030955024988,1.354377776235425,1.429456978843472,1.5062647971373282,1.5040224593603309,1.512225861470424,1.4246709981199892,1.5049133614096841,1.3765314641454103,1.4469925879466197,1.3887134622460244,1.4209558072033033,1.4130768860893397,1.467040438524787,1.4185784297308461,1.4082670030625422,1.4185548830331474,1.3934054024265914,1.3968375247409477,1.4561066480381883,1.397573839319661,1.447049189384166,1.4415260773473502,1.4843898866427723,1.4602425152913403,1.4377032832440952,1.4312033616124604,1.4473872399280168,1.421181311309222,1.4682011986046095
Dragonite,Steel Wing,Outrage,36.5,1.5678021915526341,1.663220771501377,1.4907372759159194,1.5192946392784739,1.4524497081795031,1.541659051309232,1.435145815701362,1.514034487293179,1.4719155969100273,1.3025017924921922,1.3576069394169263,1.309177101211903,1.5632352686007775,1.2927822216823988,1.5642879536437442,1.685097458405855,1.6274470590011019,1.6300167539583115,1.5609422530033505,1.6847772463461694,1.460182991689516,1.56121194912848,1.4412869465680063,1.5136453947099464,1.4930057219791315,1.5701303072558541,1.6953552065076227,1.6779381612095365,,,1.470126518415027,1.5484607249582798,1.6181087905267297,1.7220768923305896,1.685616789054449,,1.568269867641563,1.5288898098434418,1.5280618974968652,1.5476293918808932,1.548326823499011,1.6297643539362134
Dragonite,Steel Wing,Dragon Claw,36.5,,,,,,,,,1.3508241413253506,1.3374320979652683,1.3279763857002294,1.3384374239165209,1.4452192358411995,1.3466975812048863,,,,,,,1.5646382756910924,1.691666631350994,,,,,,,,,,,,,,,1.5894899556338367,,,,,
Dragonite,Steel Wing,Dragon Pulse,36.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonite,Steel Wing,Draco Meteor,36.5,,,,,,,,,1.524373842981735,1.3895764047265085,1.454229185069227,1.3515303217186767,,1.3699442150194339,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mega Charizard Y,Dragon Breath,Dragon Claw,30,1.3281219901924992,1.4009866206317088,1.3897129628243698,1.4299603679477648,1.404688217112825,1.489959912758465,1.304060045924612,1.3638210491177551,1.374237937641526,1.3853129063488656,1.3187387195238507,1.3637439208671454,1.332553963076069,1.4102581898945032,1.4994000064864161,1.620228970497616,1.457484944078004,1.5172633692059228,,,1.377455322142503,1.4548941165501956,1.3627276072114796,1.4281558399084258,1.405698898879646,1.4866548059816318,1.4483051825059259,1.4370727604928348,1.4190563663583677,1.4087989198820687,1.3863056428765475,1.458600147475453,1.5056754482028019,1.4733613016647764,1.4348050113097977,1.5012768081093517,1.3860004218300765,1.4412490610580535,1.3943619122033584,1.4616020198414168,1.4781299382808073,1.5588121291630639
Mega Charizard Y,Wing Attack,Dragon Claw,30,1.62763601807398,1.7327905513371114,1.5358010647268083,1.5742988719084754,1.5346975992331842,1.614658852294558,1.4601683228075382,1.5301797533828096,1.5420577405281473,1.5363278417583843,1.468086690396328,1.5087859440991414,1.4486960369239312,1.529130951554692,1.625433238559583,1.7553864282548295,1.59124115134409,1.6681961571551478,,,1.5108913534519657,1.6017705865650707,1.5000989329953804,1.5719471812272598,1.5474154926191277,1.6329124392941288,1.6322772586713108,1.6022825799777471,1.5928377894321113,1.5692754208877908,1.5070123607715293,1.5970111964916365,1.9208264414468574,1.8111422712841494,1.5796287534593723,1.6548405286115198,1.5263773307036792,1.6011504120243774,1.5233917439318876,1.6036409235677729,1.605971157955415,1.690638758857847
Mega Charizard Y,Fire Spin,Dragon Claw,30,1.6789960612225803,1.802290618298162,1.7178207859553187,1.7699993846471118,1.702278108791981,1.8072847493836637,1.6876123247901866,1.7841206043705935,1.529431304002625,1.5305493330308715,1.452315654131798,1.497739377488747,1.4090761209050529,1.4878669836202112,1.8186289877947264,1.960140971448957,1.8209439572547659,1.920894148189516,,,1.734153504515462,1.8677696457555506,1.7338718776828421,1.8243538694247987,1.7963437034187621,1.8994278020868394,,,,,1.6887613032172935,1.8172589940621724,1.9165889467680979,1.8280825011617363,2.0100913209454863,2.1417224595083315,1.778005446788356,1.8621207692108448,1.7568792147855266,1.8637157133827966,1.8112744367254043,1.9216533985310633
Mega Charizard Y,Ember,Dragon Claw,30,1.6991467511048572,1.8093352877398903,1.7426444540905166,1.79179451870257,1.714588587929963,1.8103004309276927,1.7098952028674221,1.8078255606545437,1.6039321404989815,1.5943843346309494,1.5155446721946448,1.5585920758490663,1.4645791400610773,1.5426759439200446,1.826308904768597,1.9767332245056808,1.8269097248426487,1.937516037009645,,,1.742612314433798,1.8646887064716677,1.7692326560647562,1.8601594374718942,1.8082261864692022,1.9160244265999902,2.0978841294826425,2.0361141810955936,2.0189314547608768,1.9851318460280867,1.7303915861373074,1.8451362207474675,2.005313116410868,1.8847589924901456,1.9690584674413931,2.094098165155453,1.761443065890598,1.8375306659364814,1.7896589777527805,1.8911798087706833,1.8642972857469413,1.973443851436636
Mega Charizard Y,Air Slash,Dragon Claw,30,1.7555407976253594,1.9043190794965263,1.5907420989520706,1.632353259125101,1.5770328942825926,1.6594960461064199,1.5709386896312207,1.6504966736688775,1.6184685432810912,1.6102919433045861,1.5284846484918115,1.5831299410246142,1.478709744586341,1.5697919558578568,1.677218624663517,1.7958422071112743,1.680293722548413,1.7533885258026052,,,1.579674276487814,1.6782219547648611,1.5959952577572463,1.6746821470912883,1.630814059720152,1.7166995239698033,1.7307939910170393,1.7107311772739282,1.6611405531012058,1.6536458572517612,1.571074436294485,1.660745818294718,2.035830227245401,1.9375326992256172,1.6628513652773007,1.737690468011744,1.6067359602739675,1.669565515021221,1.5812253090889496,1.6532399751673565,1.6432809564984048,1.7324607173738036
Shadow Exeggutor (Alola),Dragon Tail,Draco Meteor,36.5,1.3168853755230758,1.1907105759934544,1.4588553438408995,1.2367678340077268,,1.3295723621417228,1.3429366462894465,1.3278037784963568,,1.261558030162479,,1.2256718988625457,,1.2380166400610773,1.2915190106052907,1.331276418633312,1.260229725446395,1.2868247475586012,1.2789692131574084,1.321998030464936,1.255745506786966,1.292674399386355,,1.241995012468828,1.306732701831995,1.2586738471894985,1.4045532521368953,1.2576814732948562,1.3896139680556958,1.20347180763614,1.4457615360732718,1.306872647184383,1.2148286316856716,1.2237553171784263,1.5581239346429798,1.3610936477176245,,1.2866862657307465,1.2920080874486255,1.3251695456591708,1.252114453819931,1.2837393283441167
Shadow Exeggutor (Alola),Dragon Tail,Dragon Pulse,36.5,1.3552402984444856,1.2720471552560755,1.4775870183824202,1.3173857148321666,,1.3565490043174,1.40225425106129,1.376814477379937,,1.3506479302285075,,1.2990782455074277,,1.3091555038867297,1.3561323661365823,1.4140625506751276,1.4142604863176007,1.3764584245241724,1.3410819490397088,1.4141680809604626,1.3797098746858671,1.3548589421402146,,1.3045173950369977,1.313383661104967,1.3373601961821415,1.3430568114582984,1.3165507514949895,1.355571883868953,1.281793216198095,1.507087553847945,1.3742383669034035,1.2707284656304736,1.2979829655313604,1.4952686806100162,1.386480740937579,,1.339970064865625,1.3412737170268636,1.376443565796963,1.3173718158959222,1.3680491368257848
Shadow Exeggutor (Alola),Bullet Seed,Draco Meteor,36.5,2.6249135468626457,1.7369623165221348,3.2678514704439356,1.7850073426567612,,2.111011603773968,1.9151971015567837,1.9011912749980613,,1.9990804616325657,,1.8469396583814062,,1.8842092934480845,1.9272245705451831,2.027162949589734,1.9718993856881952,1.8440787586977194,1.8325895195591593,1.9213671697171602,1.8323494386926986,1.8698546830700904,,1.7581668778872492,1.8290849641775255,1.8428984949752367,1.878631419523613,1.654660236444623,2.5023558694673804,1.897014061739394,2.673569876198238,2.1248326347653976,1.7132866905621504,1.710004581953602,2.5766084865611085,2.003010545009106,,1.8141459236043531,1.8166167656267718,1.8417850763895671,1.8032141685798622,1.8318971943111004
Shadow Exeggutor (Alola),Bullet Seed,Dragon Pulse,36.5,1.9248054919068855,1.6822762354313852,2.0890299211184122,1.7211553333632694,,1.8426646846429717,1.7711937701678846,1.7638094162314168,,1.7941388543443126,,1.7264033063239077,,1.7258467518045533,1.6734240710911232,1.82628728338072,1.7860474242675803,1.8481615926825956,1.687407737568024,1.8537686882020277,1.7293943644662177,1.7935940195027271,,1.6934630636523447,1.6239457614078951,1.7202615761888733,1.6819626317767582,1.6122125843315434,1.8783342671087557,1.758654261230563,2.0157299064695153,1.9118761400240616,1.5909810255127075,1.6954073226767707,1.979279413575646,1.851349074152089,,1.7158678413770903,1.6567246282119936,1.7905110562517752,1.6473061212319986,1.757834163212976
Salamence,Dragon Tail,Draco Meteor,36.5,1.250223356381388,1.219868903104608,1.1993876407203952,1.198018896323017,1.1999935015616559,1.2646367169889485,1.2282709484679994,1.2577594723727379,1.4623900706059638,1.2388511036485825,1.3098390903585002,1.2061864797268338,1.5064417337590228,1.2004940831482511,1.3192570891125501,1.313609582599107,1.2599806801201456,1.2947262765459677,1.2721482217993627,1.3280799699807808,1.1924612339861083,1.2450829988939132,1.1991038796451494,1.2232059196271616,1.2295369524450641,1.2919767274126075,1.3352441660991847,1.2446368301386888,1.3164433259549766,1.204888084719454,1.1816931540342297,1.2535825862537353,1.2329972150821014,1.2464408619272151,1.2706476722556728,1.2838986071773466,1.4160548897136367,1.2787778768626203,1.3360321432300175,1.2659674907916023,1.2641004999155212,1.2915610682091496
Salamence,Dragon Tail,Outrage,36.5,1.2579890037112933,1.2013986604120765,1.1732950151426704,1.1936781637869813,1.1868625945827393,1.2135732069387075,1.1987680941960328,1.2277053204438706,1.3619092371072214,1.2024361690492298,1.2918768498974822,1.2036672991446455,1.4131320273459191,1.1849710230427541,1.2377401325391075,1.2806283175317024,1.2857757384571264,1.2623843448598555,1.2390204134499816,1.3002360013485792,1.1948747070564951,1.2337403111452026,1.178198765381628,1.1939348350435388,1.2155907101985863,1.2433408664711256,1.2320759421131169,1.2132169344065256,1.2211963959330252,1.1843750287021133,1.188123374859316,1.2236339115923467,1.1764637067029757,1.1997796762736044,1.2272264746485537,1.2554329157241835,1.332844281797292,1.225037095144884,1.231098507683862,1.2378646171877368,1.2434479262947613,1.27134579643599
Salamence,Bite,Draco Meteor,36.5,1.6144547811107461,1.6145905377614462,1.6278395625339899,1.6476090214059649,1.6297311677287551,1.7379362584428928,1.6764371672404434,1.7314371166626767,,1.7132417575740393,1.9519725868081055,1.6607194956809734,2.374136764297613,1.6011959501665742,1.4895968692230352,1.4752791861709602,1.66487932621919,1.765606840444961,1.402015630565508,1.4950123524515377,1.3527802616467557,1.4212474625689187,1.4017088426474797,1.4096545521442296,1.3702399384526613,1.473943357214983,1.818106210299519,1.6520647041093137,1.8564673898068462,1.590962278534493,1.5649377110257305,1.6921401404897736,1.6401866577410644,1.6920927179433851,1.658648268531541,1.7112987795788477,1.6995015744622592,1.4948372068928515,1.5393780388273874,1.4544732998564152,1.7692437659640021,1.8446286412832822
Salamence,Bite,Outrage,36.5,1.5200929015782627,1.4204768727538237,1.4296726488946099,1.465181836778478,1.4143627671975079,1.4567813234881992,1.4465173835784109,1.508176738947915,1.7810080895071356,1.4190178358036645,1.592361570825796,1.4418807735413601,1.7441677366740702,1.395446540116602,1.3133436395282212,1.371758143155209,1.5461526270508505,1.5609745973767226,1.3187675358144904,1.4088747173793374,1.2915598367568346,1.3399140557789861,1.294220187236826,1.3258983688320183,1.2998528633937587,1.352627782853296,1.4627880668772861,1.4531483156018472,1.4666807498369718,1.4210549519182196,1.398057593045368,1.4701798812434508,1.3984349866278447,1.4611882533007938,1.4386872857133597,1.5117440421022612,1.4973663372198438,1.335484420039149,1.3267131661283642,1.3505601377695302,1.5352773388194838,1.596380333343272
Salamence,Fire Fang,Outrage,36.5,1.6523804194880507,1.522175115072107,1.4760486361617946,1.5381660155567862,1.461259153659636,1.5530678721269795,1.4805798235173129,1.535336156696665,1.7365097240169651,1.4216549260115936,1.513641201882544,1.4072259435357464,1.707736153525819,1.3974896758745143,1.5309391249824325,1.6368471692197921,1.5928863598629497,1.660056903083634,1.5692108716811715,1.700333525715385,1.5011781308403294,1.6098712955625152,1.4754082008094518,1.5446776501369528,1.4921767562629225,1.56712987450113,1.6691393996226709,1.6185665219122467,1.654340218778989,1.590936561440892,1.4739953234757635,1.5775313385337835,1.4769813699716308,1.548775058574265,1.5997271389776462,1.6981029353623995,1.8851752629962517,1.5676676497034239,1.5210892235083855,1.561930614540568,1.5690191518331893,1.6252521939632467
Salamence,Fire Fang,Draco Meteor,36.5,1.8514620440915588,1.76985028242887,1.787212634358977,1.7965460408694105,1.802116460138173,1.891699463472684,1.7161567303834133,1.7876104702720748,2.198928150431616,1.6169717616653774,1.8282771983975434,1.5685480706738806,2.3142633432815103,1.5886508363409217,2.0853915092809805,1.9940065512805265,1.839286522874436,1.9411913422788403,1.9264586273826325,1.9934075813766554,1.817764772192722,1.9168485423809263,,1.8407440415355056,1.7332307544357357,1.8400980910708273,,2.030891486281821,2.537825252348981,1.9470099286350653,1.7555861179027437,1.8816048628090192,1.828504950784619,1.8507550474605903,2.052929205203155,2.079492647011167,,,,,1.9030183766162776,1.9157697009451682
Salamence,Splash,Outrage,36.5,1.8658008816844098,1.7298057395710458,1.6181585647974908,1.7217640337878628,1.6072790632501126,1.7312428669485362,1.6274171957663037,1.7164677836485454,2.20439879609338,1.750756492467482,1.807886322982291,1.7536655888383397,2.216717708911716,1.7622805038867297,1.6635279618598717,1.7994940595236806,1.7951149381914782,1.861983608289436,1.6710247868083055,1.827296155978034,1.6043281475799582,1.7797679336517396,1.6025068476350108,1.7110224438902744,1.6564100591431454,1.7455690724623742,1.7262169232429456,1.7182368241847796,1.779119556931216,1.694642578322327,1.584208968836108,1.7772126169131057,1.6131661299390048,1.7039765507963176,1.6786980446040274,1.7699152899391408,2.2375097594458486,1.7832237438529368,1.6682529471924632,1.7704720559789753,1.6984903147579435,1.7905721697128716
Mega Charizard X,Dragon Breath,Dragon Claw,32.5,1.3104919710948406,1.3656752150550457,1.3370853228357455,1.3892156911660272,1.2883133709430452,1.370122617408504,1.2799310793632597,1.341659557680571,1.3700514050303205,1.3247509752372775,1.25323801226189,1.3182236155070453,1.3277996599111606,1.3047503990838425,1.3732629917514405,1.4816272256516145,1.4366255112976016,1.4795443225212443,1.3817831339988609,1.4797913130932177,1.3336144460878003,1.410017078659304,1.3023048935039452,1.3843391521197008,1.356549502332067,1.4331297783334134,1.3683776713516491,1.3862189326873342,1.3639115699367175,1.3631382201934292,1.347045154655179,1.4185416424108355,1.3598588368337075,1.4283996633401466,1.37286037422792,1.446685159860264,1.3559626051337461,1.3842788740837222,1.3666620638710858,1.4170009306628137,1.366180665295129,1.4369142391444785
Mega Charizard X,Wing Attack,Dragon Claw,32.5,1.6491571163085932,1.7399489628375342,1.55887180868845,1.6492139282631582,1.5405116707891133,1.6550730465085108,1.5249238804611345,1.6213841111631875,1.646550920956158,1.543110956279394,1.443697722475638,1.5401952163738688,1.601187274430872,1.561881853831205,1.6373336504470222,1.7947460027459161,1.671173380828038,1.7437814136718337,1.6895525117286383,1.834427625300716,1.5775489793064286,1.697733157602546,1.5331507297330444,1.6374293773762316,1.5755176227340482,1.6786421118430541,1.6066363761531048,1.6209797157752548,1.6006557858868264,1.604787053280307,1.565903093103582,1.6758183917413745,1.684745344117714,1.7969869593051029,1.591401961229106,1.6956432974055518,1.6275730709599594,1.6673906849558373,1.5875659406598612,1.6685481996894798,1.6254807835654015,1.7202758977111223
Mega Charizard X,Ember,Dragon Claw,32.5,1.7171656946612779,1.8070824611580043,1.6932382696276782,1.7926759701370907,1.6671235881127315,1.7833562809437356,1.6579636379576024,1.7635700148024265,1.6680689289200894,1.5462280698201027,1.445065967520277,1.533818792040838,1.5985953983897836,1.5645778387007219,1.7734359628544556,1.9443400611885275,1.8484068645948109,1.9312521697130696,1.8309437958693098,1.9879046927887207,1.7028207334076375,1.8363499980929536,1.656193941376068,1.774746739708107,1.7558282444583353,1.879911525700822,1.86512720899338,1.8895177705586628,1.9025413999283594,1.87397521974338,1.7018400473473823,1.8113260177746728,1.7058125818496144,1.8115647209070318,1.8517217465697933,1.97805769617152,1.7697279566033057,1.8062181083511255,1.7141641491620105,1.8044328289342957,1.81681028056889,1.9322480296570161
Mega Charizard X,Fire Spin,Dragon Claw,32.5,1.7083286705204432,1.7918740471809398,1.6721948639654338,1.763213871717217,1.6475064273616746,1.7813620726769097,1.6364175093484572,1.7434569229161119,1.6351984704066629,1.5254979482547002,1.418099467390495,1.5157458847012093,1.5528026964186565,1.5040493996390896,1.7871439227684023,1.933060183133155,1.828536066291338,1.9166188700889017,1.8185170581927135,1.9648264656750418,1.7054757656790993,1.8330741162959228,1.6268263766812479,1.7471616041862557,1.7454498244939172,1.8659441265567147,1.9107955539182304,1.9324975533153972,1.9564627974687032,1.923824131818474,1.677011778631583,1.7861048045950245,1.6908416171371563,1.7984232880229032,1.884056749907642,2.026926392336559,1.7210389600778535,1.7508473604167978,1.6939893102879218,1.7825156635378883,1.7611934364968147,1.8825745152409632
Mega Charizard X,Air Slash,Dragon Claw,32.5,1.8500421029072103,1.9585190050138233,1.6472813875708694,1.7417779706992238,1.6092996714227112,1.7279164788211832,1.6135133677037357,1.7197039177538078,1.816529816132835,1.6824493747544187,1.5642944382851058,1.684975663347331,1.7247384265685732,1.663847775541366,1.7699419465735504,1.9149263251208093,1.7918320679818274,1.870734155434471,1.7905721366026852,1.9390225087000497,1.6628045447032849,1.7816516716320503,1.5988324271288992,1.7222746412656884,1.683125450786171,1.7944299658604606,1.7250112566097695,1.734902188433787,1.7408286414945304,1.7261937783002836,1.6464276011953274,1.7532769627818527,1.8281507430238944,1.9573943307260608,1.7068947637904996,1.8149568024058433,1.7369750713225853,1.7797260694687531,1.6718958914997593,1.7525952469961146,1.7261993500104356,1.8294025860441079
Garchomp,Dragon Tail,Outrage,45,1.131278515776207,1.159712195900516,1.1522865349146239,1.1688411907244698,1.1441800392343215,1.173975379041724,1.169023309606741,1.2013753780688061,1.1999368070549252,1.1487262165654635,1.210999482883858,1.151478811316996,1.2398667406996113,1.1567249965297057,1.1985924476492145,1.256098852985373,1.2131148778168537,1.2410721023953633,1.206808800812195,1.279489216128854,1.1401975699991949,1.1984366458021674,1.1367466579453007,1.1644119210171293,1.180627975188729,1.2162081069385007,1.2112205141944918,1.1921828892089115,1.174240656888048,1.1525188974714586,1.1575561765048317,1.1871992276943377,1.1317782854394614,1.1675370212102207,1.1859214082480507,1.2260792917279686,1.1614230844659224,1.1801528949014064,1.1457121591265016,1.1917356244028996,1.1939533080890903,1.245405845930608
Haxorus,Dragon Tail,Dragon Claw,50,1.0482211292384969,1.088513336256382,1.0753225197536593,1.1148481325702957,1.0546254665675654,1.1089828725534394,1.0882792769402474,1.1349119778267072,1.164214564353508,1.078231650753657,1.0653940646334812,1.0731206248855603,1.1668409043586898,1.0763616567184897,1.1495637884995837,1.216499281088853,1.1485517636937195,1.1734034685221801,1.1548218370771641,1.2255898605134885,1.0910911271491353,1.1444396886005246,1.0618944442173255,1.1127966967826337,1.0981141510794825,1.1477790065874884,1.126044259873256,1.1218393114303895,1.0960092581536964,1.081251320297216,1.0824819536616601,1.1313744324135522,1.0608489937574943,1.1030127157336487,1.1171779300153606,1.1586644716801369,1.1160902272332018,1.1325693521948115,1.1051547942606508,1.1455246794040614,1.1313595118121191,1.1775445501257242
Haxorus,Counter,Dragon Claw,50,1.2848211222672095,1.3630059457743908,1.302349483851976,1.3778166946901698,1.411184624694878,1.5419108657950635,1.4460453244226548,1.5573619311265692,1.277167902844898,1.170868052320518,1.1552354488145564,1.1619036312821058,1.2529345676013326,1.1548770648250972,1.517194408709095,1.6789613085263941,1.4199847554073024,1.4748200081505745,1.6883144094156728,1.8718011721971743,1.5405014260468626,1.6948153767264067,1.4181055557826745,1.5322039164384123,1.49306342260903,1.624120786651921,1.3704652607998333,1.3711685663358526,1.369945902256675,1.3515196046915325,1.4176538789925097,1.5649207319439593,1.3269727584985491,1.406344543413198,1.3761042445768061,1.455243662948584,1.5064245830727732,1.5612967204561685,1.4505193861891434,1.5476518445422633,1.3785443811681923,1.4636691612749337
Palkia,Dragon Tail,Draco Meteor,45,1.0613693443137227,1.1032502710546641,1.0769340790745092,1.0906464697870046,1.1131479653795697,1.130839963771206,1.1307157091171482,1.1309719698017016,1.0642502116558579,1.0877835074515017,1.048914760345844,1.081229488900112,1.2336787722098834,1.0765937326485286,1.235541237392028,1.2382460730154268,1.1546797880850679,1.1867009795782832,1.154381834562864,1.20195543974537,1.1585687829230358,1.1790525793861006,1.0984865704590983,1.13718981235436,1.1459498966197046,1.1664413136510072,1.2340574775519013,1.1599964276544201,1.2152777905342727,1.0985276963913406,1.1265499476074048,1.1534084293864244,1.117947934708786,1.1319050203263261,1.145650102727962,1.1690960587461354,1.1449263832511258,1.158326888707165,1.1619454332970722,1.1832036130822676,1.1681823151157358,1.1953745390937913
