Attacker,Fast Move,Charged Move,Level,"Arceus (Ground), Tier 5","Arceus (Rock), Tier 5","Groudon, Tier 5","Regirock, Tier 5","Terrakion, Tier 5","Boldore, Tier 3","Claydol, Tier 3","Donphan, Tier 3","Golem, Tier 3","Golurk, Tier 3","Graveler, Tier 3","Hippowdon, Tier 3","Nosepass, Tier 3","Onix, Tier 3","Piloswine, Tier 3","Rhydon, Tier 3","Stunfisk, Tier 3","Sudowoodo, Tier 3"
(Battle settings),,,,"Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging"
Exeggutor (Alola)(Unscaled),Bullet Seed,Solar Beam,40,,,,,,,,,0.634281,,,,,,,0.5435048,,
Shadow Golduck,Unknown,Unknown,40,,,,,,,,,,,,,,,,,,
Shadow Golduck(Unscaled),Unknown,Unknown,40,,,,,,,,,,,,,,,,,,
Gallade,Unknown,Unknown,40,,,,,,,,,,,,,,,,,,
Gallade(Unscaled),Unknown,Unknown,40,,,,,,,,,,,,,,,,,,
Mewtwo,Psycho Cut or Confusion,Ice Beam or Focus Blast,40,1.2437828775393083,,1.2177889435723892,,1.1772643559276876,,,,,1.29944922163775,,,,,,,,
Mewtwo(Unscaled),Psycho Cut or Confusion,Ice Beam or Focus Blast,40,2.9214818,,2.8491943,,2.1196175,,,,,0.77903956,,,,,,,,
Chesnaught,Vine Whip,Solar Beam,40,,,,,,,,,,,1.3015180441558183,,,,,,,
Chesnaught(Unscaled),Vine Whip,Solar Beam,40,,,,,,,,,,,0.5194775,,,,,,,
Shadow Cloyster,Unknown,Unknown,40,,,,,,,,,,,,,,,,,,
Shadow Cloyster(Unscaled),Unknown,Unknown,40,,,,,,,,,,,,,,,,,,
Exeggutor,Bullet Seed,Solar Beam,40,,,,,,,,,1.341270423690766,,,,,1.24128482910703,,1.2701535749484119,,
Exeggutor(Unscaled),Bullet Seed,Solar Beam,40,,,,,,,,,0.6356798,,,,,0.6849828,,0.5415409,,
Mamoswine,Mud-Slap or Powder Snow,Avalanche,40,1.1859896767293863,,,,,,,1.1578739087635195,,1.2053247857602276,,1.1947913357531792,,,,,1.199114279779334,
Mamoswine(Unscaled),Mud-Slap or Powder Snow,Avalanche,40,2.7857332,,,,,,,0.8432424,,0.72261053,,0.86879706,,,,,0.7204269,
Metagross,Bullet Punch,Meteor Mash,40,,1.1835729380476567,,1.2097003321775144,1.075354183077981,1.1919627002761237,,,,,,,1.1969736355555438,,1.183678218542031,,,1.1574489718655692
Metagross(Unscaled),Bullet Punch,Meteor Mash,40,,2.2933662,,2.972743,1.9361323,0.5715839,,,,,,,0.80908996,,0.5618577,,,0.684832
Landorus (Therian),Mud Shot or Extrasensory,Earthquake,40,,1.457934803543814,,1.363898249424905,1.2367801430312175,1.3572185113100972,,,,,,,1.3542997014481992,,,,1.2058984099845673,1.2658726703371588
Landorus (Therian)(Unscaled),Mud Shot or Extrasensory,Earthquake,40,,2.8249872,,3.3516722,2.2267733,0.6508293,,,,,,,0.91543394,,,,0.7245028,0.74898344
Torterra,Razor Leaf,Frenzy Plant,40,1.2774388343661711,,1.220419384920467,,,,,,1.2652598359897183,,1.2677119348987302,1.2686346409796663,,,,1.2354679839928173,,
Torterra(Unscaled),Razor Leaf,Frenzy Plant,40,3.0005352,,2.8553486,,,,,,0.59965545,,0.5059844,0.9224925,,,,0.5267524,,
Shadow Venusaur,Vine Whip,Frenzy Plant,40,1.1581420497022394,1.4044010012883557,1.137384451507053,1.280661311187623,1.1712674999018307,1.3058365067418902,1.157678999982065,1.0512351292704236,1.1403766707491927,1.093363104054743,1.1027723910886624,1.088586692388873,1.2439783127758586,1.0447473577637612,1.2676346255673774,1.0900887187452064,1.1740568229784594,1.2424128776406451
Shadow Venusaur(Unscaled),Vine Whip,Frenzy Plant,40,2.7203228,2.7212567,2.6610763,3.147124,2.1088204,0.62619,0.9553181,0.7655808,0.5404685,0.6554878,0.44015175,0.79156995,0.8408626,0.5765268,0.60170937,0.4647687,0.7053724,0.7351029
Sharpedo,Unknown,Unknown,40,,,,,,,,,,,,,,,,,,
Sharpedo(Unscaled),Unknown,Unknown,40,,,,,,,,,,,,,,,,,,
Emboar,Unknown,Unknown,40,,,,,,,,,,,,,,,,,,
Emboar(Unscaled),Unknown,Unknown,40,,,,,,,,,,,,,,,,,,
Glaceon,Frost Breath,Avalanche,40,1.2728589260869492,,,,,,,1.23231254597381,,,,,,,,,1.3050112250482357,
Glaceon(Unscaled),Frost Breath,Avalanche,40,2.9897776,,,,,,,0.89745367,,,,,,,,,0.7840497,
Roserade,Razor Leaf,Grass Knot,40,,,1.2749816702992685,,,,,1.167066185396885,1.2552402887310838,,1.199446098032731,1.235324177636148,,1.1460825969852875,,1.2174108837021231,1.2834814027715082,
Roserade(Unscaled),Razor Leaf,Grass Knot,40,,,2.983005,,,,,0.84993684,0.5949068,,0.47873732,0.89827067,,0.632447,,0.5190536,0.7711146,
Darkrai,Snarl or Feint Attack,Focus Blast,40,,,,,,,1.7521223914846462,,,1.851700674144709,,,,,,,,
