Attacker,Fast Move,Charged Move,Level,Arceus (Fire),Arceus (Fire),Arceus (Fire),Victini,Victini,Victini,Volcanion,Volcanion,Volcanion,Entei,Entei,Entei,Reshiram,Reshiram,Reshiram,Blacephalon,Blacephalon,Blacephalon,Mega Charizard X,Mega Charizard X,Mega Charizard X,Mega Houndoom,Mega Houndoom,Mega Houndoom,Arcanine,Arcanine,Arcanine,Flareon,Flareon,Flareon,Lampent,Lampent,Lampent,Magmar,Magmar,Magmar,Marowak (Alola),Marowak (Alola),Marowak (Alola),Ninetales,Ninetales,Ninetales,Torracat,Torracat,Torracat,Typhlosion,Typhlosion,Typhlosion
Krookodile,Snarl or Mud-Slap,Earthquake,30,1.4621900403032992,1.470977829390289,1.1983514356627274,1.5496450029170832,1.452453249903617,1.46071661304465,1.6043975348735626,1.455456482035407,1.4128042237605523,1.4620644628536212,1.4563857764362989,1.3882578107362156,1.6735393220567425,1.4372531841768312,1.451388233708471,1.5881296546558403,1.4226275214951754,1.357908487294665,1.6666192583668678,1.507285540189689,1.436089428785762,1.5909328183697178,1.5118235444985895,1.3248133005446345,1.4428293792596971,1.4682823289180258,1.1930017822438361,1.4898943778637985,1.4725923890644321,1.2151879298222932,1.4202798835252055,1.4432799695298006,1.226781830914966,1.3886785816758143,1.4425737900650666,1.1981063095249114,1.4065791738734825,1.439253715438024,1.2064004721659793,1.407662929653813,1.4399177651841812,1.20307687569299,1.4376012745271587,1.4945737278557714,1.2158253788858782,1.4765607977876478,1.4485376686499625,1.2822676611078523
Shadow Sudowoodo,Rock Throw,Meteor Beam,30,1.3919363040887733,1.3970702309659888,1.398410638249425,1.5514993125236693,1.4440210029989662,1.5649724838878065,1.6326809674386806,1.394021403678698,1.7355971474422889,1.4149956372555998,1.4477518137423397,1.4409076949048434,1.5647146034099333,1.4152907877889347,1.6528421726531437,1.578662978663881,1.4317805969240072,1.5816997150521501,1.3959290214090305,1.428916831898535,1.5542086020965624,1.400461656835086,1.4187318015177346,1.4911244210431032,1.4516779064456327,1.49891184610011,1.481367043714232,1.4174054289939635,1.4254382066056264,1.4737076036624295,1.4010271405929402,1.4362644518435699,1.401334299861164,1.3778588154716178,1.432327869459382,1.3914182316299992,1.4531809723668139,1.4864785107098064,1.4544023739456189,1.3689247874830601,1.3990159541702598,1.369332881606505,1.4329307316276094,1.479445526219039,1.4355723797981998,1.3950054470795274,1.410441632447834,1.4030838850247214
Garchomp,Mud Shot or Dragon Tail,Earth Power,30,1.2973776290123034,1.3059528959931992,1.0860668989229683,1.3013022814661157,1.3476207860089184,1.067256679438146,1.2374947377083947,1.2755082661500916,1.0044788827798827,1.23771567109992,1.2961845817155246,1.056986187693603,1.2621723161938136,1.2128748567962802,1.1266493699036324,1.2637335613517764,1.2733356044932869,1.0615153449944612,1.1998120400349148,1.2249244953107614,1.06153039569198,1.261171039331352,1.3168534918455714,1.0652535340886804,1.2943926489158764,1.3551680593245385,1.0886196118469957,1.2893901069151388,1.310344827586207,1.0686018603072498,1.2963964074651988,1.3200845302306152,1.0774409947045742,1.2762511222383681,1.3332099256777394,1.048610275538443,1.3187776147420711,1.383020058856801,1.127312670606848,1.2649608845632623,1.3074873721818405,1.0633700874707404,1.2815670148013998,1.3406500633178557,1.0934653249635753,1.2618788234308222,1.282041397804408,1.0810525433671332
Gigalith,Smack Down or Mud-Slap,Meteor Beam,35,1.2690059278487449,1.2897162070876123,1.2244719205167323,1.2562836701341857,1.2849990276389367,1.2543235949382636,1.3613239767414624,1.2832695527764326,1.2886869435027712,1.212877519764554,1.2642236653968266,1.2180721347752423,1.28233371520992,1.2761961722488038,1.2561425972100546,1.23791904593233,1.2536148669228113,1.199073186249405,1.2537096994592665,1.2778070593747124,1.2179052782170017,1.2615270883937058,1.2932637327821614,1.2043057797625334,1.2583984882273391,1.3060354478447387,1.2029698093267776,1.2626572816240111,1.2578489288282975,1.1946453536765718,1.256035679620597,1.3085844872283177,1.202282807681439,1.2307322084725527,1.2773803022870525,1.1794007941282638,1.2602896935019796,1.3153265404824945,1.2285906337352754,1.2377571762966613,1.27676481458667,1.1821947763952199,1.2697885319789213,1.326461416958292,1.1988453001811026,1.2984831978546887,1.2662113466856617,1.2314254588116988
Aurorus,Rock Throw,Meteor Beam,45,1.245241402342297,1.2898680085919652,1.2504588200469067,1.4256519083865289,1.3446951733361536,1.426028911535614,1.2518651460622232,1.2635118239340102,1.256793499764186,1.2772630846738517,1.3135582706040518,1.2757681582710108,1.3325594716625109,1.321307028775524,1.3339881393624908,1.2499283682166957,1.2872987259695108,1.279657250377336,1.3023868684587003,1.3292060225273086,1.308126061457889,1.294706033221188,1.3301419670202013,1.2854397055051825,1.3026321681578406,1.3656644903588668,1.2993184484627027,1.2751105113016494,1.2999361580048974,1.2601278456155096,1.3135973264857295,1.3743780024818468,1.3143959405831112,1.254269133585702,1.3174847051636849,1.2623029719648657,1.3366559828184046,1.406923461566837,1.3425334655835266,1.2761257237895773,1.3274146852285327,1.2842491068128619,1.3203883495145632,1.4129277359441168,1.3220359754353954,1.3072907064443142,1.3407357747423114,1.3210341070979637
Lycanroc (Midday),Rock Throw,Stone Edge,30,1.4518553938869534,1.4729831272627911,1.4609285698021266,1.6012125513048403,1.5142169422826943,1.6113711655709124,1.6157704153174626,1.4489185792920518,1.6807379552871393,1.434749004907833,1.4784476358806744,1.4617878506212587,1.573161938135993,1.4925112878226297,1.6460543163285937,1.5785321237526482,1.4879241222004382,1.581483127612868,1.465705672542507,1.4977843591652793,1.5578450975634923,1.4816861035257909,1.518700119185915,1.5457447611001314,1.4846270274143134,1.541936466141845,1.5071603213412503,1.447774823626387,1.4523326572008115,1.4906540167928692,1.4616112346573946,1.511788772714428,1.4619306802963472,1.4189257980618828,1.4841775959571653,1.4376313134585303,1.4685181693731504,1.5169479715716734,1.4754940938265937,1.4444991992115312,1.4919767155352963,1.449735123814217,1.442680319721129,1.509266193711788,1.4447364479363827,1.4285091762339732,1.4425375010475154,1.4261795022207326
Garchomp,Mud Shot or Dragon Tail,Earth Power or Earthquake,40,1.2079513627980052,1.2260278859363496,1.01605300908532,1.1582457924060308,1.2195847165311615,0.9773610461922682,1.116188233357706,1.1484868339838001,0.9434790315484274,1.167433791031662,1.224082349088705,0.9534681275589173,1.1431043196980928,1.1037283509670464,1.0379809960239907,1.1747928318582075,1.1946421682207569,0.9707516712202672,1.0876635237752623,1.1144324808205541,0.9787806027547011,1.1769443145301208,1.2309310079507567,0.9716397869740356,1.2117287765209526,1.268984479253428,1.0002955479728095,1.1543198403141997,1.1960191687610613,0.9884276282294757,1.1966802226290376,1.2073693651632245,1.0147190721332826,1.1656192441898132,1.214868154345955,0.9806558499856539,1.197965423678796,1.2662983334836175,1.0069185431712175,1.17978471110016,1.241922816311445,0.9901364420352347,1.1996486880267978,1.2267323901469247,1.0252862920246735,1.1863655409368978,1.2030587446576722,0.9663119081538591
Shadow Aerodactyl,Rock Throw,Rock Slide or Earth Power,50,1.0328301113464033,1.0553787068029843,1.0325356164279587,1.0452352602004087,1.0812126195407044,1.0407658111026574,1.0495351774302293,1.033472922542233,1.0470266865446765,1.013200098441412,1.058808574165638,1.008231247826255,1.0880702877552395,1.0824819731787856,1.1151644315654694,1.011368584443156,1.0455803753731057,1.0283142954478284,1.028960893730113,1.0736975963992001,1.0185728986271114,1.0104491347706048,1.0585097234585037,1.0099844605705837,1.0569870227571938,1.1065763901949721,1.0602380504580993,1.0163726433010354,1.0422488544806576,1.0181828467064804,1.0396604047130518,1.0964725829637183,1.0474745364966642,1.0071823255555659,1.048082707810779,1.0097646307488686,1.0678328729168545,1.1131968751793164,1.0680378060676607,1.0144680916594802,1.052721140815572,1.0119117284711099,1.0473862661528615,1.0989801059382618,1.0440637808249023,1.0400988854437276,1.0676275873627756,1.0653984748177325
Aggron,Smack Down,Meteor Beam,30,1.4306380976235473,1.476796381052136,1.4291246366251489,1.6897366436825532,1.5527394993534651,1.700033435573403,1.7265475885251973,1.5098962735062214,1.7649599432780358,1.5121089038630118,1.5578556857034187,1.5239625515851305,1.508250219017454,1.5132269694723364,1.6731484601388233,1.5155548135430321,1.51016043263341,1.7090486171117614,1.5015156712318072,1.543840128058184,1.676834352611779,1.4980734124888735,1.556504684459062,1.5268651087005718,1.5170387884324315,1.5482952255568392,1.514531108663138,1.5106066605787802,1.5361434586198817,1.56613303378777,1.4739467508692607,1.5260041036478236,1.491921711245715,1.446886887628074,1.5005321955147488,1.4855566765084272,1.5340475936749431,1.5784033248354385,1.54107270208458,1.4959421584329184,1.5321701367500307,1.4946947763952199,1.5110772205503888,1.5728563842100247,1.526409673334332,1.49569261711221,1.517765859381547,1.5035112712645606
Shadow Ursaluna,Rock Smash or Tackle,High Horsepower,35,1.316619987704078,1.3491859644329074,1.1702772654477005,1.3001115656377835,1.3132640284407082,1.1619049406177393,1.2856688412196489,1.2293362074150043,1.1906706296074727,1.245658103212973,1.3024531030400903,1.107081476539825,1.270700518902891,1.283199676528068,1.2088937933823034,1.6225805942166642,1.6213668021090202,1.9365646976010686,1.2526918153753483,1.2930530108453457,1.2291577776104543,1.1771706169002611,1.2406952008810705,1.1110329948855664,1.2865919736335385,1.3425669684838388,1.1314024199109773,1.340762709809848,1.3487389185650906,1.2568791770039518,1.704660220417491,1.80217714489317,1.4165448268236045,1.2795275954943865,1.3607545144063011,1.1365567412974464,1.7098146584584109,1.822470510119599,1.463985048077317,1.2941049648885055,1.3394881113711963,1.1680962794135763,1.2743365241901443,1.3612521956998325,1.145522134015986,1.306754378613928,1.2750775161317356,1.1920053632783039
Shadow Tyranitar,Smack Down,Stone Edge,30,1.1306692169319397,1.167983544716928,1.1307800320301173,1.2053507152824452,1.1525429800648923,1.2300913337040815,1.1988085855276693,1.1438955834733975,1.2042386374067429,1.1298348665651066,1.1737145158370672,1.1351006685473586,1.127186805040771,1.145409057214098,1.1232562841161804,1.106953584860538,1.1353536128364157,1.1084854897696277,1.1608396288766742,1.1762194390761518,1.159902617774766,1.132450251195631,1.1710121750675135,1.133062776277477,1.1422839589098759,1.1875296667472706,1.1480247543817226,1.1277809653879411,1.1381977162344539,1.1245727031023978,1.1440699831676722,1.1840375471489477,1.1513312282684818,1.089473635496978,1.1384541340022027,1.104115953833196,1.1545687796640736,1.2102450180751039,1.1595199645875516,1.1290732413453246,1.1664100036959468,1.1558534557102378,1.1308024346736747,1.1942973079698798,1.1354457440869292,1.171733847314171,1.1409285175563564,1.179803905137015
Omastar,Rock Throw,Rock Slide,40,1.3756176423708357,1.417996068341037,1.3757709618902323,1.3936475822327457,1.447978683116059,1.3972709066158082,1.31949469339436,1.357884891129913,1.3130802368901677,1.352424323164444,1.419112278125464,1.352916530224971,1.3861395646606915,1.4238813262349215,1.3837017319226363,1.3737757733412448,1.4020697637166404,1.3890632367639129,1.3758362684648355,1.4229099214416585,1.379958001823825,1.3819199493082692,1.4424995851123215,1.3753752847638159,1.4338465120861208,1.4788145839490583,1.4353421639485209,1.361927543376191,1.3994084513871492,1.3598021706278336,1.4238060719244143,1.4745856421471661,1.414923025887383,1.3651138898401562,1.4285978730690558,1.359199577945818,1.4547220696608767,1.528596371863498,1.4573534113172284,1.4175726869533078,1.440456757422693,1.4204755451521498,1.415583000857855,1.4924631326679285,1.4081210256130938,1.4360010056146821,1.4338054135590381,1.4377859716751866
Donphan,Mud-Slap,Earthquake,40,1.4342737436527995,1.4152940015635553,1.2102405294836471,1.4341745678110958,1.436161937352653,1.1968468207205025,1.4221085883764288,1.4123895710084926,1.2017317291652818,1.3957263410100007,1.4320093234593614,1.171076530062258,1.4024091919940698,1.4129136060381426,1.2562554754363502,1.4678807595901986,1.4475215402976724,1.3440062810357392,1.4252970687727107,1.433827774013001,1.334401414440568,1.4378528431121103,1.4704554712369688,1.2150083731876953,1.406288902621421,1.453254162300617,1.1818963432655365,1.3786719248765589,1.3994731015087722,1.2229378631518553,1.4260053322848965,1.4604563158088733,1.179786462876731,1.3686310080245827,1.4013124404172412,1.1662578788075117,1.4104073251305425,1.458533826265872,1.1940962857915747,1.3765322779351976,1.4265738573364544,1.1463132930885795,1.398589305409932,1.459020411497978,1.1841936845545282,1.4267996312746167,1.4262549233218806,1.201810106427554
Aggron,Smack Down,Meteor Beam,40,1.3107908099369263,1.3646226594105546,1.3114936509020805,1.5172142026127513,1.388011299859093,1.5091521352707769,1.3179136319466207,1.3611245635858917,1.5173916759251347,1.3484887005936992,1.3911744426568604,1.361548459005457,1.3768178448682526,1.4071669249949457,1.3786036794932273,1.3124115883304492,1.3605594273067128,1.4081725660422482,1.3810428152721654,1.4094180770635858,1.3766003787086538,1.3633088423879427,1.4023475099195872,1.3558106905239655,1.3922279839150256,1.43405250006717,1.399804759217962,1.3588081750078793,1.3757303443427105,1.3759081321771738,1.3662321386885528,1.4108685235468295,1.3720067329311594,1.3591255333524614,1.4109937709985838,1.3636422535471988,1.4070874080874818,1.45542703969965,1.414850275840021,1.3348835776764814,1.3738681162991253,1.340827892078354,1.3715192200329525,1.4482359509252578,1.3790628957365978,1.399773736696556,1.390279058074248,1.4127377859716752
Lycanroc (Midnight),Rock Throw,Stone Edge,30,1.559989677497704,1.5721975544777649,1.557903924827895,1.6325669308531872,1.5305577258351217,1.6307501509718492,1.6031345848882812,1.5384123547528386,1.7406616085361493,1.512277718681292,1.5568631359284713,1.5225408460673266,1.595358514724712,1.5192836444504347,1.5991828964215917,1.505578254621096,1.5584007724952,1.6245298811702038,1.5551679229866113,1.5859721629618475,1.5787270592631635,1.4885747476728575,1.5260866285472898,1.4929770831133171,1.5655176119723797,1.6224688107328693,1.5772410148938267,1.503357765691797,1.5494613836742281,1.523302328212505,1.5341376810703886,1.5772751286997335,1.523399393053286,1.493979249002712,1.5585831567061263,1.4863434003128384,1.5379823101704224,1.6010771286406373,1.5486470313383773,1.4703862264383392,1.5048817297030923,1.4669520758901071,1.5359686270237884,1.6037936246408584,1.5435531529568758,1.4879242436939581,1.5181010642755386,1.4933461828542698
Mamoswine,Mud-Slap,High Horsepower,40,1.1774362243929837,1.1789436133312081,0.9799227330342843,1.2941733395655421,1.1966625838874654,1.1040170453188491,1.3205518996477035,1.1790745963466245,1.14869416035983,1.3235000396613126,1.215375165509709,1.0915362758637521,1.287366062403127,1.1683064896556372,1.0963828425096032,1.3176367603031323,1.1896426081639928,1.1048847235915613,1.368273250285147,1.2129580826968072,1.1025357862945395,1.2327293574521372,1.2181072069761478,1.0113392574264894,1.181090303339692,1.213672228342155,1.0035734436712431,1.2046337974673316,1.1753472923720938,1.019492011669347,1.1931540342298288,1.2089297342458012,0.9994471133171973,1.1636755736142093,1.1792064270707034,0.9971030052849329,1.171086391619054,1.2183931601511586,0.9902451820216245,1.1567004435136135,1.1916117407909326,0.99339349513367,1.1964351366440176,1.2293876550606626,0.9952613733847139,1.199497192659013,1.1644599011145564,1.0106176150171793
Aerodactyl,Rock Throw,Rock Slide,45,1.2570060189296475,1.2926110617756221,1.2600845534379246,1.2820768267593765,1.3244939457729588,1.2870938686664324,1.2861895311258613,1.2712683626280756,1.2901034099649604,1.2574385300500546,1.3083311129777917,1.2502445780951585,1.2794982815553608,1.3187563178111732,1.2682610014151898,1.257360024727066,1.2998427484946045,1.255909340107707,1.262541586839456,1.3071751067383928,1.2552462861174556,1.2600425448455863,1.3219196475717756,1.2639952929107012,1.3256849100369883,1.3659869063292047,1.3228727262957092,1.2685485239569108,1.2995078509491447,1.259368206686439,1.2762344730989914,1.3311176911452127,1.2768733643768968,1.2609886804327906,1.3147080329128218,1.2718177022111568,1.2964726906083235,1.3442057200941053,1.2965054799124525,1.2690187261303436,1.3195607983245041,1.272414377232968,1.2910851182614143,1.37044349732431,1.2889472895872764,1.2572446157713904,1.2833654571356743,1.259691611497528
Arcanine (Hisuian),Snarl,Rock Slide,45,1.3763994201182532,1.457314175983484,1.3753383276028264,1.2661676350473046,1.3321363625507932,1.2670837015226832,1.5029532138753574,1.4642575658300812,1.6409803530562441,1.3493592155602516,1.4389225953549483,1.3525972058096705,1.3732158501246714,1.458964552867444,1.3737684480086259,1.228847190793229,1.2825699002118496,1.2296436008564229,1.3705711584636364,1.441086821329273,1.3652558514391209,1.4385257154926603,1.5376189973296321,1.4373459258029964,1.4115281621394091,1.486203283269298,1.4077576864862928,1.3840702100320827,1.430788004169933,1.3846197360658785,1.2655207578233465,1.3219397722106867,1.2586158174736766,1.3750913987949243,1.4506076284442306,1.3798765306405782,1.282717577526211,1.3523620594961923,1.2836274807157906,1.3803591228286312,1.4442528027596402,1.3819452999876802,1.4084342107054835,1.4847424393033675,1.39476300058552,1.40393027738205,1.4633956255761336,1.4081622391686919
Swampert,Mud Shot or Water Gun,Earthquake,45,1.4830354228810407,1.5104355944167407,1.2845989783758756,1.4421325754603362,1.4709093452427662,1.2625153104220046,1.3998217942752598,1.4160977061156534,1.2067597894450302,1.4086376237382108,1.4859629461643442,1.2528825638699679,1.4754127636633196,1.487091448210796,1.2594901947570591,1.4348083088356396,1.4444080958579908,1.2639997834125607,1.4744650531112393,1.5060334033302936,1.2670286429792492,1.4694476713486113,1.5250999502134786,1.2788015026477377,1.4707094046947347,1.5363927026518713,1.2660558675228601,1.3735160776771211,1.426464527286392,1.23366978334128,1.4423830644665872,1.4888255458220196,1.2635426521359856,1.3743972307322085,1.4296159862277056,1.18515776126172,1.52364518694002,1.5976096597289964,1.2525186284234082,1.4804345817420228,1.5094554638413207,1.2845417025994825,1.4476095807404785,1.5150669262925693,1.2140279687904247,1.4493421603955419,1.4547054386994052,1.2787312494762424
Rhyperior,Mud-Slap,Rock Wrecker or Earthquake,30,1.2036477901496003,1.2736389097615957,1.1188013753216295,1.1862276143718378,1.2459374072418723,1.1173418036785954,1.295164705770637,1.2501574730871372,1.2073089669448955,1.1640371555313294,1.237538720627747,1.0942576520909646,1.2020671878158906,1.2529045083900532,1.1237398072646405,1.1794404373261378,1.229821834269999,1.1057104632038246,1.2083483227222405,1.2531268562440914,1.1404763697512739,1.1884978048670096,1.256331185975288,1.1230994372614396,1.2251627752850247,1.2783434983923982,1.1165444172779135,1.1944352407812968,1.2444421098567193,1.114503446659609,1.2310943470408275,1.267621727217997,1.1276922509859812,1.1681552715122683,1.2251788639708265,1.0786538692927816,1.2269019845726323,1.288463903074817,1.1320835143576164,1.2318590612295182,1.2386503634347665,1.1286574473327584,1.216547066272689,1.2869183948583178,1.0936559593676385,1.2510349451101987,1.2416408279560882,1.145654906561636
Tyrantrum,Rock Throw or Dragon Tail,Meteor Beam,45,1.10039999696397,1.1320794529073783,1.1022580473772494,1.0936520175639115,1.109759093281838,1.098158996386911,1.066447312195539,1.090194886793468,1.0668857046089761,1.0558858405045732,1.1045228133904728,1.053119718180949,1.196514252982007,1.1153581777747827,1.1863080396253116,1.0779669659032711,1.1119644255130978,1.0695313363670615,1.0655991433041354,1.1052520030006665,1.0722335165524686,1.0678333811082783,1.1147835795000227,1.0727365991279816,1.1001012027906893,1.1457409745918303,1.1018117986333145,1.0726667367042986,1.0986964919227755,1.0707110705252014,1.1043850057131623,1.1272007961568233,1.1239449079136514,1.0724433790250179,1.1340669918458393,1.0705459863202613,1.1234763220237558,1.1685534178750892,1.1240911214761744,1.056832881606505,1.10190033263521,1.069945792780584,1.1187380002451013,1.1734364574681029,1.1243480984218195,1.0984831978546887,1.1221654236151848,1.0945277801055897
Tyrantrum,Rock Throw or Dragon Tail,Meteor Beam,35,1.2027020667774817,1.2398630750430737,1.2011005609065586,1.1811576896701137,1.2025718097174694,1.17285509090723,1.1478237061093228,1.1808139222035472,1.1450604095249852,1.1608561148591616,1.2204924918084135,1.1657842872048536,1.2836191791899725,1.1834456499764134,1.2956803019071366,1.1474486676488305,1.1802774575341972,1.1724261628602177,1.1410871002016247,1.1788324730121282,1.1469991940589035,1.1565288233785436,1.2070123561094097,1.1588853853929364,1.1841442990587245,1.2368145302130633,1.18256804320374,1.1869923955294441,1.2089653556160753,1.1824588057506284,1.1868879851580643,1.2213881141649567,1.1882763450504357,1.1349462713919458,1.191016539711041,1.1338541136399396,1.211474616979941,1.2678558254297447,1.205990605864367,1.1522268079339657,1.1942990020943698,1.1538129850930146,1.199512520595324,1.2654856411443511,1.2064434428573374,1.1695298751361771,1.1906896840693875,1.167418084304031
Rhyperior,Mud-Slap,Rock Wrecker or Earthquake,40,1.0872934550781397,1.1481187998573066,1.0222282942823964,1.0997028328118976,1.1614102306031027,1.0260080995970673,1.1877791388516967,1.1453278763765047,1.1072383810183999,1.0739856365030518,1.1451217602300763,0.9906073875805175,1.0864596670934699,1.142854976750455,1.0340757463440933,1.067667781941571,1.134667752612022,1.0183535293600068,1.0848134483402911,1.1409839174314742,1.0362478282815606,1.0721964908045805,1.1408536125401687,1.0264803946713337,1.1247391565239977,1.1767287317409567,1.0263037695800532,1.0860735556758767,1.1393533371584657,1.0230800934194257,1.1343883230332592,1.1764322836677275,1.026477128920888,1.0859935396092297,1.1422118971150375,0.987144007478504,1.1432564697395708,1.208826880671525,1.0371338869260847,1.1180777996796847,1.1484923617099914,1.0279043981766662,1.1467612576423971,1.1859366276773922,1.0206157491251242,1.15686751026565,1.1481857035112712,1.0738791586357161
Golem,Mud-Slap,Earthquake,30,1.6150951415928532,1.612110724017275,1.35564360042808,1.63105380056704,1.6063558295604587,1.3610649571308184,1.6402570847062772,1.5460248728345474,1.4317278991665796,1.534046694585519,1.5694693316356936,1.2917648877381458,1.6479277579351708,1.5677859020149605,1.3947402116045555,1.5963532089910861,1.5744981826960174,1.3251518932223925,1.559939428925198,1.5638687403614744,1.3291251495452987,1.5290195072643062,1.5839657227343362,1.3107463452167223,1.536347922655991,1.5896988097477094,1.3060623158422668,1.5001575846714563,1.5204819666567,1.2665039638605822,1.5294688601933875,1.5748670000368592,1.2788268973227999,1.4707107355404792,1.5296039539812853,1.2641540867987746,1.5752391569869908,1.6172914395324245,1.3146953463780116,1.5058904151780215,1.5291979795490944,1.2923262905014168,1.5255654352591947,1.6054140170753959,1.2933591143670258,1.5695550155032265,1.576711639989944,1.3212771306461075
Shadow Tyranitar,Smack Down or Bite,Stone Edge,45,1.0081092363625324,1.0484307519487517,1.00757489506721,1.0959174482516265,1.047765104861464,1.0954722092384537,0.9718827450645244,0.993009461046381,0.9753155000997066,0.9892507672938577,1.0402470798087307,0.996005393938531,1.013122514994272,1.0334540737246445,1.0131528404879035,0.9680781700166277,0.9990321248807077,0.9713134448909053,1.0073399202982818,1.0350709869571402,1.0179538020062078,0.9873753451111145,1.0362747612509995,0.9990103043012538,1.0193360022210878,1.0672058178170647,1.0185389182944196,0.9888720978156341,1.008291378098155,1.0029819868598628,1.0203708026685998,1.0471182317455248,1.0135272941725744,0.9881898873596624,1.032329720574216,0.9886896883648177,1.0259445368920659,1.0703658466608192,1.0248133058996156,1.0082773808057164,1.0426111863989158,1.0092321670567943,1.0200166124266399,1.0577486076880132,1.0188183390296708,1.0006285091762341,1.0161484957680382,1.0431995307131485
Shadow Hippowdon,Thunder Fang or Ice Fang or Bite,Earth Power,45,1.2931180788001608,1.3551912319451085,1.103171892433454,1.2147433819741318,1.2772047860635072,1.0643617729042207,1.180760112304425,1.187935820616788,1.0359655869868674,1.2518920480084936,1.3350669055837026,1.0729442728047462,1.3295538782936855,1.3968933216524024,1.1972201630837658,1.209036208456386,1.253192972640043,1.1945564356927076,1.3457877725628649,1.3951872209533531,1.1943823953461783,1.2684911666641523,1.34251316325453,1.0961483336602147,1.3049696839427891,1.349472043848572,1.1250526164951593,1.2862788198120298,1.3448356674720996,1.1216796101597668,1.2777579830693813,1.3322111781400892,1.1128380287746802,1.2565645159797487,1.3261479225863777,1.0813750080986273,1.3050306989859908,1.3713634612389438,1.1393217532440918,1.2793134778859183,1.3422754712332141,1.1108630035727485,1.3182777543267201,1.3567995206906411,1.1443783275916066,1.325768876225593,1.3282996731752286,1.172278555266907
Shadow Flygon,Mud Shot or Dragon Tail,Earth Power,45,1.2839416778620276,1.2744282775842308,1.076342494554121,1.2415259586285956,1.2520496347675374,1.0316494996605265,1.1728500571334517,1.179622191202398,0.9922877753405059,1.205006274623065,1.2523232376648232,0.9945613153725213,1.1851725183637711,1.1498820675247658,1.0786323202372128,1.2253569744539627,1.2432096453606294,1.0456570834245182,1.1719359597531422,1.1873380797407602,1.0385485251835678,1.249584357980176,1.2816679993361797,1.0184783428631776,1.2500694089936144,1.2999901484009064,1.0368181126127336,1.2041650840855644,1.2298150198395061,1.0115885343009303,1.2317946701723779,1.2983990858940178,1.0375225762062144,1.2034560313949076,1.230241663041567,1.0060346343585425,1.2381323212368125,1.2752170242067038,1.0585371051962849,1.217606566465443,1.2687184304546013,1.0211746950843907,1.2513242282710821,1.3171611813886355,1.0347499285120985,1.2331936646275037,1.2428810860638566,1.0552333864074417
Shadow Mamoswine,Mud-Slap,High Horsepower,35,1.0785132560663675,1.0520557718726993,0.8970649179133364,1.239528353707425,1.0672771501973721,1.0779799454795447,1.1980046023290192,1.0518031064138236,1.0076631626926473,1.1376166195137727,1.0590790846575804,0.9140020705239157,1.1957257901475842,1.0719590268886043,0.9727896084641823,1.1380767486615573,1.0569985944377638,0.9378461732834882,1.1657728807792809,1.0789069319300477,0.9762763290359104,1.0929348400042245,1.0641461611574612,0.9359413424256597,1.0333879649283073,1.0589394305775723,0.879111923121703,1.0584356286820265,1.040535626257647,0.8797992613723605,1.0648351783366712,1.0606946714010148,0.8933788748141687,1.032588876650963,1.0478050405856927,0.8696444933961478,1.0381421580280512,1.0652917018468575,0.9035830512086958,1.0349805962794136,1.0472388197609954,0.8640584575582111,1.0486253897792726,1.0740614659785672,0.8884516401367121,1.051847816978128,1.0549987429816476,0.900905053213777
Tyranitar,Smack Down,Stone Edge,45,1.1814695903636405,1.227067726241167,1.1859431806969207,1.2133445467603317,1.2431875019191336,1.2120753596882985,1.1372595567963486,1.1690991906358115,1.1386095522066808,1.184604088572864,1.244307584666733,1.1841464580413819,1.191240986589393,1.2224829840285734,1.2068788328054452,1.1373412538156615,1.19438271451745,1.1616125837302222,1.1778341099928331,1.2291438339928664,1.191908797586081,1.1656322133880483,1.2201137546580572,1.1612419474073292,1.2070089649551752,1.2614614399455475,1.2057640810697046,1.1872267522203277,1.215196011087496,1.1838245395699152,1.1960413313511322,1.254512169650207,1.2130948139229154,1.1665448016067677,1.2193571078181835,1.1702747979970938,1.2345746817388168,1.3079325524014067,1.2365830266167177,1.1752802759640262,1.2224266970555624,1.174040593815449,1.2222524816514386,1.2696659812905948,1.2204686882991327,1.1952652308723708,1.2197938489901954,1.2030084639235734
Shadow Nidoking,Double Kick or Fury Cutter,Earth Power,40,1.6078435837299148,1.4194123763766497,1.3720351268681072,1.5152831276590664,1.4205273949935346,1.302013640349231,1.5756551355218136,1.358119122455504,1.5215429513780083,1.4742679436931394,1.4208390706642557,1.2750644242092652,1.5692566884560954,1.3975301570186671,1.339188961520318,2.2669507872727808,1.4569859601704724,1.8996026974160667,1.5607844121510261,1.4002599090318388,1.32454048808239,1.3583181207851185,1.3263853476758747,1.1688517417739088,1.4354944159345138,1.4637595493341216,1.2591687041564792,1.4655455258075205,1.4095989268079812,1.2809047784521146,1.44024523595975,1.4489194136943888,1.2211915322332936,1.3440944809011226,1.4044223133382079,1.2011328822783522,1.4817896402193604,1.5671483961931618,1.2524038658589567,1.3750923986694592,1.4186891708759393,1.1906800542072193,1.3890167349773281,1.4221598877980364,1.2094663598360544,1.4736277549652226,1.3978630688008047,1.2999580993882511
