Attacker,Fast Move,Charged Move,Level,Arceus (Flying),Arceus (Flying),Articuno (Galarian),Articuno (Galarian),Moltres (Galarian),Moltres (Galarian),Lugia,Lugia,Thundurus,Thundurus,Thundurus (Therian),Thundurus (Therian),Tornadus,Tornadus,Tornadus (Therian),Tornadus (Therian),Yveltal,Yveltal,Zapdos,Zapdos,Mega Aerodactyl,Mega Aerodactyl,Mega Pidgeot,Mega Pidgeot,Aerodactyl,Aerodactyl,Braviary (Hisuian),Braviary (Hisuian),Drifblim,Drifblim,Farfetch'd,Farfetch'd,Fearow,Fearow,Golbat,Golbat,Noctowl,Noctowl,Swellow,Swellow,Togekiss,Togekiss,Togetic,Togetic,Tranquill,Tranquill,Xatu,Xatu
Shadow Cloyster,Ice Shard or Frost Breath,Avalanche,40,1.3481655862334558,1.2886002364907279,1.404602272235652,1.3670302678235902,1.3767120557470018,1.3517348732866346,1.4080159494905575,1.4245222450083688,1.6208730557327604,1.4560112815781845,1.5671514772133968,1.354648355397245,1.3618690857956366,1.332086330286646,1.4543673854193409,1.3532234211869478,1.4585417246112131,1.3510632879902242,1.6350406585394832,1.4509324623139044,1.4000689415325132,1.330240995951796,1.4018717993159877,1.3762770297084093,1.391584570990266,1.3540710266394567,1.4288874410555579,1.4090858530789625,1.4352971647309127,1.459445441173379,1.333516138708386,1.3814073891833596,1.3519997982776828,1.3592215325025083,1.3978607916323036,1.441625187051842,1.3617067571642736,1.4066836366654842,1.3439421352648293,1.3285675071880103,1.3877764499470415,1.3314381875008932,1.405212936284984,1.4153319466619134,1.3276179748911452,1.342211234728112,1.383929492703945,1.4132777590302428
Aerodactyl,Rock Throw,Rock Slide,50,1.2469005413991439,1.234970636172604,1.252787213662988,1.2528570037802202,1.254061772609067,1.280015479710441,1.3161228907201397,1.3255552949991587,1.3158394569000211,1.3417916479078051,1.3492965469135683,1.2265425234061196,1.220024980393985,1.2395506850628084,1.2407241055489273,1.250151629996371,1.2342581861297173,1.2487977518672602,1.4193478424669337,1.3413020015673929,1.2246038356980482,1.2206175103815353,1.2491631694147443,1.2513839835806746,1.3036575809438482,1.302066143653714,1.303772836244228,1.3202237378172987,1.3680884916350666,1.4142966847132914,1.2475398309039227,1.308178252703342,1.2018789906959344,1.268230014624868,1.3270880527845705,1.4121102062408246,1.250081153667948,1.3158188414856633,1.207473527084022,1.2640206774261413,1.2306041374747596,1.2443865441522202,1.2936472534168277,1.3602861626486653,1.2206053590802535,1.2837906116231979,1.2920698661670804,1.3382203199696252
Shadow Glaceon,Frost Breath,Avalanche,50,0.9859307174905569,0.9667616851112989,1.0100181200428358,1.0008974273352502,1.0252737022816172,1.0134416548621348,1.0411547037964548,1.042888669601186,1.0069520350731127,1.0145181335939195,1.0365434836098304,0.9378141147175686,0.9614013291638448,0.9701274441384273,1.0776166831154372,0.9997250242931778,1.0448054905004756,0.9689471326858492,1.0076454374950674,1.0109905712359049,1.0027732460790462,0.9796194857330179,1.009056485472553,1.033740690964162,1.0251596287093014,0.9948821816965887,1.0314851615286154,1.0365899346713094,1.0561967642473213,1.0954434993814695,0.9626890250682094,1.0392848972034756,0.9841687497506698,0.9893553842923046,1.0295173928982628,1.066084101564708,0.9900146571426219,1.038341638821151,0.9952734449353329,0.9939346617377453,0.9948324672498136,0.9749704869379955,0.9873551080656954,1.029299697924089,0.9886803041898975,0.9922507936299149,1.0195256086227074,1.0410832949916664
Shadow Omastar,Rock Throw,Rock Slide,35,1.2741046043807156,1.2483030573831213,1.284207273643112,1.2766906655899541,1.2661389534066638,1.2489069561436297,1.283078094340665,1.2991758584443667,1.4901974137964613,1.3701072355572264,1.5630476450311537,1.293880097793055,1.4733912776929399,1.2667463125804361,1.3865102526923991,1.271468990548553,1.3297365629599418,1.237812747070653,1.484069673287842,1.3506770335092588,1.379037091005126,1.2283047215737093,1.2265420820985218,1.2356259394276916,1.2818870232037543,1.2602908350211923,1.3252806578739522,1.304049489870881,1.353324387726702,1.3746987089742089,1.2805810514160565,1.318420791447803,1.259059345501404,1.2726790831269066,1.3224121019756836,1.3577682742767834,1.2752427544156668,1.32204856420858,1.2107453691181036,1.2438110980875385,1.247711288104883,1.2483838977577102,1.2826649117966247,1.3218518830268688,1.208513431046186,1.2715561400065514,1.2873800040465297,1.3384496906534336
Golem (Alola),Rock Throw,Stone Edge,40,1.4182803229762466,1.3762690565640758,1.4388688571161075,1.4463008569573572,1.4116105117164963,1.4423329536294294,1.5461289069219708,1.5421022000584497,1.43242035112065,1.453009570568983,1.4629020333698488,1.3410666085928078,1.4173168295232241,1.3742469433774969,1.4107147511301272,1.3852456748456685,1.428369863532919,1.3967606751872064,1.4025978769990581,1.4239435613548304,1.5819617320753931,1.4236225320581963,1.3377632173391714,1.3771697879107316,1.443388761475208,1.45998753090154,1.5233517161486603,1.5241171181733766,1.5547472341192274,1.5978870432660002,1.452305812393055,1.5271377563392239,1.4312845722320198,1.4590686789220502,1.4850111793799317,1.5634309160720687,1.4444093342971789,1.5161179935204379,1.3842972981095782,1.4488887887075605,1.3677263099547399,1.3984299683561874,1.4534238495781093,1.5365563166094036,1.3824987541570883,1.4365747171714478,1.473791558174743,1.5379061631001265
Darmanitan (Galarian Zen),Ice Fang,Avalanche,40,0.9275047159546981,0.9273367870236459,1.0031652175589034,0.9893552196246287,0.9659774824423958,0.9808636976873596,0.9758738628092474,1.0111579515567146,0.9358262231856133,0.9879103510088194,0.9718176748574813,0.911052187071688,0.921956909828702,0.9408686624172238,1.001940243144245,0.9489688330717104,1.0020963602906046,0.9346243511767837,0.9710056385806692,0.9830080164239421,1.2543716071438167,0.9900367201948788,0.973820097762043,0.9901147818444086,1.0635526305713705,1.006232634834092,0.9540702845578528,0.9949836266337452,0.978656192182061,1.0349545040886314,0.9089991748337787,0.9753741044581301,0.9391603985972772,0.9502011954305378,0.9614862029530208,1.0246478490718345,0.9317977835453479,0.9625437819434086,0.9373822618940282,0.9503248479748344,0.9243542560775588,0.9308679803835069,0.9629631796876793,0.9895594534996199,0.8825087578227915,0.9520573340427052,0.9607710585715015,0.9927420417938243
Shadow Aggron,Smack Down or Iron Tail,Meteor Beam,50,1.0076706477097706,1.0088988346444252,1.047888144317051,1.0656248337174035,1.039369759852656,1.0787499518821537,1.0875561918767878,1.104045327928854,1.1381191665071926,1.1393929052363263,1.1754465870528534,1.0252782859625142,1.0434681750278862,1.0436992596868422,1.2052480649614854,1.0536045820436155,1.1886613221553075,1.0511752889041688,1.1069136357291787,1.117980671952414,1.1561108837797769,1.0356330989986586,1.0037585631764234,1.0329582725990667,1.0503275531340575,1.1009527948265365,1.0750048319249303,1.141726304169741,1.16955291386832,1.222704877445008,1.0463300439418144,1.1033033837562283,1.1117865296159222,1.113219096780798,1.1306973822961266,1.1830932570008992,1.0777105252950505,1.142479665325889,1.040844929322073,1.0815221551007324,1.0208024038708206,1.0564573923689846,1.0979239239230227,1.1422929231594683,1.0525075451523584,1.1174737501850447,1.089494774945737,1.1336779615770596
Shadow Mewtwo,Psycho Cut or Confusion,Ice Beam,35,1.1356153696763414,1.1588241906160364,1.2142759182076406,1.2593069680743114,1.2904826886225267,1.3802677880573442,1.280513488593899,1.314499082237259,1.1960028452737281,1.24094972633528,1.1034440037355617,1.1291299723433632,1.1774524363594867,1.196323381390164,1.15120961214029,1.1811936311173596,1.2764483645357487,1.311227050623025,1.1553008361047004,1.1954491994048801,1.1497442330561596,1.125634043298046,1.1647727046709269,1.2033036599676652,1.155533433647677,1.1759006594455654,1.2940597062669124,1.3350154787133302,1.2696831467372467,1.2843321788137656,1.1569906919570276,1.2213966728537553,1.1513369748727758,1.1985932502809435,1.0552771221258186,1.0893781436539733,1.1786661465498678,1.243977980251009,1.172042677245815,1.1864711127140122,1.1353324123118256,1.139436947706298,1.1610448108525868,1.2503317013462056,1.1389708547180437,1.210936787332567,1.286958386470049,1.3400853222958289
Shadow Tyranitar,Smack Down,Stone Edge,30,1.1362806852822795,1.127145215801392,1.1261775268879768,1.132555162300363,1.1198144621404231,1.1383732591874336,1.181341592230767,1.1867605801719259,1.2189486133060148,1.2116704473390019,1.2173033325070044,1.1223515342716557,1.1227443889311397,1.1393634448032108,1.24241003095109,1.1360549077999178,1.2092653797060537,1.127206773012371,1.2121467173759675,1.189577928350687,1.135483009136672,1.129924463726236,1.1452658527091035,1.144762267374736,1.1849883923796836,1.1623566436556283,1.186755962998738,1.2040901963886845,1.2047352601840058,1.2658441952738473,1.160451261810233,1.1994590110339733,1.1501461357756786,1.1674575611621312,1.2002033702566812,1.2811144064028213,1.1397110958278704,1.204820179037986,1.1175151023352266,1.1682406555866118,1.1441785997677376,1.1417104901569632,1.1977316624257808,1.2210666627056055,1.114476665786298,1.164472702396253,1.1743833356405653,1.2335827285876324
Shadow Mewtwo,Psycho Cut or Confusion,Ice Beam,45,1.0193411997992314,1.0531511596887153,1.123970097084944,1.1694330477810497,1.172138890084717,1.2244292426216836,1.169940040742805,1.2106187216147868,1.1018122096721965,1.1222941219414155,1.0051751748563273,1.0316158612727224,1.063552433144705,1.0864958300963095,1.0481467584629554,1.0735400531980055,1.1535712970164944,1.202410101649638,1.0783907990892792,1.1205967352187287,1.0250640856840372,1.0485900381788684,1.0521677279180626,1.107674538206471,1.0546379749775696,1.0897902715506733,1.1702877658172335,1.246469384090255,1.161186312492635,1.2127720320731312,1.0526735893979071,1.170206835329493,1.0500490192757717,1.1015319982025638,0.955378319312846,1.0059240310360136,1.0844890866713366,1.150582827030015,1.0794320520141456,1.1124847173383823,1.03141820366133,1.059349941864129,1.0761238797811994,1.180709047918485,1.032558758843927,1.1149745875737858,1.1849185241108189,1.256535311114628
Gigalith,Smack Down,Meteor Beam,50,1.0867894607768964,1.0827537835507126,1.1223302624818225,1.1394524672568034,1.1171430048723732,1.1340519690961566,1.1528977537292104,1.1697139585124958,1.1191430730137395,1.1663035730149334,1.1075948074214514,1.0809246877145167,1.1182854514769074,1.0990646172257006,1.112893904171769,1.1107566611098882,1.1204794578685981,1.1127770728043311,1.1497879283512458,1.1578913179508568,1.090012997551731,1.0968557133567691,1.097756928442011,1.1248567713142943,1.1367089237649275,1.1438893440896856,1.150590065653673,1.1820970512338542,1.2063973887537893,1.259415351828764,1.1486360221196714,1.203929895575469,1.1105747655918932,1.154845964688057,1.2024122345484178,1.260885961486516,1.1520037779763297,1.2108714596006829,1.0911718209960029,1.1579080135044428,1.0863315925761325,1.117355624958855,1.1608902694586745,1.2262674007232837,1.1209760947004457,1.1544426371693526,1.1546762941276476,1.2289255655135767
Mega Mewtwo Y,Psycho Cut,Ice Beam,30,0.9717965013308433,0.9800149313487712,1.0959692865455277,1.1096346267163926,1.129893311630761,1.1621019059678201,1.109912074037757,1.143640526459574,1.0222470148436988,1.0697556349148407,0.9555527241856389,0.9722650005285738,1.003134293283681,1.0205680767931806,0.9931139403959918,1.0201264770511687,1.1241953471040718,1.1425316797628016,1.0250078489717638,1.0544473717855591,0.9621114841392249,1.0003680464441753,1.0073604721976759,1.0157802068327353,0.9964987294792715,1.0409857160542513,1.1001714643618945,1.1645245989026631,1.0869139097459815,1.154770088160797,1.0010799443051484,1.0750349308577904,0.9796902885005483,1.0774531466047048,0.9883453836424764,1.0576930024244238,1.0240243545030545,1.1248808242493253,0.9794319317965516,1.0603779641150481,0.9691252021518824,1.0299659197052606,1.0450984796277683,1.1154286175552122,1.03565931829922,1.0951832061183202,1.0912123469837012,1.1834213631077644
Frosmoth,Powder Snow,Ice Beam,30,1.746473598410126,1.6560247534534573,2.2628214989000153,1.8158564700697544,1.8308791978977115,1.789117462894592,1.6763964778029234,1.7963108008412223,1.62233351397965,1.7013019225702055,1.7215987437950298,1.6064194811483852,1.8466540946173053,1.7188426288560918,1.8253928879979204,1.7455995190226408,1.7884954027842213,1.703182630355878,1.9600911972043196,1.7435010765141954,2.0589273526681833,1.8130146719557667,1.8636224237068693,1.9029346608210231,1.929828776433021,1.7578490230837855,1.8059298592868114,1.7846980063091487,1.7019776607044717,1.7268619055528158,1.6248267825126652,1.6534919694947123,1.641616969965203,1.7147646434972026,1.7189019074086247,1.7344321403444423,1.6455924472386574,1.6946659764594525,1.8018069906530818,1.8074619060499504,1.8086178375330244,1.7354172440621873,1.7118059572256428,1.7025589804229062,1.7650691608678288,1.7603274694775697,1.7300171371645132,1.7565380651050682
Shadow Aerodactyl,Rock Throw,Rock Slide,30,1.2674472098324128,1.2212095341926108,1.393513726192801,1.2941619245741365,1.2672911850611228,1.2547938016469629,1.402471113526094,1.3356182290413965,1.4772144388217772,1.3596849943726557,1.551816146840999,1.3020320195623043,1.2757635965978358,1.2309929012643344,1.2696983460837394,1.240506073040248,1.3108912614196355,1.23648176194841,1.6290068505144129,1.3634371911064462,1.5676935218758852,1.3022227886312494,1.250826506943833,1.2598940737562618,1.3187725978479639,1.297626547948597,1.3410066089773456,1.3138894543100448,1.4104313055168252,1.3637309153043646,1.2088157726334385,1.2621647914195093,1.2153686814059443,1.227819012930551,1.3055783108060957,1.346077550262098,1.2721886638812239,1.274307155281091,1.2655666756829862,1.2441272703593504,1.2334998028557913,1.212702904497629,1.3176410351512653,1.3035622841578116,1.2085674300721267,1.2578129263745204,1.28453650891687,1.3106189097796404
Shadow Tyranitar,Smack Down,Stone Edge,45,0.9872768615718843,1.0029033649109236,0.9773256727583369,0.9948644939643982,1.0039029552443668,1.014463598194459,1.0332357357373494,1.0396124296435039,1.0432602484324545,1.0561653817239287,1.0982540565144514,0.9801545974138206,1.0066543603409377,0.9814444831562653,1.099686346803236,0.9997764551328541,1.0733025695614828,0.9890855696591767,1.0527834623826613,1.0490102587638848,1.009813804121598,1.0047892101127553,0.9866355252602458,1.0039934496968732,1.0328473639406945,1.033958670745606,1.0448885921173048,1.0681519084895257,1.0851544226488052,1.132852705443495,1.0071640697030042,1.082648410002173,1.0221295027168533,1.047600821642095,1.0619623600229866,1.1049548875240034,1.0130894929361975,1.0548674843737917,0.990219497290095,1.0320344824131678,0.9929505424569907,1.022579571643002,1.0729146551903928,1.100840810211015,1.0050451013018264,1.067958235676441,1.0273373208666916,1.08276842869423
Shadow Weavile,Ice Shard or Snarl,Avalanche,35,1.172571687046593,1.0887131837434962,1.1730185603889427,1.0743444534498623,1.1245989135502816,1.1334264029284806,1.063572560645815,1.070371112315259,1.161188513708869,1.182693990710013,1.2141746495141048,1.1032036065805346,1.1822507052649223,1.1091663858181398,1.2288371594185306,1.1530678121240523,1.2093764730816108,1.1160235511550027,1.2348407883344703,1.1663240822986685,1.4181545779711073,1.1681609116865108,1.3670251527472725,1.227320806683658,1.1735866653393523,1.1572937206539067,1.0637183533652248,1.0881932566001964,1.05518302019702,1.094658683629444,1.083229275739251,1.1244897972717127,1.1272629969764234,1.1205734182674614,1.1452406848781096,1.188685616834233,1.0935178322061447,1.1412878441625502,1.1254091906350494,1.1481154289263567,1.2725389245601857,1.165068623286819,1.1871470023245725,1.1776504336686582,1.1210756698273403,1.1221288354452374,1.0344474632259657,1.0530634471661622
Calyrex (Ice Rider),Confusion,Avalanche,40,1.1583156991001773,1.1964853686938597,1.32628475600945,1.3549724318674627,1.4757443916230077,1.5338932542310109,1.3646339183815566,1.4106720843291376,1.2223323705424955,1.269724385154366,1.133150479155501,1.1571373949950308,1.1801276446174178,1.2209206707006837,1.1821189580871836,1.2169507484685678,1.3942928647730435,1.4505928094132017,1.220270884897629,1.243325274068891,1.1895334009441458,1.2098973323926165,1.2060969153148853,1.237167950491983,1.2004802262050165,1.2395508125334223,1.3536819876836241,1.4446027369986398,1.3114536528027347,1.3735350095187677,1.2203128823411997,1.3098629799663433,1.181230942698066,1.2600985353303844,1.0941980831823936,1.1671787104392373,1.2282544623907938,1.3012715616549322,1.1832778729500395,1.2613977298911028,1.1606953720192041,1.2277949203563168,1.234718624383541,1.3287957429397463,1.1788696965427814,1.2651641783846284,1.3911037296007338,1.4885659824897612
Calyrex (Ice Rider),Confusion,Glaciate,40,1.1065582393384839,1.1367628133970498,1.3130540626785716,1.3157257755109433,1.5224092041866286,1.5277063355885512,1.3387809442664136,1.3638940194139115,1.1900684064418987,1.217861342789768,1.1215634632331999,1.102003121123697,1.171214396147197,1.1828570059281283,1.1384594734884188,1.1731796252313385,1.482499670350027,1.478491607138377,1.183922088601193,1.1822037767894862,1.186273955839033,1.167758164159155,1.18886410583532,1.2006420547266652,1.1507859552261093,1.1869273563341616,1.3466167982331612,1.3965659636049406,1.2355077435973063,1.268411460771741,1.167992724036608,1.2599303659622139,1.1490304532956384,1.2051531772394,0.9934714372965031,1.0622771466149485,1.1715762450232214,1.2492960047679638,1.120437992766908,1.1686558671194862,1.1111220961056345,1.1642042577994958,1.172883056726744,1.2639906098848577,1.1118271135801434,1.1639313044699309,1.36412967843306,1.427445938249659
Shadow Weavile,Ice Shard or Snarl,Avalanche,45,1.0201275242638657,0.9773827025741276,0.9446325519240804,0.9384528365175052,1.027924932970986,1.0440963559586294,0.9733499525804075,0.9786024328038546,1.0819894072484617,1.082692181314955,1.064458982913452,0.9919656223989675,1.0335297552934462,1.022504003945047,1.1072749377625295,1.0545967530496052,1.0637975997211189,1.0151242873821735,1.090443837081207,1.056867497012755,1.1807524914533227,1.066861079741093,1.182965612802831,1.1080979969294271,1.0623187545706203,1.061022804283652,0.9577245288678166,0.9866131610180808,0.9566344690509394,0.9898455702400142,0.9990542308613051,1.058965454205043,1.0388377557940596,1.0266722253208176,1.0481111239387506,1.0924769576619768,0.9945282151056414,1.0595620137856412,1.0336899788617397,1.0496049850228915,1.1054079128039247,1.0594016116861182,1.087015207023201,1.0784039504981409,1.0235446137529287,1.0216166177617796,0.9519575547649358,0.9895360664424061
