Attacker,Fast Move,Charged Move,Level,"Dialga, Tier 5","Dialga, Tier 5","Arceus, Tier 5","Arceus, Tier 5","Arceus (Dark), Tier 5","Arceus (Dark), Tier 5","Arceus (Ice), Tier 5","Arceus (Ice), Tier 5","Arceus (Rock), Tier 5","Arceus (Rock), Tier 5","Arceus (Steel), Tier 5","Arceus (Steel), Tier 5","Glastrier, Tier 5","Glastrier, Tier 5","Kyurem (Black), Tier 5","Kyurem (Black), Tier 5","Kyurem (White), Tier 5","Kyurem (White), Tier 5","Kyurem, Tier 5","Kyurem, Tier 5","Melmetal, Tier 5","Melmetal, Tier 5","Meloetta (Pirouette), Tier 5","Meloetta (Pirouette), Tier 5","Meltan, Tier 5","Meltan, Tier 5","Zamazenta (Crowned Shield), Tier 5","Zamazenta (Crowned Shield), Tier 5","Cobalion, Tier 5","Cobalion, Tier 5","Darkrai, Tier 5","Darkrai, Tier 5","Regice, Tier 5","Regice, Tier 5","Regigigas, Tier 5","Regigigas, Tier 5","Regirock, Tier 5","Regirock, Tier 5","Registeel, Tier 5","Registeel, Tier 5","Terrakion, Tier 5","Terrakion, Tier 5","Stakataka, Ultra Beast Tier","Stakataka, Ultra Beast Tier"
Breloom,Counter,Dynamic Punch,50,1.1759279011384844,1.0888119923445971,1.3170149218055862,1.1316080134981754,1.236607847082137,1.1183633900163978,1.2784784170466743,1.1434576821339633,1.2533596117538957,1.1158670300657791,1.2359409603360398,1.1222569997949918,1.170402969737944,1.1356429591528088,1.224548117006331,1.1369652173240936,1.1620957605909668,1.0154910978548175,1.3759693847917687,1.1371691987362673,1.1174840928823095,1.121473462246654,1.1699839450912772,1.0910620582959254,1.112307960131747,1.116046309104425,1.1046674190066528,1.0630826357005914,1.1372431127014437,1.1512283522704128,1.1334906342746787,1.1049064355331144,1.212172540857432,1.1265433405803673,1.1111138374679073,1.0379448865694907,1.0856377340810288,1.08812728914105,1.1194130527550636,1.1051594728942213,1.1393347944264507,1.1416674760390584,1.127881377620012,1.1342869506178719
Hitmonlee,Low Kick or Rock Smash,Close Combat,40,,1.4966780614725652,,1.5635386582201396,,1.5490715039855003,,1.584902424248023,,1.5531198252412424,,1.5525284776588704,,1.6079644507136668,,1.6633504066908857,,1.4837084941679313,,1.6121822670365,,1.6291397860366772,,1.5567870604839125,,1.6204682639349632,,1.442190169906997,,1.6334420688521305,,1.5568178127816539,,1.5691289242821456,,1.453221395159126,,1.5761583303484967,,1.5436950622552261,,1.6521989169893603,,1.592636154250428
Shadow Hariyama,Counter,Dynamic Punch,35,1.151576655904797,1.075419383750612,1.3022054047998866,1.1294845641999032,1.230464728724266,1.123236258169964,1.264901803536264,1.152801441907955,1.2400432362555074,1.1211329090318254,1.2334214464782893,1.1340876983634685,1.089714359520222,1.1102987991189146,1.1715954522023184,1.1114047158664537,1.137015499844069,1.011678369515231,1.1938592045004737,1.1115435553878736,1.1179158385730923,1.148814033250353,1.1290418594015934,1.08280890145645,1.115355885685246,1.1363836758620596,1.0826352035755604,1.043760718679233,1.0964798840586587,1.1234521814401102,1.10007601098084,1.0923519182940473,1.1262592130796534,1.128075562968823,1.132021244713336,1.0405231351834605,1.1208662373671325,1.1270804510150285,1.133032505844923,1.1447390750605089,1.1166964656467169,1.1440069704557965,1.09631085173252,1.147934950475786
Lucario,Bullet Punch or Counter,Aura Sphere,30,1.1069398528892076,1.111850969300834,1.1306861144423093,1.115052627579538,1.1152890266548685,1.1083762269411621,1.138307003216825,1.1353654483711846,1.1163288213697171,1.1115931044262706,1.1216276350794347,1.11733948485819,1.1411413974377722,1.164103465331498,1.1537761566547646,1.1327804797852872,1.1252613125552264,1.0470968624069394,1.130361480654279,1.141596619275877,1.1845725216368375,1.1674468589218951,1.2533915141778067,1.1437070404398562,1.1448143038989793,1.155420209640539,1.1446135410689164,1.0798886940113426,1.317413242580286,1.2162834737016808,1.2541409061597046,1.162782961393718,1.3937944883367785,1.180965736040423,1.2401844480117263,1.1142255977895335,1.2913488847049814,1.1682676177186266,1.2001762950685162,1.1762201019216163,1.449421939199946,1.2654481882023068,1.1362455567871463,1.146502062264317
Zamazenta (Hero),Snarl or Metal Claw or Quick Attack,Close Combat,35,1.6214174880674914,1.6710948273285462,1.6382202411626925,1.6185309425052143,1.720822480108108,1.6548779868995713,1.4891114461114114,1.4350132308533972,1.4554527426304766,1.3991648814559319,1.6435554871351248,1.628314344802427,1.393389549963867,1.3866571010993964,1.4798928760448515,1.4553969793996429,1.3545712114169042,1.313450031636454,1.477948616077987,1.421880849315055,1.6844555532994174,1.6888025692008886,1.6478131761571577,,1.6377366711127033,1.6977076399283322,1.7353291927653238,,1.8152919422770641,1.853008998074029,1.656012037338905,1.6294264877127704,1.4788606721674178,1.4490618663821189,1.831249818733079,1.6084025446883385,1.5028219381168062,1.4743448817930136,1.7209253184432651,1.7254768616841616,1.4930119491517075,1.455181630202681,,
Infernape,Fire Spin or Rock Smash,Solar Beam or Close Combat,45,1.6948599716468007,1.493736568418943,1.5828959073265134,1.4980044473056182,1.5502165452114354,1.4897354454021199,1.5233970790050937,1.4526448123036355,1.5446651057278926,1.4933050485418766,1.4957544462620234,1.4258569454180232,1.4221328795478938,1.399121321197238,1.537211041176172,1.5298682581163985,1.4138324016286383,1.369976451465291,1.5891055523315265,1.542489851629035,1.4446769726335578,1.4111865175956104,1.5306536576937442,1.4548166042452375,1.3762770640008346,1.3933374562843701,1.2863576676551602,1.2633974171364533,1.4363008559579926,1.4215871911496918,1.5492506660582133,1.483787592696704,1.4528495614486896,1.3818097002213088,1.6039619079361997,1.4285486538830714,1.5621569363974808,1.5397611554106267,1.4102803091589409,1.3810718822546657,1.7956359203690178,1.6354837865114926,1.5350538513764977,1.545251140925835
Mega Lopunny,Low Kick,Focus Blast,50,1.1415294279213575,1.056308078981848,1.1136641824044597,1.0525011991421473,1.1101999248657108,1.0430409090180732,1.1390335181164328,1.0706555193994496,1.1056530314945403,1.0444893334121657,1.1315367341394662,1.062704525104607,1.1208449728903893,1.0987466590302568,1.1318515034820813,1.1005713040652954,1.2338007951913004,1.004651536854735,1.138069886487597,1.0845979038983313,1.1398532214463002,1.0849312859994547,1.0678795502003735,1.0538532237604483,1.1083518719913548,1.121994287834902,1.082353679600013,1.0567338617889817,1.1451467987840005,1.1229792689515743,1.20607500551446,1.0807571069054536,1.1492085532488492,1.0852578856371422,1.4316846751996009,1.0417905074599108,1.1543039132326631,1.0944396221480146,1.2209403941430497,1.1461634403570717,1.1374933666654001,1.1101231794399709,1.1207255747416416,1.1101251970836863
Shadow Hariyama,Counter,Dynamic Punch,45,1.0439114658940156,0.9927079493471282,1.0627367625677144,1.0289502970964974,1.043584875930499,1.0271511641363742,1.066409104658328,1.0518207855890023,1.0383445039588781,1.0234362198549813,1.050958840807404,1.029185805860016,1.0092773743119492,1.0302337686585086,1.0201723711976272,1.0216382197528253,0.9482519630075508,0.9301967753277682,1.0113151224759636,1.0382650446518562,1.0538726199824329,1.059903403744047,0.9755426301801231,0.9797122430404688,1.0207704140246856,1.0569538015620354,1.034800588012347,0.9885113722195691,1.0096130838862556,1.041199243456691,0.9993013611332415,1.0102609552183663,1.0212155249962598,1.0234193081561298,1.020979085365096,0.9613898005304273,1.020964886093564,1.0298827130688724,1.035201594234657,1.048215465526076,1.0217573937927473,1.0559512518527592,1.0108359900442967,1.0575495665975343
Infernape,Fire Spin or Rock Smash,Solar Beam or Close Combat,40,1.741318761734472,1.5254343183110606,1.7502547675376656,1.610617674597148,1.7115630246714657,1.5874827075406697,1.6085829874101543,1.4853159120233006,1.6958805530648797,1.5846309025868404,1.646943683339128,1.4522358507639022,1.4520340917438563,1.4321279625254377,1.615904800972779,1.6016833844977403,1.512818482520458,1.4511817377392309,1.6365343307053564,1.5563308410421257,1.5053898203205003,1.4862023457740778,1.6066207278042621,1.5004113523027645,1.4143231784083923,1.4197895942028955,1.3741006320763518,1.358138222662815,1.4637395030004763,1.4381503093619659,1.6074257424698624,1.5576061802441883,1.481591461287225,1.4083797977287675,1.7390029329563288,1.5098559025803664,1.5834110360121907,1.5614416194287069,1.4582099954360996,1.406515997541755,1.9291901912511775,1.739453427304987,1.566737723089045,1.5781805653889964
Hariyama,Counter,Dynamic Punch,50,1.1096771067937305,1.1637386039731596,1.1326677536986112,1.1656526802722253,1.1281361889111048,1.1513912306533658,1.1570768899410246,1.178707966630645,1.132427236084803,1.1516050893064729,1.1338755870865331,1.1609896894173584,1.1225843198511947,1.1751704048620202,1.1379333476145714,1.1784947345503527,1.0610762107839682,1.0871854713893738,1.1376592904998948,1.1688913078598688,1.163472297864308,1.1883189080066496,1.1017834901296668,1.1261708013845595,1.1804977369395873,1.2331937864851836,1.0693604783507709,1.1065017624891917,1.158042706214492,1.2111647113167745,1.1235715650396303,1.1501529498249503,1.157861876815269,1.1869840298071581,1.1304721318509114,1.101725845233267,1.1797793074920542,1.1976234238645964,1.216916747537224,1.2312195087793298,1.164964507261126,1.1914126574581205,1.144275470720206,1.1816214669242513
Meloetta (Pirouette),Low Kick,Close Combat,40,,,,,,,,,,,,,,,,,,,,,,,1.21143110790475,1.2078952456828693,,,,,,,,,,,,,,,,,,,,
Shadow Hariyama,Counter,Dynamic Punch,40,1.1200387028792154,1.0367877587004806,1.1209814467870751,1.0587202383978425,1.0990289071165704,1.0593623199759286,1.1200113420966853,1.0814638676813635,1.0921540821720017,1.0550155790106341,1.093529368588777,1.057870550203161,1.0689943548855863,1.080325728720292,1.13457659842909,1.0903376704178704,1.049832771350259,0.9807224124480673,1.0606112889614716,1.062747303244599,1.0740211363514314,1.0841142362336333,1.0592387610400666,1.029208028217269,1.0565405199378788,1.092398884203034,1.0520739122204694,1.0030447900739972,1.0540205291077929,1.0862618047036707,1.052291052572311,1.0549831213236054,1.103095385221355,1.0900972847287256,1.0901369157968541,1.013826143040432,1.0953660895916237,1.0944436856017148,1.0904786246348468,1.1081053717272138,1.0624113666851063,1.081273881764066,1.0351968253481305,1.0879446139339477
Zamazenta (Hero),Snarl or Metal Claw or Quick Attack,Close Combat,40,1.5003787849929255,1.5513433876427796,1.5969023692266144,1.577510425713746,1.67095868326268,1.6065838646443318,1.4560025261694398,1.4005985863881278,1.4247031675024817,1.3723644932809542,1.5971456469588277,1.5814570070142804,1.373168913743665,1.3583742753650965,1.3590810480202216,1.34610223467151,1.2561975207743288,1.2156273524857828,1.4532183526278877,1.3887251317933809,1.5659095262010228,1.5848165072171192,1.5032132650950019,1.5113991033900556,1.5652084942374695,1.6248133230157382,,,,,1.6012529211877156,1.5787966267109061,1.3464452777613742,1.3124273837366824,1.5574992024255472,1.5127594418774235,1.3549662412740129,1.3331706957736205,1.5894374951601238,1.5877812688961128,1.4235483730207328,1.4160091888399513,,
Pheromosa,Low Kick or Bug Bite,Focus Blast or Close Combat,45,1.3469944514542787,1.0976442855331678,1.4643932376409872,1.1412787448509132,1.295852613943286,1.0416728685096526,1.5126876168413663,1.153395623244891,1.4853245230831194,1.1307483748618028,1.4223262844157583,1.1476861844929411,1.1530921297849388,1.0829928761883652,1.5684905635787691,1.1727853046397416,1.4258475780180415,1.0202724305977555,1.5204462769620632,1.1545558949869952,1.2865606722256782,1.0910044203659968,1.1838011703541167,1.056140496219873,1.1636847851374204,1.0996694698294371,1.1656814392556463,1.0350186359641518,1.186154893812965,1.15005919670408,1.2301190532926705,1.024311019346371,1.3078494361629687,1.0831948474305655,1.3238698266420712,1.0512818506121182,1.2664876311451723,1.113913444410015,1.1663509145100728,1.0650124312737566,1.316596582055581,1.252038562723545,1.232675889873713,1.1470626558606007
Cobalion,Zen Headbutt or Metal Claw,Sacred Sword,30,1.6871948500087615,1.7697716877850533,1.4914653989740803,1.5399127930673977,1.495620267385487,1.5378375479159139,1.3728016667111873,1.4022432905222728,1.3434992916206752,1.3729068357826915,1.6936580202432248,1.7540580912388526,1.3450393628656798,1.3905606851497674,1.3585692252932273,1.3665516175081962,1.3261721505429431,1.2696309811813558,1.339206096490179,1.3634567618631126,1.7594826749725325,1.8413326231492209,1.4794180669111947,1.5162427075830178,1.8457524109063648,1.981129730158809,1.6105218751584238,1.6521882400654697,1.802385582936104,1.83679521673908,1.624268938638293,1.6481677441830354,1.4113383724080693,1.4004961754152487,1.5903117146538712,1.4882044608005391,1.4081454427136535,1.4126811144689073,1.7991161768025348,1.8522198350075876,1.3915646787073128,1.4254134485316579,1.7652291095329167,1.8587376391291746
Sneasler,Rock Smash,Close Combat,35,1.5903247881079876,1.3675412907875155,1.7096916104287283,1.4737900258843462,1.6443869611740891,1.4585231572069273,1.692378346752433,1.494151498174748,1.6527068003081573,1.4611802795375508,1.6362690090994754,1.4557235802292812,1.4676029646530424,1.4358660446654286,1.5701961879926227,1.4438468352435758,1.422252418224709,1.2873531916902063,1.5210065910112545,1.4352402273274143,1.4508794059898389,1.4358024753957388,1.4993412936840538,1.3551564151483597,1.4149574758576413,1.4328339672256045,1.3152830668547375,1.3131231779931607,1.5018677807074456,1.4786854432888576,1.4299172746631328,1.387156010508473,1.4692538583239758,1.4108385116876923,1.4954598333219011,1.3702591506994486,1.436203105880332,1.3998664353952615,1.448168549618824,1.418593610209956,1.6534321471453084,1.5002093107384715,1.4459235868302485,1.446557524217175
Bewear,Low Kick,Superpower,35,1.4549822142961935,1.4213206038915032,1.3919725883864533,1.3740696503142742,1.3799730620427626,1.3676112014186494,1.414299842824315,1.4011934503259715,1.3806322379941152,1.3717618707437782,1.4095400129294957,1.3827124484525593,1.4148460405256973,1.4344859887179224,1.4556271642239524,1.4364514707484453,1.474500024479049,1.320141817016158,1.4134573475572407,1.4397441541625038,1.5036403658078155,1.4736443254453266,1.4181524428169796,1.41293060833453,1.4811808354440468,1.508389881216942,1.3377493191237924,1.3169789914242045,1.4403629058877898,1.4712352242800117,1.5490030952675176,1.383422678834047,1.478874849235852,1.473773449127623,1.5822347829009247,1.381360190147274,1.481543905132597,1.4836959698591645,1.4687054010548048,1.4571457169360247,1.521079013044268,1.4990674622445377,1.4543543687791993,1.4807454183340907
Pangoro,Low Kick,Rock Slide or Close Combat,30,1.8723270897298476,1.613531131770098,1.748478039332576,1.6498930359853239,1.6823436645948358,1.629095308379966,1.7207322232634668,1.6680581865396287,1.6820533087115765,1.6373969160271546,1.714189837895252,1.638169790609805,1.636338397112785,1.6097080674393842,1.8687005451713175,1.6565167383013497,1.7872454424720092,1.5028473326065177,1.8699076335956104,1.7123499951924275,1.7133950180937918,1.6634271815055888,1.903815285220829,1.6170040088649873,1.7130857328947122,1.7223857321231124,1.899603225150024,1.6568057657814246,1.6391220259088763,1.6412985511902003,1.9343005323826388,1.6340543112112453,1.7918316200938367,1.6406720164890662,1.952460879721169,1.5761261682221481,1.7475978651136173,1.6589277134699987,1.8257920509047894,1.753419630043975,1.9916674901151,1.6844950994261199,1.7119280334741545,1.7108819257810892
Conkeldurr,Counter,Dynamic Punch,50,0.9625567908882187,1.0096245379223556,1.005547626679624,1.023186655371809,1.0098480222055652,1.0124916542184699,1.0321893199988914,1.0361990087451642,1.0099826583762355,1.0114572076207125,1.0152915343968052,1.0241688470094699,1.01529866471836,1.040734479137686,1.010383366618924,1.0373174170306416,0.9330721061701384,0.9448069379317926,1.0390622597738928,1.0473603253726114,1.0507216197360503,1.061930586033266,0.9792317186499608,1.0025797024971634,1.0493788461747826,1.0881232691189522,0.9665509755782035,1.001291318169806,1.045571010231108,1.0720218302004987,0.9914348730661958,0.9977767130781062,1.0210811175955223,1.0298775306433487,1.0074503812014581,0.987151800630786,1.0386131738212778,1.0397605589403587,1.065709043937015,1.0669587617825245,1.058682566963249,1.0616759216640135,1.038088031924126,1.0573410797077873
Sneasler,Rock Smash,Close Combat,45,1.342297195213361,1.2930809324244839,1.5763319307517483,1.3554336702704255,1.535078677351641,1.3474803751729245,1.581558043853286,1.3789336526934772,1.5470457670390012,1.3409645961482124,1.5371299494734676,1.3488559058136582,1.3677175399128405,1.336841074595025,1.3567513293596738,1.3213367171254742,1.2131294544235813,1.1800647799478394,1.333709601137418,1.3185307277103118,1.3733724403236762,1.3377308050348704,1.2341396998946812,1.2480436387494567,1.307950618870735,1.312838546090044,1.2031411685467357,1.2048885342562492,1.297801569458876,1.3272763458876498,1.3528051942629369,1.2981563673140761,1.3497449080146373,1.3074930678897678,1.4109987473592576,1.2841231814036482,1.313149612040826,1.2850610815377839,1.3225314983268446,1.3179602248668314,1.548673121939341,1.390039567752915,1.3216442087468423,1.3567185253417529
Sneasler,Rock Smash,Close Combat,40,1.4895639264629668,1.3157620269119021,1.6514512964559442,1.42890812867647,1.6195217399819466,1.417209491134332,1.671968488593716,1.4486104589112252,1.6281725147043724,1.4150432473690833,1.6050128845985545,1.4222817892953228,1.4134554557260797,1.3550447320950563,1.4838338884755655,1.3959976162330399,1.2931231053966419,1.2434316707970534,1.4200031505463306,1.373495620228118,1.3867646811397025,1.358404296045364,1.3190716874803465,1.2990274162696727,1.3816443344849902,1.3797654357251417,1.27360686813417,1.2775479907850422,1.3848747340961056,1.3861679514090197,1.373418467600069,1.3187019488080964,1.3771089213544163,1.3303670168268247,1.436411748214147,1.2843120672899642,1.3459530536146247,1.3076349834583885,1.3457834173892844,1.3445407019179916,1.6143422476904736,1.4644043652620187,1.3640054347869963,1.390925915909346
Bewear,Low Kick,Superpower,40,1.3134188441919992,1.3172038615362107,1.3478107561935757,1.3361830462616466,1.342895803696536,1.3338554750997489,1.3683573432135112,1.364013180022383,1.3419888677533374,1.3335739792958528,1.3380892481874829,1.334414916193932,1.3431455765672196,1.3917973158122883,1.3445699258900774,1.3383369383398607,1.3750634876817593,1.2366950157861403,1.3629453776775373,1.3944890941312962,1.413501453518857,1.432157211898918,1.3228291690124736,1.353228354012161,1.4011278677490346,1.436926512291006,1.2757734312085338,1.2902579995055403,1.4006975653660052,1.420641998148602,1.509184370227567,1.3412247752989301,1.4311341024655497,1.429259249273306,1.4645482414001219,1.2727473988484543,1.440456796316438,1.439658830936169,1.426696386939666,1.4097823167808192,1.4271524027099196,1.4385067008996,1.3659319101597094,1.3834786350385528
Breloom,Counter,Dynamic Punch,45,1.2092467687530317,1.1098323129189906,1.3807043089382602,1.174081235927137,1.3120577626005723,1.1686763011852346,1.360372323299995,1.1958257771308947,1.3329681560488305,1.1692085489181825,1.3128377312545654,1.1788012737577027,1.5378237609894287,1.2113705392237586,1.317675029465632,1.2015030617684614,1.229308139268297,1.0720580400841582,1.4431995664887296,1.2052768234488502,1.1311591896433582,1.1424581581785298,1.2170146251015217,1.12114404562102,1.1463157528685815,1.1537834664308038,1.1312144553792665,1.0911416297774406,1.1656295292624812,1.1707259294203392,1.1825376976085167,1.1235348722648593,1.288682808938103,1.187672075541868,1.1862656067941835,1.0944213062174901,1.1501421164972045,1.148529037216464,1.188490527023398,1.1779218024275997,1.1952238301753737,1.2006173188800542,1.1826895333526548,1.1883173473201867
Buzzwole,Counter,Superpower,50,1.1090170168034805,1.1178560495909455,1.164453225964402,1.14306617570068,1.1597519678240078,1.1392226360740734,1.1892197475714537,1.1655242126960765,1.1655924580606987,1.1375981162044382,1.1631384552786288,1.1446551107716298,1.1471605044416715,1.1566073593085775,1.160942239011171,1.1665667600588934,1.0529188393763462,1.0480121614814037,1.160661329203539,1.1326200636356671,1.152263043467739,1.1581702326068082,1.0923744744197323,1.0888939498680468,1.1576334331515916,1.1957166477765606,1.0641452200779065,1.0734053353089004,1.1640233379979645,1.160563512565287,1.1289532247255316,1.1136898212134005,1.1501817888485744,1.1613129855645938,1.0571371749797787,1.0634652895137722,1.18280799711547,1.18270622437601,1.1876835651805708,1.2074472309317112,1.1445738971069512,1.1637814441174112,1.1621330893115047,1.1661470976929602
Primeape,Counter,Cross Chop or Close Combat,30,1.805572730137279,1.630159187372375,1.9453691975388911,1.7171398930199313,1.933622149303584,1.7003725556875056,1.9934629131322539,1.7415811303261244,1.9580564756361523,1.7028260934313877,1.9605258143846735,1.7202397893861892,1.7577113167304819,1.677258756584293,2.0185377204379353,1.7653869951328884,1.7874997554682728,1.5714795478838663,2.0339121780939657,1.7045079778861423,1.8444032436760462,1.6891245490380822,1.8011739000254607,1.6329266444381156,1.679669535362585,1.6992336109789585,1.784748401348532,1.645168246254027,1.729825698107407,1.6921510819282968,1.838809009468001,1.6528565114281122,1.7194838785118283,1.649576277830098,1.735062109528034,1.5744522516459039,1.7041878773979222,1.645263698014261,1.7031850093172767,1.6259016586564998,1.920800645245747,1.7454841665646157,1.7935329909815796,1.7310508223627112
Toxicroak,Counter,Dynamic Punch,30,1.5300258898272885,1.397677065379384,1.7143550648749728,1.4905125514373563,1.6944406857517258,1.4820762880100276,1.755608123915546,1.5217829553916211,1.7189591380488385,1.4847788020543222,1.7022860976381087,1.4930509209574117,1.4632918121338372,1.4731390059812612,1.7149999320164917,1.4758056285492822,1.393915822915764,1.3023550190796849,1.7918040404109428,1.481702671399726,1.4358375082770942,1.4598596933101715,1.4628225145233178,1.3758817695095777,1.4306028806469093,1.4521937273996521,1.3306764286258974,1.3243803028928167,1.454954550718066,1.4862341047102532,1.3917961176513756,1.3919020311348738,1.574603397426382,1.4329359089537674,1.4109337444658923,1.4100167064801716,1.417584771100061,1.4243870298733188,1.442237332705042,1.4321189843426914,1.6113017100982931,1.504607229173441,1.4793516037546208,1.4644547008243405
Zapdos (Galarian),Counter,Close Combat,50,1.1377150102979119,1.1073830059353402,1.1607117597627297,1.1243872958894174,1.1601790937950118,1.1139651854054313,1.1890894163047783,1.1416954796302106,1.1604611867254115,1.1176129728326416,1.1723155291946288,1.1272908006740563,1.1483634621854577,1.1653186986494053,1.2513302341504349,1.1397465608666502,1.1282799985053806,1.0128000067899603,1.1634894387146748,1.125123361825726,1.1476166923382396,1.1470148527892974,1.0755641259100697,1.0659527247597231,1.1373854874307952,1.1604992399740361,1.0336910711387302,1.0358988865283003,1.123923781363145,1.1382177168924557,1.1031676935723116,1.090838921249292,1.1287852955885798,1.1350401668952337,1.0891550130258985,1.0530496346809772,1.1634227134088604,1.1461244418902263,1.1456115708879175,1.1568788852879295,1.1256197188451453,1.1316488815881154,1.126698229657694,1.1479258279129434
Mienshao,Low Kick,Brick Break or Grass Knot,50,1.4199174975420001,1.3109370601557062,1.5385148492951686,1.3521603555846666,1.4914082515966038,1.3511283051520402,1.5329980428011702,1.3843543685297681,1.446454835983625,1.3494417650847899,1.49416691754737,1.35732646333439,1.355225178182627,1.325520375172598,1.4985584957466864,1.366914440695729,1.3862059057543155,1.2353712840363582,1.5091194406035384,1.3443183520910011,1.368210506591598,1.376410390383843,1.3518969726479866,1.3006211411712858,1.3845363545664606,1.403788090745652,1.3092535546218285,1.2460199681086233,1.3971846539508561,1.41452024126704,1.3941234201546242,1.3006664483376273,1.406162826598261,1.3908765033004362,1.419057540911081,1.2725785846770872,1.40579311309464,1.4005475298824148,1.3941194061327618,1.366750461744794,1.4254766781104886,1.3853291048904393,1.4073581542391258,1.4080858199044632
Hariyama,Counter,Dynamic Punch,45,1.160374713884492,1.1939054881628226,1.1727052771708486,1.1913691732795633,1.165551373515341,1.18367467208868,1.1926489069989483,1.2138954063370757,1.1667749425316993,1.1843645324007412,1.1704046067281357,1.1941876059914198,1.1784947079660324,1.2380971812079493,1.1658951619832612,1.2064513020590766,1.0938904537194336,1.1075548348813098,1.1802016715710417,1.2229177475570454,1.2094391258742951,1.2467618785091943,1.1251600024262614,1.1558438272091456,1.234043920526895,1.2796937826271837,1.1558293426511024,1.181050234243568,1.1875106281345402,1.2471390204236166,1.1595768247591034,1.1922760443839175,1.2039979406251187,1.2214132786159546,1.212664469519766,1.1561014560740188,1.2171238263329098,1.2309029605503512,1.2405450236185964,1.2522403478449988,1.2268531460656762,1.2516672930505175,1.1964565301807477,1.2419021108641648
Virizion,Zen Headbutt or Quick Attack,Sacred Sword,35,1.5050525503130594,1.5626879395756867,1.4783722294197508,1.508967790569222,1.4859915500631165,1.5003122435063145,1.5225164328204892,1.5359783238716505,1.556141562061986,1.5772818505081794,1.5664013950381774,1.5894161833667142,1.5791731833144962,1.591314356880731,1.6146791232011803,1.525811024916548,1.4799374785420174,1.4015823712756523,1.4995742735806556,1.5546661885124884,1.637057390082606,1.705857820433896,1.4245970249071631,1.4781191359866297,1.6363993721078873,1.730749452930341,1.4929139740833217,1.5677709151723176,1.6057603055108014,1.6455073653883867,1.4690430545427553,1.477531211000747,1.5481410016791217,1.5724947874546058,1.3697028511502798,1.3834863187784243,1.6460758668427846,1.6944991126013589,1.7264238298208878,1.765704265846373,1.5050066509296525,1.53899798290324,1.7286158650248207,1.794927895424752
Conkeldurr,Counter,Dynamic Punch,35,1.1471077157858403,1.1361612885644243,1.1433541660311972,1.1477890744192343,1.1330405262248937,1.1441484276102492,1.1603565142629688,1.1743083307390707,1.1351303244586244,1.1480283849618205,1.155806454624783,1.1514024651994323,1.1555730572787992,1.1807392942680248,1.171796638252193,1.170880638054279,1.0579793264338642,1.0698020343590624,1.151199379554687,1.183802775311626,1.1780474746247849,1.172049937528536,1.0931475362997656,1.1184676902416424,1.1927853078065518,1.2122783539468553,1.1175325321721907,1.1158327024782204,1.1547012061310227,1.1930122221238069,1.1252185223440019,1.143628384012241,1.1501231023792418,1.145695900636554,1.1567719710470117,1.1246700251494908,1.1578457909628193,1.1513722618659559,1.214594183580833,1.2167935057510089,1.188436925961429,1.2071063177497479,1.16746970784387,1.1969520952427852
Meloetta (Pirouette),Low Kick,Close Combat,30,,,,,,,,,,,,,,,,,,,,,,,1.3681583499789582,1.3550130744647866,,,,,,,,,,,,,,,,,,,,
Conkeldurr,Counter,Dynamic Punch,45,1.0163408900841746,1.059992393044031,1.0531170471546039,1.0797253826240067,1.0526825789933787,1.068552917151093,1.0781975768304863,1.0945887814176738,1.0562525644576286,1.0709456897329674,1.057732820829363,1.0761473229863712,1.0530259193167755,1.0890858307172127,1.0491069421204207,1.0826637145839066,0.9769242783829917,0.9846769433130431,1.0514635398084098,1.072192719236294,1.0738721889858003,1.0873571977935736,1.0117669377191716,1.028407404953925,1.0891955816706325,1.1213710887412889,0.9977442225813044,1.0192097689458535,1.064094420711856,1.1004121358445014,1.0414070582558954,1.0516209876767104,1.080770568728303,1.093715477739365,1.0655720830066693,1.0412627962937304,1.0993684050892036,1.1021088131762669,1.1198191492691993,1.119186999639172,1.0830961661085519,1.086672212627054,1.0565553283436413,1.080929040185293
Virizion,Zen Headbutt or Quick Attack,Sacred Sword,40,1.4671458716831163,1.5009308460501753,1.4351649839433573,1.4528285841239468,1.4308158301893847,1.448341170207652,1.4645290306298044,1.481299670308312,1.4975345643322675,1.5185132169312217,1.4964493474652099,1.525125291066662,1.4593536818037272,1.4651918575194973,1.531666407802769,1.482201832936932,1.3720492007150573,1.347319616578392,1.421958941865465,1.4515004385384784,1.576835175594251,1.6544291472650958,1.3316255483600468,1.3979879867827856,1.5688741225560763,1.676613471014953,1.4508629899138443,1.524327931623116,1.5370445847387912,1.584513516070323,1.406610667306611,1.410233024425157,1.5121071798096273,1.5405038478834991,1.2971552947664846,1.3268866146060396,1.597377089099834,1.6624783145778228,1.6667987781268896,1.7234700636145104,1.4176324942604943,1.447903528441346,1.653592715512474,1.715271089468122
Hitmonchan,Counter,Power-Up Punch or Close Combat,30,,1.7141103172710135,,1.7390911510355433,,1.735704900286828,,1.7752004992269999,,1.7342230121258004,,1.7362283246555188,,1.8136914281655234,,1.8666590653017985,,1.658570829274624,,1.8074363387088666,,1.7930809367884666,,1.717536384115209,,1.7828583466134849,,1.6405687196119185,,1.8079730770453586,,1.7876508990362452,,1.7839296078879303,,1.705051903337199,,1.7932656419108643,,1.772641312030738,,1.838234301342714,,1.7730977640033356
