Attacker,Fast Move,Charged Move,Level,"Arceus (Dark), Tier 5","Arceus (Dark), Tier 5","Arceus (Dark), Tier 5","Darkrai, Tier 5","Darkrai, Tier 5","Darkrai, Tier 5","Mega Sharpedo, Mega Tier","Mega Sharpedo, Mega Tier","Mega Sharpedo, Mega Tier","Mega Absol, Mega Tier","Mega Absol, Mega Tier","Mega Absol, Mega Tier","Mega Gyarados, Mega Tier","Mega Gyarados, Mega Tier","Mega Gyarados, Mega Tier","Absol, Tier 3","Absol, Tier 3","Absol, Tier 3","Crawdaunt, Tier 3","Crawdaunt, Tier 3","Crawdaunt, Tier 3","Mightyena, Tier 3","Mightyena, Tier 3","Mightyena, Tier 3","Sharpedo, Tier 3","Sharpedo, Tier 3","Sharpedo, Tier 3","Umbreon, Tier 3","Umbreon, Tier 3","Umbreon, Tier 3"
(Boss weights),,,,25.0,0.0,0.0,25.0,0.0,0.0,11.666666666666666,0.0,0.0,11.666666666666666,0.0,0.0,11.666666666666666,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0
(Weather),,,,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy,Extreme,Extreme,Rainy
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Shadow Gardevoir,Charm,Dazzling Gleam,30,1.2230552053286865,1.1795297449133826,1.2251650972032373,1.5137957736261587,1.2470492607388564,1.523199126450433,1.4363278975281388,1.2986398698785304,1.4446319066935245,1.3746903575736318,1.307834640467907,1.582789447803315,1.2918936088056816,1.2276460478715292,1.3060425659640131,1.2439915881625248,1.2355976450097308,1.2428394418415365,1.2570596677817862,1.2716296784801098,1.2618947958750364,1.2159034962484145,1.2043787900206258,1.219054011349056,1.2560984810837357,1.2587140417836788,1.316599736025697,1.24983140170023,1.271115930326105,1.24983140170023
Gardevoir,Charm,Dazzling Gleam,30,1.3732478172488702,1.360750874934173,1.3719446736101197,1.5770358572021446,1.4590358099650107,1.5719960346113229,1.6313491459706113,1.5003873634071907,1.6973228985828845,1.4867105025312204,1.478439622935879,1.5584149015112816,1.4965096414661128,1.4233496707443745,1.5471045865238495,1.4654928256944395,1.4387936551427893,1.476153811179509,1.4583633924305173,1.4678745031796046,1.4814943672043903,1.4089685549943622,1.441079800597488,1.4158254999498305,1.4684584140116281,1.4517503895168635,1.4977355062606839,1.4501096997121,1.508077797080443,1.448314397839045
Shadow Hitmonchan,Counter,Close Combat,35,1.7369561014307655,1.4535169077980143,1.7436816738632799,1.6170541447210816,1.4269322201958992,1.6164289907786367,1.661809530819508,1.4768263358537934,1.641342664841192,1.5660117214726899,1.5177945794606853,1.697948418402814,1.6029066362224431,1.476492990537723,1.5869374428629315,1.4991957188630984,1.436693508371697,1.5133692845329472,1.485706611121246,1.4631758129058268,1.4937194033098873,1.4371102891405205,1.4701537775984213,1.4378769302276224,1.6002353907900633,1.4953638243482679,1.6062060078094411,1.4120442554772754,1.4629729914326717,1.409974876012667
Tapu Bulu,Bullet Seed or Rock Smash,Dazzling Gleam,45,1.3089381971923062,1.331941203782664,1.3092463246355615,1.2429468000215944,1.296559470707916,1.2679900198902074,1.2062660962356369,1.2300330817315108,1.246071150614203,1.3079917668222691,1.3616903527881916,1.3408226615596945,1.191199399162725,1.2145615812317205,1.2088554920713517,1.269798301532044,1.3336525520991092,1.3183340819936897,1.2133190322727891,1.2594303853594189,1.2203115377598872,1.350875131688419,1.3906371665270283,1.3538020129243964,1.2413158233925825,1.2916403683839262,1.2450352771814817,1.3892406252665077,1.4617822834996175,1.3892406252665077
Mega Lopunny,Low Kick,Focus Blast,45,1.1548185737780743,1.0670617148602972,1.1531348440108713,1.3583055217678837,1.1092456250822433,1.373082151280295,1.137164401205277,1.1356890316536667,1.1565579948636053,1.1534116102654088,1.1520847346498615,1.1839616215111928,1.174633494915916,1.1676823674245635,1.1979310645103427,1.131046168746959,1.1553150334210796,1.1564843653784103,1.1640084409326061,1.1962814988472523,1.1969385981400193,1.1803043786594951,1.2098955271010203,1.1826087770842957,1.178850751743969,1.201939041910636,1.181595597220096,1.1704603666945905,1.2296563316730933,1.1704603666945905
Shadow Scizor,Fury Cutter,X-Scissor,30,1.2936522186066073,1.273629097698876,1.0671734294179414,1.457306277140264,1.2792055705233536,1.219729221565776,1.4884238018791196,1.3467958058032614,1.2380241797663574,1.4510686244527577,1.3548915908793533,1.2668958090464542,1.4100696045224619,1.3410689884278322,1.156290600771928,1.3874562173214073,1.3707246715555816,1.147269896676012,1.3831309025398262,1.3916428973106958,1.1721199786002794,1.3149122206003667,1.3541148600020723,1.1130747640495944,1.4178531726369208,1.3659325032507095,1.1963618713833815,1.4448146954535959,1.424882699161073,1.1940135959966443
Granbull,Charm,Play Rough,30,1.5229030865975646,1.4935284335358023,1.524272368815064,1.4933608630224342,1.5067085165178136,1.4920637397638818,1.7171187063615652,1.6306634766797106,1.7059598068516597,1.5384007900153405,1.5422196240426111,1.5823070701598123,1.6030473886244303,1.5729392970941052,1.6049199756146646,1.5451498225394802,1.5318868076920868,1.5448607007837425,1.5597495830020687,1.5842145438796478,1.5610505642939114,1.5066252205753183,1.5433631844003757,1.5085564815253545,1.5836324082867035,1.599625784504979,1.6309197434448357,1.5542938968351967,1.6371749605209647,1.5542938968351967
Sirfetch'd,Counter,Close Combat,30,1.6417728058815801,1.4180707688133547,1.646664390241471,1.5467503171636128,1.36168092075296,1.5458977290747933,1.6426014395758848,1.431488820989784,1.629573138605125,1.4616334747928799,1.4220818128875496,1.5046742777019406,1.5651490885125552,1.4342832027904364,1.5481887544778095,1.4606600741591214,1.3975169014421693,1.4765914248059646,1.4425312070293872,1.4392862461610294,1.4519354651803462,1.4281839954354991,1.4460984685555434,1.4222140858961638,1.480952546774065,1.4438651970581713,1.545606693523561,1.3898559575540592,1.4469186623864778,1.3898559575540592
Scizor,Fury Cutter,X-Scissor,35,1.368666229659494,1.3591130772082007,1.1899404734988146,1.5962022187956557,1.5009247090698672,1.3191496282606274,1.5223209491710876,1.460976574715329,1.3790281069120902,1.545535986866003,1.5327506659098444,1.3148387797149057,1.4844777707756454,1.4539788471974446,1.3236880124989894,1.5713929536277713,1.5678277977977892,1.28757954419396,1.5334452474377278,1.5298453215467862,1.2978081039530929,1.4985674400819633,1.5745469109324162,1.2650233880124415,1.4935773245686899,1.5288467374773622,1.294883128013269,1.4890533160204535,1.5669827528403242,1.3123350773991374
Bewear,Low Kick,Superpower,30,1.5527428905923704,1.5113982674718898,1.552240753684266,1.6588906401306445,1.493536947873823,1.6596986270864476,1.4650703687104205,1.5080903307222846,1.674899899705963,1.5362354444958624,1.5317589429497025,1.5446858441898268,1.526830660469449,1.5491210831165325,1.6248952892439834,1.5252036326271696,1.5468925257917976,1.5251261422385578,1.5173280257190094,1.5676694699112153,1.5463344141288566,1.5587080435034786,1.6153569420445402,1.5562041273728493,1.5221267705394423,1.58042401779239,1.5517062930400112,1.5848257659407337,1.6604884125113737,1.5848257659407337
Leavanny,Bug Bite,X-Scissor,30,1.6950341677416785,1.6512417495906173,1.4167819566835929,1.7331186820333564,1.6721932707328842,1.4509314255998274,1.7257944216887415,1.6870433529896929,1.4848252654335585,1.948737731790786,1.8177996319335639,1.6104898749210237,1.7313896432517664,1.7126208207384896,1.4453425823153745,1.8346289110638223,1.7387270807337567,1.5954928852683594,1.7295623369835094,1.7500825504520239,1.4849145340588912,1.800039004364797,1.8018323846988111,1.4866152521486327,1.8142190764236559,1.759997065474381,1.5259031434851233,1.7367958593930761,1.8135548163299302,1.4513220092047616
Mega Lopunny,Low Kick,Focus Blast,35,1.309222557474692,1.1905901092292426,1.298550612658657,1.516182092402582,1.222827418709954,1.5419264357558111,1.2987187697713636,1.2651713535599227,1.4320860055119817,1.3205901647891394,1.257931701618137,1.321556466751516,1.2796714250083023,1.2429406282579278,1.435385653137769,1.2717723021889518,1.2713158640896982,1.2732441544973645,1.3034439733520917,1.3109198898292467,1.3390068886690447,1.2609416452561517,1.284782768001744,1.2707943599597342,1.2700630203583771,1.293544212914766,1.2701931515160747,1.2247552999051905,1.2825205548828829,1.2247552999051905
Shadow Pinsir,Bug Bite,X-Scissor,40,1.2081551092986749,1.1523338817880169,1.0232465977353724,1.220119455119662,1.174844349426575,0.9971434186863354,1.331726510715827,1.194800130031699,1.1144769532653258,1.255398776138252,1.2169073932483998,1.11020622523353,1.2511789390352666,1.1980515520907604,1.0601849047490977,1.2382953026938683,1.1942906835668796,1.0531179671908042,1.2555959101390013,1.2263369330991312,1.0505634678305673,1.2021399651720401,1.2136102650140024,1.014688688255615,1.2420995424461536,1.229819634890361,1.0568145682087977,1.2375336213291552,1.2623279663654976,1.0501879148389104
Toxicroak,Counter,Dynamic Punch,40,1.481537900877231,1.3585886864041514,1.4871551847838897,1.2702436951079201,1.2711095159206012,1.2787050994172964,1.3894420745449227,1.3456120736333075,1.425389333274515,1.3230451484058814,1.3556868728479234,1.3371226703664902,1.3862572644062137,1.348425852890171,1.3836621924730723,1.3373309205231423,1.3365210917033747,1.3373909816645868,1.336092802000176,1.3730973820998194,1.3632357056889846,1.2938153468397773,1.3326956087230302,1.2848113593240744,1.325284607875072,1.347695611463488,1.343996954477491,1.334582810827401,1.4104363752283304,1.3409553957761584
Conkeldurr,Counter,Dynamic Punch,45,1.0520721136607945,1.068347366936835,1.0524823864864374,1.0406933673159524,1.0510058240855398,1.0417140268138216,1.0301784842984596,1.059849519552837,1.0330218727919354,1.0578365903364304,1.0869674938806515,1.0567364679058382,1.0668606949908663,1.088900450605929,1.069746155943235,1.0684106366952713,1.1099628920918987,1.0742739063108646,1.0780600493927193,1.1265680935759803,1.0815167751278814,1.0928301603146522,1.137773232816465,1.0927692483670781,1.0779733201201087,1.10693960898625,1.0769024661380893,1.1285633052433979,1.1870994736836191,1.1285633052433979
Pheromosa,Bug Bite,Bug Buzz,40,1.249894694564388,1.0433417322503817,1.0736749941338732,1.2833504708530015,1.014236249354707,1.064849520205684,1.1736305290078848,1.0532453063008975,1.0122713061767383,1.2273723574423363,1.0963922990583814,1.0745643471550679,1.2746275402889982,1.1018332247770337,1.0431755239722926,1.0931898439001633,1.0539289254789392,0.9089152636731723,1.098079119949553,1.102702425542451,0.9743773540422711,1.0740394460385718,1.0599537653455895,0.9181375952414758,1.0786331349656888,1.0702588549038499,0.9043964924982788,1.0265212211598889,1.0551702583733826,0.8679491666605275
Conkeldurr,Counter,Dynamic Punch,35,1.1315829249595069,1.1437665769270897,1.1324292851300892,1.1214490960837042,1.1410609418072253,1.1215421996308756,1.12660338754995,1.1679888944485066,1.1505400370375969,1.1601103009557951,1.1852713647226296,1.1712553528517773,1.1669951990728697,1.1930651577891696,1.186968236580925,1.1467841145456323,1.179008688645811,1.1586032701829851,1.1763045584140601,1.2151253637253219,1.192334177139707,1.1572733433799371,1.2171359065509617,1.1576105552366427,1.1525515621663593,1.2021620936673492,1.1572829557383577,1.2066152965763028,1.2837901771839832,1.2066152965763028
Shadow Pinsir,Fury Cutter or Bug Bite,X-Scissor,50,1.0775092513896223,1.0440756212308577,0.9173405294718135,1.1050855413881644,1.0728522076611884,0.9176733202137818,1.1413089716647342,1.0916578652375102,1.0174616917934773,1.139068813649492,1.1229661648502662,0.974092182856793,1.1471036613906909,1.1183317998884112,0.965540919116856,1.1378526551819224,1.1080760155243876,0.971385051778484,1.1374665783054723,1.1348483630612298,0.9685525234503223,1.1306702574605068,1.1672292769008035,0.9293856286298419,1.1362629499394354,1.145634871982378,0.9600815645773375,1.1303491798462193,1.1905451471971478,0.9393291479583218
Shadow Granbull,Charm,Play Rough,50,1.0766705020514533,1.0716193127498446,1.077476671685959,1.0570774300974772,1.0641402251186833,1.0585053517142018,1.199220628027484,1.1481526431692033,1.225875583378502,1.078265739609719,1.1089871277743952,1.0889709011668358,1.129611302366483,1.1193202973260492,1.1321603379114942,1.0841416949515443,1.1025525165695778,1.0964356259392996,1.08820931720844,1.1285985811081534,1.113388376957831,1.072371888241162,1.1141911930315571,1.075518197516852,1.1061489375131037,1.1317704777775277,1.1328001311165874,1.1040382305151124,1.1670988019125748,1.1040382305151124
Mega Beedrill,Bug Bite,X-Scissor,30,1.3819678283437724,1.2013642439354575,1.172479354615654,1.288084148314478,1.2195336303086948,1.0572732849546356,1.3487368600556808,1.2262121060325257,1.143861365664569,1.3746858629614425,1.2835055161978817,1.2038646896471605,1.3106641200540894,1.2376920394714668,1.1126897358164787,1.3206552502218685,1.2745583241630467,1.0959344520341028,1.29870591936498,1.2696436264135014,1.0923395870087529,1.2680317752354109,1.2811080786583742,1.0364389566048575,1.3416559538949389,1.2789695837084616,1.11777265757266,1.3321971495680751,1.2967668458763684,1.1239999445601592
Mega Beedrill,Infestation,X-Scissor,30,1.4801888697050416,1.2862360187673336,1.2237004792955095,1.3258166541263323,1.278060386349143,1.1083513354612538,1.4220949413047332,1.3144249915492372,1.1940077413301964,1.4444361631949267,1.3773075438126203,1.2667961740697733,1.399773313006836,1.3269974928157167,1.1822595290734474,1.345890674061628,1.3339003043075686,1.139810754695925,1.347959088480099,1.335764290776158,1.1349947522733361,1.2901365966999025,1.289227620551633,1.0672111959971817,1.3841066418942887,1.3394472306517788,1.1418152126678645,1.39962223492233,1.3506915807983864,1.1474112903235878
Mega Beedrill,Bug Bite,Fell Stinger,30,1.500722628509128,1.2878319346611373,1.2758419360960684,1.394564819469797,1.306020973709161,1.15265755271158,1.452146916930581,1.3195541859157567,1.2344269290968275,1.522631178759901,1.382450569907572,1.327643929842488,1.4210033568383234,1.3278168964704775,1.234959078643734,1.4395805181057433,1.3829127647133352,1.185812451068828,1.4120640963436202,1.370481011129115,1.2085119140839025,1.3613586165429847,1.3667167960945414,1.1164874077082994,1.4571432302416467,1.3818354073307761,1.2057461566420031,1.4467684503852758,1.3917682574696133,1.2191920242546805
Mega Beedrill,Infestation,Fell Stinger,30,1.6083343243734993,1.394457827442935,1.3311409981922717,1.4472444513238207,1.3896243741079775,1.21450229564035,1.5428236999895515,1.4243763755392707,1.3071619934143253,1.5910040125518126,1.4989715401949335,1.3854992389167424,1.521211871573015,1.4447532137547328,1.3055747129095208,1.4731583724821462,1.4425075243078755,1.243081258804455,1.4741986516208785,1.4437107736466224,1.249793018717686,1.3853345121521718,1.3825775213822171,1.1527451409099494,1.5112819632955774,1.4544977439096198,1.2377813644202007,1.5096629519892228,1.4467007738228055,1.2538644003925243
Mega Beedrill,Poison Jab,X-Scissor,30,1.6242293475834229,1.3958985446664178,1.456212433198255,1.4594541432870973,1.4270164140604704,1.2871969758955655,1.56989781832679,1.481961374656819,1.4075332939722225,1.5758955058716424,1.5067589845909626,1.4640481390943934,1.5592703812525142,1.497422733208998,1.3804858285386103,1.5205797884470311,1.4983026858735642,1.3516514056665694,1.5136079723027,1.5108598126187347,1.3505960922610134,1.4568188263001132,1.474494686188794,1.292701114002863,1.564037618272748,1.505896981827705,1.363416029643666,1.5897313178037682,1.5498884273203042,1.402030871250834
Mega Beedrill,Poison Jab,Fell Stinger,30,1.7301436497884812,1.465117774738588,1.5552540647186024,1.5792864219389493,1.5023741931728847,1.3919972492804773,1.6945519343465927,1.5809884548183037,1.4967424221357706,1.7178163228081238,1.596820040724888,1.5843849029360737,1.6626487986742104,1.5809726101112207,1.4851617819268776,1.6244705921539109,1.591885230422731,1.4421680194043551,1.611456096991575,1.5944897409979089,1.4223719524724563,1.5307255298733426,1.5489689275102865,1.351780005603485,1.668342653202913,1.5945809577217922,1.4620510339033832,1.6721196661472721,1.6326612334790211,1.4709192437556198
Zapdos (Galarian),Counter,Close Combat,35,1.2659410887745297,1.2412706867765926,1.267390529525223,1.2219484178934263,1.2027335538857604,1.2222260414944481,1.2420425805305197,1.2591231799971776,1.2670297674801456,1.274385022704269,1.2880980844941088,1.3454830456221911,1.2575603019781474,1.250967700297386,1.264005836855998,1.278981189413019,1.2876991349623235,1.2843623310605994,1.2790887467500442,1.3084145787056796,1.2971147531585874,1.3020218850826495,1.340049586883362,1.2990231111738555,1.2765119940724274,1.294145143789337,1.287918496362131,1.2611347611423154,1.3310044438029185,1.2611347611423154
Breloom,Counter,Dynamic Punch,40,1.357743572451742,1.2010793495595689,1.3603917860692036,1.2834952927352663,1.1837549809870536,1.2813989867634803,1.1642110506909369,1.180840927214241,1.1870852400661323,1.247325143920787,1.2226916947471969,1.321794853050373,1.2040555194435456,1.2148311914665129,1.2163020063421548,1.2260726832383593,1.1957887572585781,1.2409234205608466,1.1700392922477345,1.200790862915609,1.1914506548477422,1.2177547636509733,1.2360669669266564,1.2177547636509733,1.2103034979013365,1.2018365995195937,1.2034467194373448,1.179625883463207,1.2379047186421834,1.179625883463207
Pheromosa,Bug Bite,Bug Buzz,50,1.1213877031024067,0.9681105676808629,0.9278453030215095,1.014232822553707,0.9243474105615483,0.863767262641838,1.080087914819255,0.9880169180539986,0.9305400760784327,1.096780289845907,0.9920975067513702,0.9293920220051982,1.146005102476486,0.9907696674682284,0.9812316914495889,0.995907448881535,0.9805402123183495,0.8498945176203376,0.996893628603576,0.9903306467390863,0.8552663307732256,0.9719052965072406,0.9768537706971391,0.8205337614517828,1.0235497192310696,0.9914437479127626,0.8317014190916101,0.9674327145755962,1.0113169696732833,0.798275021816951
Shadow Yanmega,Bug Bite,Bug Buzz,35,1.205170817344651,1.1220258558225271,1.0165170196015876,1.1852351481390258,1.1475839365908962,1.0064376937987767,1.3169219686021207,1.198707603390975,1.1336052913283863,1.4042855281181221,1.2299054151166975,1.1520391011166917,1.2827031451076496,1.219992847105372,1.0405488800345324,1.237456484185992,1.2033052585146025,1.061836466401073,1.2503364646536523,1.2193101356509295,1.0314038287426037,1.1954370818635651,1.1937571137747955,0.9938961463310507,1.242843844303526,1.2111890850156373,1.0190747792576555,1.19253932076955,1.2182933744021018,1.0033649735830408
Durant,Bug Bite,X-Scissor,30,1.5992094704035649,1.5730802810186375,1.344910373769315,1.807552226556042,1.6304974323243708,1.525521548568209,1.8250925668153808,1.660820652162669,1.578284818490563,1.732531683116198,1.68398841733151,1.4860308907292885,1.7727715102453723,1.6745622376357236,1.4761395309325245,1.73092074903596,1.6992301255700852,1.4592539746268696,1.7424198820679286,1.7148378107428013,1.497664688632067,1.718922107976869,1.765069123768996,1.4086305558403753,1.7363213260815364,1.7388368928512439,1.4861114234661934,1.7338795239815397,1.7704302368891958,1.458342266348229
Shadow Granbull,Charm,Play Rough,40,1.2358041507610655,1.1735160301043583,1.23724584715597,1.139103553075981,1.1507325340697827,1.1408298699797892,1.3349934338340297,1.2536273056842628,1.3082049915532112,1.1917742357354824,1.2062414141340165,1.279800422297898,1.2261227353603,1.2074028861658157,1.227297948164789,1.1758598415683645,1.1593167398484654,1.1870872886595816,1.2045844951616254,1.2389869974104863,1.2173077540790338,1.1616242589331256,1.1887010077591669,1.1677441900412986,1.199785605517053,1.2209439644655184,1.2532805142904262,1.16803054085935,1.2355296708659016,1.16803054085935
Yanmega,Bug Bite,Bug Buzz,30,1.4873501289123685,1.447223016439042,1.2432459425806757,1.469118776507624,1.4445179830081283,1.2031078659949996,1.6266665834418907,1.4930303867332602,1.3691349954606846,1.6869545969875575,1.5093072975078725,1.423399527425899,1.587730414141732,1.5019587491935371,1.3212803901653645,1.4938777167119262,1.4637360816000586,1.2884586470736237,1.523278190066835,1.5077294464551296,1.28128258696864,1.4644002919381194,1.477206718140301,1.217961739962628,1.5021955136459673,1.4933230171518002,1.292114946589699,1.507298143102466,1.5790593981705603,1.2676923952895613
Shadow Pinsir,Fury Cutter or Bug Bite,X-Scissor,45,1.1402019033668187,1.1093052618535824,0.9440302944955968,1.1253899172337933,1.0945250896662022,0.9679038964730732,1.2435220411876844,1.159119552939882,1.0511998704124783,1.212633625150877,1.1794425533437098,1.0175123839124294,1.2131800490482103,1.1572873216154203,1.0321839141223852,1.1999819639404157,1.1666035160970392,0.9955227873897381,1.208857580894064,1.1989872018174703,0.9949656903646084,1.1641190175532694,1.1904121362456068,0.9782898423754185,1.1762305057177906,1.1707665084900527,1.016510243271811,1.1642944699632811,1.2173089426336248,0.9661038440662076
Toxicroak,Counter,Dynamic Punch,45,1.3906478714415575,1.2815975947277138,1.3938941362586466,1.2448254250498523,1.2416072898706716,1.2509540213984218,1.260163840361461,1.2836527475683726,1.3575349578832956,1.2664972427008356,1.289158151998425,1.2803386653270254,1.30323926564692,1.3083192746133694,1.3439391039174908,1.2832386207667552,1.2867914410304453,1.2842831132497778,1.270155028096739,1.3106210790936688,1.2936652892504827,1.2599071573465206,1.3103504544041649,1.2556430309594504,1.258927994939122,1.2806464468541328,1.2919815205896812,1.3151010759449653,1.388948816915045,1.3186197577353873
Escavalier,Bug Bite,Megahorn,45,1.2767073456015798,1.2468163576461004,1.0715568238100308,1.4153002341612204,1.35185865468643,1.2093816532659418,1.3993952668036111,1.372635579150403,1.216688830523229,1.436554596331873,1.3897959559753266,1.2197436786121736,1.3263941004111628,1.3179919823261383,1.1469156244050418,1.4221895842774637,1.4106476799047667,1.1978376128779058,1.4090407364676045,1.4254692754018325,1.1908103461286472,1.3263553794044647,1.4068923070344204,1.1613043054615662,1.400984789073263,1.418644448668291,1.1585761360072218,1.3717553489769416,1.4292253618292452,1.148787297184143
Breloom,Counter,Dynamic Punch,50,1.2261410195560116,1.112644725986889,1.22921018786917,1.1344787951662918,1.1037180896290872,1.1325401747605246,1.0879943386580007,1.0961235524163606,1.1041086189927332,1.1426706768830437,1.1304570177195856,1.198770972091816,1.1087700347314076,1.1215044192362789,1.1229002689567678,1.1136332213587252,1.111948630361257,1.1290331903581403,1.0944702992810253,1.1254858700214412,1.099992553745589,1.13316205335667,1.1409862344592436,1.1324418628091806,1.1163406405076741,1.1145064108563179,1.1250891118822048,1.1356097215009564,1.1955244565241143,1.1356097215009564
Blaziken,Counter,Focus Blast,40,1.5238678374945744,1.2494000349653214,1.5225692781583886,1.345148029368001,1.2613348560279645,1.3483749160697356,1.533566346341284,1.3389729106510613,1.5241250098318033,1.3185008310934523,1.2929687899681737,1.3248719438719174,1.4766603221622034,1.355842483891486,1.4700233728284424,1.298443612520861,1.2528931276877056,1.300342315286577,1.3612936472307389,1.3601264334039742,1.53268506093864,1.2652416351062323,1.2903935042338879,1.2736520419083315,1.4924352838558046,1.36141267482917,1.4755308988499125,1.227771839083115,1.2885135517321769,1.227771839083115
Genesect,Fury Cutter,X-Scissor,40,1.2587573531322982,1.2613007954076505,1.0461843559028192,1.3239068715689815,1.3072853051181434,1.1578442005452516,1.3195738232224175,1.3361426838285975,1.1761064660893463,1.3648010210066805,1.35380561325771,1.1535805548059395,1.314209656172793,1.3328955838181287,1.1100661756559138,1.3741293764380096,1.3810131539436374,1.1686580412046448,1.3683721227603796,1.4172029916575823,1.1757732539455543,1.370388709179076,1.445667589040681,1.1098580745406021,1.3988402396855715,1.4268147205574702,1.1401737766341147,1.380350771868676,1.4567873286499988,1.1376228370189798
Zapdos (Galarian),Counter,Close Combat,30,1.4097208400080188,1.3434896850521827,1.41050195175569,1.3004356571191424,1.2784329586978749,1.2978333971596987,1.3108173377827261,1.3343875995458032,1.4062593237026138,1.3672154209192418,1.36586545092871,1.5110576845666888,1.3392868589019946,1.3457474455494889,1.3913239837614166,1.347927924947137,1.3661234388892392,1.3488310567126662,1.3509005895066677,1.3783522169013225,1.3745248498185005,1.3229532192306146,1.3647315016889703,1.3292818462734515,1.3373628952631895,1.3584454123824647,1.3440390317298756,1.3570200885763837,1.4228329234239696,1.3570200885763837
Lucario,Counter,Aura Sphere,35,1.0572912753689963,1.0706383165087947,1.057269511058762,1.1843812947698371,1.0933971976570382,1.1891129161507137,1.1966544528463676,1.1309874162619367,1.1883233254955934,1.0994906731905876,1.1184750558144907,1.12587774818766,1.1430214746167324,1.1127735117636186,1.1414211410988864,1.1129967327137689,1.1168869761157523,1.112595594271664,1.126168366497726,1.1325862462993501,1.1280769974980893,1.0985714221487402,1.1352304697804951,1.098802638929327,1.118711113303642,1.143633119247175,1.1574992666708743,1.1076828381602415,1.173392597357792,1.1076828381602415
Genesect (Chill),Fury Cutter,X-Scissor,35,1.303474420659876,1.3002138243337986,1.0764507670828918,1.3988307122347552,1.3426418779966058,1.221727837349052,1.380554556838764,1.3839277318126486,1.2601548399292415,1.4617453113197099,1.4549699478331515,1.2062489492191577,1.3686790001601359,1.3766943244769454,1.2549289589513277,1.4238463593480681,1.4313465386788544,1.2218540081521483,1.4341277554407224,1.4613434503007472,1.2287975782229412,1.4227332048616106,1.5010641047902626,1.1879468598368228,1.4376362220818033,1.4610391848040178,1.1945285485693613,1.4226868319514787,1.5042862863435316,1.2381201723479809
Heracross,Counter,Megahorn,40,1.2863877903376788,1.2268501622041967,1.195000653374385,1.2369984534056286,1.214469767390857,1.1417093979964708,1.2553296731497716,1.2796088650610433,1.2405963162727103,1.3014871376228836,1.3046604263647288,1.229916307941533,1.2872423182926505,1.2867721891168948,1.228673239370642,1.2370404854835964,1.2605980951360949,1.1778743923543227,1.295718907046616,1.313349835483116,1.2272338647966143,1.28468000498815,1.3062594091089426,1.17537028300416,1.2856373168158353,1.2950744706911381,1.208231676867982,1.2996509662452531,1.3550402369628658,1.1869463897987698
Virizion,Quick Attack,Sacred Sword,30,1.5131670071216028,1.5356137998367099,1.5132356826444893,1.5124425562712358,1.5313577597114487,1.5127491758807197,1.5058994852535927,1.5702834342474652,1.5457999208359385,1.5527461379846472,1.6035221684716543,1.551035144879726,1.5342396554510422,1.5823014978126106,1.5561262501320698,1.5700766357575466,1.6476499184889253,1.5939472410265785,1.5949880790769164,1.6988718962989582,1.5969289848642008,1.661092574288698,1.7322272248518757,1.6617852508680315,1.5997100296934816,1.6742328337505992,1.6029513686109984,1.6631290470927735,1.766258388865782,1.6631290470927735
